------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 10.74 \pm0.28 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 109 \pm33 $                         & $ [ 0.34 \pm0.06 ] \times10^{3} $     & $ [ 0.31 \pm0.05 ] \times10^{3} $     & $ 284 \pm35 $                         & $ [ 0.14 \pm0.04 ] \times10^{3} $     & $ 205 \pm33 $                         & $ [ 0.21 \pm0.04 ] \times10^{3} $     & $ [ 0.16 \pm0.04 ] \times10^{3} $     & $ [ 0.16 \pm0.04 ] \times10^{3} $     & $ 111 \pm31 $                         & $ [ 0.11 \pm0.04 ] \times10^{3} $     & $ [ 0.18 \pm0.04 ] \times10^{3} $     & $ 120 \pm24 $                         & $ 121 \pm24 $                         & $ 106 \pm23 $                         & $ 67 \pm21 $                          & $ [ 0.11 \pm0.04 ] \times10^{3} $     & $ 81 \pm30 $                          & $ 70 \pm20 $                          & $ 58 \pm18 $                          & $ [ 0.11 \pm0.04 ] \times10^{3} $     & $ 50 \pm26 $                          & $ 92 \pm20 $                          & $ 84 \pm21 $                          & $ 66 \pm23 $                          & $ 26 \pm18 $                          & $ 55 \pm25 $                          & $ 88 \pm29 $                          & $ 63 \pm23 $                          & $ 83 \pm19 $                          & $ 48 \pm16 $                          & $ [ 2.31 \pm0.14 ] \times10^{3} $    
#gamma+jets          & $ [ 0.09 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 5 \pm5 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.04 ] \times10^{3} $    
Top                  & $ [ 30.64 \pm0.24 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 408 \pm30 $                         & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 1.31 \pm0.06 ] \times10^{3} $     & $ [ 1.27 \pm0.06 ] \times10^{3} $     & $ [ 1.27 \pm0.05 ] \times10^{3} $     & $ [ 1.22 \pm0.05 ] \times10^{3} $     & $ [ 1.04 \pm0.05 ] \times10^{3} $     & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.05 ] \times10^{3} $     & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.72 \pm0.04 ] \times10^{3} $     & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.71 \pm0.04 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 0.57 \pm0.04 ] \times10^{3} $     & $ [ 0.54 \pm0.04 ] \times10^{3} $     & $ [ 36.92 \pm0.32 ] \times10^{3} $   
Multiboson           & $ 113 \pm6 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 1.2 \pm0.6 $                        & $ 6.0 \pm1.4 $                        & $ 5.4 \pm1.4 $                        & $ 2.8 \pm1.0 $                        & $ 1.9 \pm0.8 $                        & $ 2.5 \pm1.0 $                        & $ 1.2 \pm0.6 $                        & $ 2.9 \pm1.1 $                        & $ 1.7 \pm0.7 $                        & $ 0.9 \pm0.5 $                        & $ 1.0 \pm0.6 $                        & $ 1.8 \pm0.7 $                        & $ 1.7 \pm0.9 $                        & $ 1.8 \pm0.8 $                        & $ 1.6 \pm0.7 $                        & $ 0.7 \pm0.5 $                        & $ 1.2 \pm0.6 $                        & $ 1.9 \pm0.8 $                        & $ 0.8 \pm0.6 $                        & $ 0.30 \pm0.22 $                      & $ 2.5 \pm0.9 $                        & $ 1.0 \pm0.5 $                        & $ 2.1 \pm0.9 $                        & $ 0 \pm0 $                            & $ 1.2 \pm0.6 $                        & $ 1.1 \pm0.6 $                        & $ 0.5 \pm0.4 $                        & $ 0.31 \pm0.31 $                      & $ 0.33 \pm0.25 $                      & $ 0.8 \pm0.5 $                        & $ 0.7 \pm0.5 $                        & $ 40 \pm4 $                          
W                    & $ [ 0.30 \pm0.14 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.9 \pm0.9 $                       
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 41.9 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.52 \pm0.04 ] \times10^{3} $     & $ [ 1.82 \pm0.08 ] \times10^{3} $     & $ [ 1.63 \pm0.07 ] \times10^{3} $     & $ [ 1.61 \pm0.08 ] \times10^{3} $     & $ [ 1.42 \pm0.06 ] \times10^{3} $     & $ [ 1.43 \pm0.06 ] \times10^{3} $     & $ [ 1.26 \pm0.07 ] \times10^{3} $     & $ [ 1.08 \pm0.07 ] \times10^{3} $     & $ [ 1.08 \pm0.07 ] \times10^{3} $     & $ [ 1.06 \pm0.06 ] \times10^{3} $     & $ [ 1.04 \pm0.06 ] \times10^{3} $     & $ [ 1.04 \pm0.06 ] \times10^{3} $     & $ [ 0.99 \pm0.05 ] \times10^{3} $     & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 0.83 \pm0.05 ] \times10^{3} $     & $ [ 0.75 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.08 ] \times10^{3} $     & $ [ 0.79 \pm0.05 ] \times10^{3} $     & $ [ 0.65 \pm0.04 ] \times10^{3} $     & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.74 \pm0.06 ] \times10^{3} $     & $ [ 0.72 \pm0.05 ] \times10^{3} $     & $ [ 0.73 \pm0.06 ] \times10^{3} $     & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 0.73 \pm0.05 ] \times10^{3} $     & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.05 ] \times10^{3} $     & $ [ 0.71 \pm0.05 ] \times10^{3} $     & $ [ 0.65 \pm0.05 ] \times10^{3} $     & $ [ 0.66 \pm0.04 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 39.3 \pm0.4 ] \times10^{3} $     
------------------------------------------
Data                 & 44459                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 542                                   & 1859                                  & 1739                                  & 1579                                  & 1502                                  & 1355                                  & 1330                                  & 1241                                  & 1153                                  & 1072                                  & 1008                                  & 978                                   & 895                                   & 865                                   & 795                                   & 752                                   & 769                                   & 668                                   & 678                                   & 661                                   & 692                                   & 723                                   & 684                                   & 668                                   & 711                                   & 753                                   & 706                                   & 646                                   & 696                                   & 635                                   & 643                                   & 35785                                
