------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 11.79 \pm0.30 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 118 \pm34 $                         & $ [ 0.39 \pm0.06 ] \times10^{3} $     & $ [ 0.34 \pm0.05 ] \times10^{3} $     & $ [ 0.31 \pm0.04 ] \times10^{3} $     & $ [ 0.16 \pm0.04 ] \times10^{3} $     & $ [ 0.26 \pm0.04 ] \times10^{3} $     & $ [ 0.23 \pm0.05 ] \times10^{3} $     & $ [ 0.17 \pm0.05 ] \times10^{3} $     & $ [ 0.19 \pm0.04 ] \times10^{3} $     & $ 143 \pm33 $                         & $ [ 0.15 \pm0.04 ] \times10^{3} $     & $ [ 0.19 \pm0.04 ] \times10^{3} $     & $ 150 \pm34 $                         & $ 131 \pm25 $                         & $ 119 \pm25 $                         & $ 81 \pm23 $                          & $ [ 0.13 \pm0.04 ] \times10^{3} $     & $ 107 \pm32 $                         & $ 79 \pm21 $                          & $ 66 \pm19 $                          & $ [ 0.12 \pm0.04 ] \times10^{3} $     & $ 54 \pm27 $                          & $ 106 \pm21 $                         & $ 101 \pm22 $                         & $ 74 \pm23 $                          & $ 51 \pm30 $                          & $ 59 \pm26 $                          & $ [ 0.13 \pm0.04 ] \times10^{3} $     & $ 79 \pm24 $                          & $ 109 \pm27 $                         & $ 50 \pm18 $                          & $ [ 2.98 \pm0.16 ] \times10^{3} $    
#gamma+jets          & $ [ 0.10 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 14 \pm10 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 5 \pm5 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm6 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.04 ] \times10^{3} $    
Top                  & $ [ 30.78 \pm0.24 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 409 \pm30 $                         & $ [ 1.48 \pm0.06 ] \times10^{3} $     & $ [ 1.32 \pm0.06 ] \times10^{3} $     & $ [ 1.29 \pm0.06 ] \times10^{3} $     & $ [ 1.27 \pm0.05 ] \times10^{3} $     & $ [ 1.23 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 0.93 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.05 ] \times10^{3} $     & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 0.88 \pm0.05 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.73 \pm0.04 ] \times10^{3} $     & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.72 \pm0.04 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 0.63 \pm0.04 ] \times10^{3} $     & $ [ 0.63 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 0.54 \pm0.04 ] \times10^{3} $     & $ [ 37.33 \pm0.32 ] \times10^{3} $   
Multiboson           & $ 134 \pm7 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 1.2 \pm0.6 $                        & $ 6.2 \pm1.4 $                        & $ 5.9 \pm1.5 $                        & $ 3.5 \pm1.1 $                        & $ 2.9 \pm1.0 $                        & $ 2.5 \pm1.0 $                        & $ 1.3 \pm0.6 $                        & $ 3.7 \pm1.2 $                        & $ 2.1 \pm0.8 $                        & $ 1.2 \pm0.6 $                        & $ 1.0 \pm0.6 $                        & $ 1.8 \pm0.7 $                        & $ 1.7 \pm0.9 $                        & $ 2.4 \pm1.0 $                        & $ 2.0 \pm0.8 $                        & $ 1.7 \pm0.9 $                        & $ 2.0 \pm0.8 $                        & $ 1.9 \pm0.8 $                        & $ 1.1 \pm0.7 $                        & $ 0.9 \pm0.6 $                        & $ 3.2 \pm1.1 $                        & $ 1.0 \pm0.5 $                        & $ 2.1 \pm0.9 $                        & $ 0.8 \pm0.6 $                        & $ 1.5 \pm0.7 $                        & $ 1.6 \pm0.7 $                        & $ 0.5 \pm0.4 $                        & $ 0.31 \pm0.31 $                      & $ 1.0 \pm0.5 $                        & $ 1.5 \pm0.7 $                        & $ 0.7 \pm0.5 $                        & $ 51 \pm4 $                          
W                    & $ [ 0.30 \pm0.14 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 43.1 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.53 \pm0.05 ] \times10^{3} $     & $ [ 1.88 \pm0.08 ] \times10^{3} $     & $ [ 1.66 \pm0.08 ] \times10^{3} $     & $ [ 1.66 \pm0.08 ] \times10^{3} $     & $ [ 1.43 \pm0.07 ] \times10^{3} $     & $ [ 1.49 \pm0.07 ] \times10^{3} $     & $ [ 1.28 \pm0.07 ] \times10^{3} $     & $ [ 1.10 \pm0.07 ] \times10^{3} $     & $ [ 1.11 \pm0.07 ] \times10^{3} $     & $ [ 1.10 \pm0.06 ] \times10^{3} $     & $ [ 1.07 \pm0.06 ] \times10^{3} $     & $ [ 1.05 \pm0.06 ] \times10^{3} $     & $ [ 1.03 \pm0.06 ] \times10^{3} $     & $ [ 0.92 \pm0.05 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 0.77 \pm0.05 ] \times10^{3} $     & $ [ 0.96 \pm0.08 ] \times10^{3} $     & $ [ 0.83 \pm0.05 ] \times10^{3} $     & $ [ 0.66 \pm0.04 ] \times10^{3} $     & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 0.75 \pm0.06 ] \times10^{3} $     & $ [ 0.73 \pm0.05 ] \times10^{3} $     & $ [ 0.74 \pm0.06 ] \times10^{3} $     & $ [ 0.72 \pm0.05 ] \times10^{3} $     & $ [ 0.75 \pm0.05 ] \times10^{3} $     & $ [ 0.65 \pm0.05 ] \times10^{3} $     & $ [ 0.67 \pm0.05 ] \times10^{3} $     & $ [ 0.75 \pm0.06 ] \times10^{3} $     & $ [ 0.67 \pm0.05 ] \times10^{3} $     & $ [ 0.69 \pm0.05 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 40.5 \pm0.4 ] \times10^{3} $     
------------------------------------------
Data                 & 45921                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 563                                   & 1911                                  & 1792                                  & 1616                                  & 1560                                  & 1394                                  & 1364                                  & 1268                                  & 1195                                  & 1104                                  & 1039                                  & 1001                                  & 926                                   & 884                                   & 814                                   & 776                                   & 790                                   & 687                                   & 698                                   & 683                                   & 722                                   & 742                                   & 703                                   & 683                                   & 730                                   & 772                                   & 727                                   & 665                                   & 712                                   & 656                                   & 662                                   & 37173                                
