------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 144.3 \pm0.9 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.05 \pm0.08 ] \times10^{3} $     & $ [ 3.75 \pm0.15 ] \times10^{3} $     & $ [ 3.41 \pm0.14 ] \times10^{3} $     & $ [ 3.16 \pm0.13 ] \times10^{3} $     & $ [ 2.51 \pm0.12 ] \times10^{3} $     & $ [ 2.53 \pm0.12 ] \times10^{3} $     & $ [ 2.19 \pm0.12 ] \times10^{3} $     & $ [ 1.96 \pm0.11 ] \times10^{3} $     & $ [ 1.76 \pm0.11 ] \times10^{3} $     & $ [ 1.75 \pm0.10 ] \times10^{3} $     & $ [ 1.70 \pm0.10 ] \times10^{3} $     & $ [ 1.65 \pm0.10 ] \times10^{3} $     & $ [ 1.52 \pm0.09 ] \times10^{3} $     & $ [ 1.36 \pm0.09 ] \times10^{3} $     & $ [ 1.32 \pm0.09 ] \times10^{3} $     & $ [ 1.09 \pm0.08 ] \times10^{3} $     & $ [ 1.25 \pm0.09 ] \times10^{3} $     & $ [ 1.09 \pm0.08 ] \times10^{3} $     & $ [ 0.96 \pm0.07 ] \times10^{3} $     & $ [ 0.82 \pm0.07 ] \times10^{3} $     & $ [ 1.01 \pm0.08 ] \times10^{3} $     & $ [ 0.74 \pm0.07 ] \times10^{3} $     & $ [ 0.91 \pm0.07 ] \times10^{3} $     & $ [ 0.90 \pm0.07 ] \times10^{3} $     & $ [ 0.94 \pm0.07 ] \times10^{3} $     & $ [ 0.82 \pm0.07 ] \times10^{3} $     & $ [ 0.85 \pm0.07 ] \times10^{3} $     & $ [ 0.90 \pm0.08 ] \times10^{3} $     & $ [ 0.81 \pm0.07 ] \times10^{3} $     & $ [ 0.68 \pm0.07 ] \times10^{3} $     & $ [ 0.66 \pm0.06 ] \times10^{3} $     & $ [ 28.5 \pm0.4 ] \times10^{3} $     
#gamma+jets          & $ [ 0.15 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 14 \pm10 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 5 \pm5 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm6 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.04 ] \times10^{3} $    
Top                  & $ [ 39.78 \pm0.27 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 508 \pm34 $                         & $ [ 1.94 \pm0.07 ] \times10^{3} $     & $ [ 1.72 \pm0.06 ] \times10^{3} $     & $ [ 1.64 \pm0.06 ] \times10^{3} $     & $ [ 1.68 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.40 \pm0.06 ] \times10^{3} $     & $ [ 1.22 \pm0.06 ] \times10^{3} $     & $ [ 1.16 \pm0.06 ] \times10^{3} $     & $ [ 1.25 \pm0.06 ] \times10^{3} $     & $ [ 1.17 \pm0.05 ] \times10^{3} $     & $ [ 1.09 \pm0.05 ] \times10^{3} $     & $ [ 1.16 \pm0.05 ] \times10^{3} $     & $ [ 0.99 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.05 ] \times10^{3} $     & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 1.02 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.76 \pm0.04 ] \times10^{3} $     & $ [ 0.81 \pm0.04 ] \times10^{3} $     & $ [ 0.82 \pm0.04 ] \times10^{3} $     & $ [ 0.89 \pm0.05 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.83 \pm0.04 ] \times10^{3} $     & $ [ 0.82 \pm0.04 ] \times10^{3} $     & $ [ 0.76 \pm0.04 ] \times10^{3} $     & $ [ 0.82 \pm0.04 ] \times10^{3} $     & $ [ 0.85 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.72 \pm0.04 ] \times10^{3} $     & $ [ 47.4 \pm0.4 ] \times10^{3} $     
Multiboson           & $ 803 \pm16 $                         & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6.8 \pm1.4 $                        & $ 38.3 \pm3.4 $                       & $ 28.0 \pm2.9 $                       & $ 29.3 \pm3.0 $                       & $ 27.6 \pm2.9 $                       & $ 22.3 \pm2.5 $                       & $ 13.5 \pm2.0 $                       & $ 24.5 \pm2.8 $                       & $ 21.3 \pm2.5 $                       & $ 17.7 \pm2.3 $                       & $ 19.7 \pm2.4 $                       & $ 17.5 \pm2.3 $                       & $ 14.2 \pm2.1 $                       & $ 19.1 \pm2.4 $                       & $ 13.1 \pm1.9 $                       & $ 11.1 \pm1.8 $                       & $ 11.2 \pm1.8 $                       & $ 10.2 \pm1.8 $                       & $ 12.8 \pm2.0 $                       & $ 7.8 \pm1.6 $                        & $ 13.0 \pm2.0 $                       & $ 8.8 \pm1.6 $                        & $ 10.4 \pm1.7 $                       & $ 6.8 \pm1.4 $                        & $ 9.5 \pm1.7 $                        & $ 8.9 \pm1.6 $                        & $ 7.4 \pm1.5 $                        & $ 7.8 \pm1.6 $                        & $ 8.2 \pm1.6 $                        & $ 9.8 \pm1.7 $                        & $ 8.3 \pm1.6 $                        & $ 340 \pm10 $                        
W                    & $ [ 0.30 \pm0.14 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 185.3 \pm0.9 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.57 \pm0.09 ] \times10^{3} $     & $ [ 5.73 \pm0.16 ] \times10^{3} $     & $ [ 5.15 \pm0.16 ] \times10^{3} $     & $ [ 4.90 \pm0.15 ] \times10^{3} $     & $ [ 4.22 \pm0.14 ] \times10^{3} $     & $ [ 4.13 \pm0.13 ] \times10^{3} $     & $ [ 3.60 \pm0.13 ] \times10^{3} $     & $ [ 3.20 \pm0.13 ] \times10^{3} $     & $ [ 2.93 \pm0.12 ] \times10^{3} $     & $ [ 3.02 \pm0.12 ] \times10^{3} $     & $ [ 2.89 \pm0.12 ] \times10^{3} $     & $ [ 2.76 \pm0.11 ] \times10^{3} $     & $ [ 2.69 \pm0.11 ] \times10^{3} $     & $ [ 2.37 \pm0.10 ] \times10^{3} $     & $ [ 2.25 \pm0.10 ] \times10^{3} $     & $ [ 2.01 \pm0.10 ] \times10^{3} $     & $ [ 2.33 \pm0.11 ] \times10^{3} $     & $ [ 2.03 \pm0.09 ] \times10^{3} $     & $ [ 1.74 \pm0.09 ] \times10^{3} $     & $ [ 1.64 \pm0.08 ] \times10^{3} $     & $ [ 1.84 \pm0.09 ] \times10^{3} $     & $ [ 1.64 \pm0.09 ] \times10^{3} $     & $ [ 1.76 \pm0.10 ] \times10^{3} $     & $ [ 1.74 \pm0.08 ] \times10^{3} $     & $ [ 1.77 \pm0.08 ] \times10^{3} $     & $ [ 1.60 \pm0.09 ] \times10^{3} $     & $ [ 1.68 \pm0.08 ] \times10^{3} $     & $ [ 1.75 \pm0.09 ] \times10^{3} $     & $ [ 1.59 \pm0.08 ] \times10^{3} $     & $ [ 1.46 \pm0.08 ] \times10^{3} $     & $ [ 1.39 \pm0.08 ] \times10^{3} $     & $ [ 76.4 \pm0.6 ] \times10^{3} $     
------------------------------------------
Data                 & 182490                                & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 1710                                  & 6051                                  & 5315                                  & 4936                                  & 4640                                  & 4118                                  & 3770                                  & 3486                                  & 3172                                  & 3010                                  & 2823                                  & 2653                                  & 2474                                  & 2387                                  & 2183                                  & 2042                                  & 2006                                  & 1825                                  & 1810                                  & 1699                                  & 1763                                  & 1812                                  & 1767                                  & 1810                                  & 1770                                  & 1828                                  & 1724                                  & 1652                                  & 1709                                  & 1631                                  & 1665                                  & 79549                                
