------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 12217 \pm6 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 56.5 \pm0.4 ] \times10^{3} $      & $ [ 204.8 \pm0.8 ] \times10^{3} $     & $ [ 179.6 \pm0.8 ] \times10^{3} $     & $ [ 160.2 \pm0.8 ] \times10^{3} $     & $ [ 141.2 \pm0.7 ] \times10^{3} $     & $ [ 126.3 \pm0.7 ] \times10^{3} $     & $ [ 114.2 \pm0.7 ] \times10^{3} $     & $ [ 104.3 \pm0.7 ] \times10^{3} $     & $ [ 95.7 \pm0.6 ] \times10^{3} $      & $ [ 86.7 \pm0.6 ] \times10^{3} $      & $ [ 79.9 \pm0.6 ] \times10^{3} $      & $ [ 74.1 \pm0.6 ] \times10^{3} $      & $ [ 68.3 \pm0.5 ] \times10^{3} $      & $ [ 61.3 \pm0.5 ] \times10^{3} $      & $ [ 56.9 \pm0.5 ] \times10^{3} $      & $ [ 53.1 \pm0.5 ] \times10^{3} $      & $ [ 48.1 \pm0.5 ] \times10^{3} $      & $ [ 44.5 \pm0.4 ] \times10^{3} $      & $ [ 41.6 \pm0.4 ] \times10^{3} $      & $ [ 39.0 \pm0.4 ] \times10^{3} $      & $ [ 38.5 \pm0.4 ] \times10^{3} $      & $ [ 37.7 \pm0.4 ] \times10^{3} $      & $ [ 38.1 \pm0.4 ] \times10^{3} $      & $ [ 37.0 \pm0.4 ] \times10^{3} $      & $ [ 35.4 \pm0.4 ] \times10^{3} $      & $ [ 34.6 \pm0.4 ] \times10^{3} $      & $ [ 34.2 \pm0.4 ] \times10^{3} $      & $ [ 32.0 \pm0.4 ] \times10^{3} $      & $ [ 30.9 \pm0.4 ] \times10^{3} $      & $ [ 29.6 \pm0.4 ] \times10^{3} $      & $ [ 28.7 \pm0.4 ] \times10^{3} $      & $ [ 927.1 \pm2.1 ] \times10^{3} $    
#gamma+jets          & $ [ 0.22 \pm0.13 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 1.1 \pm1.1 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.25 \pm0.11 ] \times10^{3} $    
Top                  & $ [ 10.06 \pm0.13 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 134 \pm17 $                         & $ 553 \pm34 $                         & $ 490 \pm33 $                         & $ 448 \pm33 $                         & $ 511 \pm32 $                         & $ 413 \pm31 $                         & $ 432 \pm30 $                         & $ 360 \pm29 $                         & $ 302 \pm29 $                         & $ 354 \pm29 $                         & $ 330 \pm28 $                         & $ 303 \pm27 $                         & $ 334 \pm27 $                         & $ 251 \pm26 $                         & $ 263 \pm26 $                         & $ 279 \pm26 $                         & $ 316 \pm25 $                         & $ 267 \pm24 $                         & $ 250 \pm23 $                         & $ 258 \pm24 $                         & $ 250 \pm24 $                         & $ 293 \pm24 $                         & $ 250 \pm24 $                         & $ 272 \pm24 $                         & $ 212 \pm23 $                         & $ 254 \pm24 $                         & $ 275 \pm24 $                         & $ 296 \pm24 $                         & $ 268 \pm24 $                         & $ 252 \pm24 $                         & $ 277 \pm24 $                         & $ [ 15.24 \pm0.20 ] \times10^{3} $   
Multiboson           & $ [ 8.06 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 83 \pm5 $                           & $ 341 \pm10 $                         & $ 320 \pm10 $                         & $ 306 \pm10 $                         & $ 290 \pm10 $                         & $ 272 \pm9 $                          & $ 249 \pm9 $                          & $ 237 \pm9 $                          & $ 240 \pm9 $                          & $ 208 \pm8 $                          & $ 222 \pm8 $                          & $ 204 \pm8 $                          & $ 174 \pm7 $                          & $ 195 \pm8 $                          & $ 161 \pm7 $                          & $ 165 \pm7 $                          & $ 166 \pm7 $                          & $ 144 \pm7 $                          & $ 148 \pm7 $                          & $ 146 \pm7 $                          & $ 130 \pm6 $                          & $ 136 \pm7 $                          & $ 139 \pm7 $                          & $ 144 \pm7 $                          & $ 129 \pm6 $                          & $ 138 \pm6 $                          & $ 145 \pm7 $                          & $ 144 \pm7 $                          & $ 146 \pm7 $                          & $ 146 \pm7 $                          & $ 146 \pm7 $                          & $ [ 6.21 \pm0.04 ] \times10^{3} $    
W                    & $ [ 1.49 \pm0.29 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.08 \pm0.08 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.2 \pm2.2 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.25 \pm0.12 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 12237 \pm6 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 56.8 \pm0.4 ] \times10^{3} $      & $ [ 205.7 \pm0.8 ] \times10^{3} $     & $ [ 180.5 \pm0.8 ] \times10^{3} $     & $ [ 160.9 \pm0.8 ] \times10^{3} $     & $ [ 142.0 \pm0.8 ] \times10^{3} $     & $ [ 127.0 \pm0.7 ] \times10^{3} $     & $ [ 114.9 \pm0.7 ] \times10^{3} $     & $ [ 104.9 \pm0.7 ] \times10^{3} $     & $ [ 96.2 \pm0.6 ] \times10^{3} $      & $ [ 87.3 \pm0.6 ] \times10^{3} $      & $ [ 80.4 \pm0.6 ] \times10^{3} $      & $ [ 74.6 \pm0.6 ] \times10^{3} $      & $ [ 68.8 \pm0.5 ] \times10^{3} $      & $ [ 61.9 \pm0.5 ] \times10^{3} $      & $ [ 57.3 \pm0.5 ] \times10^{3} $      & $ [ 53.5 \pm0.5 ] \times10^{3} $      & $ [ 48.6 \pm0.5 ] \times10^{3} $      & $ [ 44.9 \pm0.4 ] \times10^{3} $      & $ [ 42.0 \pm0.4 ] \times10^{3} $      & $ [ 39.4 \pm0.4 ] \times10^{3} $      & $ [ 38.9 \pm0.4 ] \times10^{3} $      & $ [ 38.1 \pm0.4 ] \times10^{3} $      & $ [ 38.4 \pm0.4 ] \times10^{3} $      & $ [ 37.4 \pm0.4 ] \times10^{3} $      & $ [ 35.7 \pm0.4 ] \times10^{3} $      & $ [ 35.0 \pm0.4 ] \times10^{3} $      & $ [ 34.7 \pm0.4 ] \times10^{3} $      & $ [ 32.4 \pm0.4 ] \times10^{3} $      & $ [ 31.3 \pm0.4 ] \times10^{3} $      & $ [ 30.1 \pm0.4 ] \times10^{3} $      & $ [ 29.1 \pm0.4 ] \times10^{3} $      & $ [ 949.0 \pm2.2 ] \times10^{3} $    
------------------------------------------
Data                 & 12629568                              & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 61297                                 & 217105                                & 185577                                & 164544                                & 145588                                & 128843                                & 114632                                & 102793                                & 93248                                 & 85437                                 & 78907                                 & 72520                                 & 65998                                 & 60557                                 & 55683                                 & 51385                                 & 47539                                 & 44283                                 & 40803                                 & 38679                                 & 38734                                 & 38365                                 & 37890                                 & 37722                                 & 37069                                 & 35500                                 & 34451                                 & 33145                                 & 32234                                 & 30676                                 & 30301                                 & 972962                               
------------------------------------------
