------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 966.8 \pm1.6 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 5.33 \pm0.15 ] \times10^{3} $     & $ [ 19.97 \pm0.30 ] \times10^{3} $    & $ [ 17.21 \pm0.29 ] \times10^{3} $    & $ [ 15.42 \pm0.28 ] \times10^{3} $    & $ [ 13.65 \pm0.27 ] \times10^{3} $    & $ [ 12.48 \pm0.26 ] \times10^{3} $    & $ [ 10.36 \pm0.24 ] \times10^{3} $    & $ [ 9.59 \pm0.25 ] \times10^{3} $     & $ [ 9.06 \pm0.24 ] \times10^{3} $     & $ [ 8.44 \pm0.23 ] \times10^{3} $     & $ [ 8.16 \pm0.23 ] \times10^{3} $     & $ [ 7.33 \pm0.22 ] \times10^{3} $     & $ [ 6.73 \pm0.21 ] \times10^{3} $     & $ [ 5.87 \pm0.20 ] \times10^{3} $     & $ [ 5.97 \pm0.20 ] \times10^{3} $     & $ [ 5.40 \pm0.21 ] \times10^{3} $     & $ [ 5.48 \pm0.21 ] \times10^{3} $     & $ [ 4.97 \pm0.19 ] \times10^{3} $     & $ [ 4.41 \pm0.18 ] \times10^{3} $     & $ [ 4.03 \pm0.19 ] \times10^{3} $     & $ [ 4.46 \pm0.19 ] \times10^{3} $     & $ [ 4.41 \pm0.18 ] \times10^{3} $     & $ [ 4.37 \pm0.19 ] \times10^{3} $     & $ [ 4.30 \pm0.18 ] \times10^{3} $     & $ [ 4.05 \pm0.18 ] \times10^{3} $     & $ [ 4.49 \pm0.20 ] \times10^{3} $     & $ [ 3.84 \pm0.17 ] \times10^{3} $     & $ [ 3.80 \pm0.18 ] \times10^{3} $     & $ [ 3.54 \pm0.17 ] \times10^{3} $     & $ [ 3.67 \pm0.18 ] \times10^{3} $     & $ [ 3.26 \pm0.16 ] \times10^{3} $     & $ [ 121.1 \pm1.0 ] \times10^{3} $    
#gamma+jets          & $ [ 1.7 \pm0.4 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 8 \pm8 $                            & $ 14 \pm10 $                          & $ [ 0.09 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 9 \pm9 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.05 ] \times10^{3} $     & $ [ 0.10 \pm0.10 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0.16 \pm0.16 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.11 \pm0.07 ] \times10^{3} $     & $ 32 \pm32 $                          & $ 39 \pm32 $                          & $ 6 \pm6 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.10 ] \times10^{3} $     & $ 34 \pm34 $                          & $ [ 0.06 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.74 \pm0.15 ] \times10^{3} $    
Top                  & $ [ 34.99 \pm0.25 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 494 \pm33 $                         & $ [ 1.76 \pm0.06 ] \times10^{3} $     & $ [ 1.68 \pm0.06 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.21 \pm0.06 ] \times10^{3} $     & $ [ 1.17 \pm0.05 ] \times10^{3} $     & $ [ 1.21 \pm0.05 ] \times10^{3} $     & $ [ 1.18 \pm0.05 ] \times10^{3} $     & $ [ 1.13 \pm0.05 ] \times10^{3} $     & $ [ 1.13 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.98 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.83 \pm0.04 ] \times10^{3} $     & $ [ 0.84 \pm0.04 ] \times10^{3} $     & $ [ 0.91 \pm0.04 ] \times10^{3} $     & $ [ 0.81 \pm0.04 ] \times10^{3} $     & $ [ 0.89 \pm0.04 ] \times10^{3} $     & $ [ 0.85 \pm0.04 ] \times10^{3} $     & $ [ 0.80 \pm0.05 ] \times10^{3} $     & $ [ 0.89 \pm0.04 ] \times10^{3} $     & $ [ 0.82 \pm0.05 ] \times10^{3} $     & $ [ 0.83 \pm0.05 ] \times10^{3} $     & $ [ 0.80 \pm0.04 ] \times10^{3} $     & $ [ 0.76 \pm0.04 ] \times10^{3} $     & $ [ 57.2 \pm0.4 ] \times10^{3} $     
Multiboson           & $ [ 6.79 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 45 \pm4 $                           & $ 173 \pm8 $                          & $ 132 \pm7 $                          & $ 118 \pm7 $                          & $ 107 \pm7 $                          & $ 101 \pm6 $                          & $ 95 \pm6 $                           & $ 91 \pm6 $                           & $ 87 \pm6 $                           & $ 69 \pm5 $                           & $ 73 \pm5 $                           & $ 78 \pm5 $                           & $ 59 \pm5 $                           & $ 54 \pm5 $                           & $ 59 \pm5 $                           & $ 51 \pm4 $                           & $ 55 \pm5 $                           & $ 45 \pm4 $                           & $ 48 \pm4 $                           & $ 40 \pm4 $                           & $ 45 \pm4 $                           & $ 42 \pm4 $                           & $ 41 \pm4 $                           & $ 45 \pm4 $                           & $ 41 \pm4 $                           & $ 40 \pm4 $                           & $ 44 \pm4 $                           & $ 42 \pm4 $                           & $ 39 \pm4 $                           & $ 34.1 \pm3.5 $                       & $ 44 \pm4 $                           & $ 1668 \pm25 $                       
W                    & $ [ 6.7 \pm0.6 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.11 \pm0.08 ] \times10^{3} $     & $ [ 0.08 \pm0.06 ] \times10^{3} $     & $ [ 0.12 \pm0.08 ] \times10^{3} $     & $ [ 0.08 \pm0.05 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ [ 0.11 \pm0.09 ] \times10^{3} $     & $ [ 0.16 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.12 \pm0.09 ] \times10^{3} $     & $ [ 0.23 \pm0.12 ] \times10^{3} $     & $ [ 0.12 \pm0.09 ] \times10^{3} $     & $ [ 0.23 \pm0.12 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.17 \pm0.10 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.9 \pm0.9 $                        & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 2.0 \pm2.0 $                        & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ [ 0.08 \pm0.08 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.38 \pm0.28 ] \times10^{3} $    
QCD                  & $ [ 4 \pm4 ] \times10^{3} $           & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.8 \pm1.8 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 27 \pm23 ] \times10^{3} $        
------------------------------------------
Total                & $ [ 1021 \pm4 ] \times10^{3} $        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 5.93 \pm0.17 ] \times10^{3} $     & $ [ 22.07 \pm0.32 ] \times10^{3} $    & $ [ 19.12 \pm0.30 ] \times10^{3} $    & $ [ 17.33 \pm0.30 ] \times10^{3} $    & $ [ 15.50 \pm0.29 ] \times10^{3} $    & $ [ 14.20 \pm0.27 ] \times10^{3} $    & $ [ 11.94 \pm0.26 ] \times10^{3} $    & $ [ 11.07 \pm0.27 ] \times10^{3} $    & $ [ 12.1 \pm1.8 ] \times10^{3} $      & $ [ 9.91 \pm0.26 ] \times10^{3} $     & $ [ 9.64 \pm0.26 ] \times10^{3} $     & $ [ 8.66 \pm0.24 ] \times10^{3} $     & $ [ 8.23 \pm0.26 ] \times10^{3} $     & $ [ 7.14 \pm0.24 ] \times10^{3} $     & $ [ 6.99 \pm0.21 ] \times10^{3} $     & $ [ 6.55 \pm0.24 ] \times10^{3} $     & $ [ 6.57 \pm0.22 ] \times10^{3} $     & $ [ 5.99 \pm0.20 ] \times10^{3} $     & $ [ 5.42 \pm0.21 ] \times10^{3} $     & $ [ 4.90 \pm0.19 ] \times10^{3} $     & $ [ 5.41 \pm0.21 ] \times10^{3} $     & $ [ 5.36 \pm0.19 ] \times10^{3} $     & $ [ 5.33 \pm0.20 ] \times10^{3} $     & $ [ 5.27 \pm0.19 ] \times10^{3} $     & $ [ 5.03 \pm0.20 ] \times10^{3} $     & $ [ 5.33 \pm0.21 ] \times10^{3} $     & $ [ 4.77 \pm0.17 ] \times10^{3} $     & $ [ 4.89 \pm0.23 ] \times10^{3} $     & $ [ 4.51 \pm0.20 ] \times10^{3} $     & $ [ 4.56 \pm0.19 ] \times10^{3} $     & $ [ 4.06 \pm0.17 ] \times10^{3} $     & $ [ 209 \pm23 ] \times10^{3} $       
------------------------------------------
Data                 & 1092961                               & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 6626                                  & 23100                                 & 20229                                 & 18111                                 & 16586                                 & 14625                                 & 13143                                 & 12159                                 & 10913                                 & 10228                                 & 9468                                  & 8856                                  & 8362                                  & 7584                                  & 6978                                  & 6726                                  & 6254                                  & 5825                                  & 5519                                  & 5356                                  & 5469                                  & 5566                                  & 5430                                  & 5221                                  & 5396                                  & 5290                                  & 5080                                  & 5067                                  & 4807                                  & 4820                                  & 4635                                  & 186488                               
