------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 13183 \pm6 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 61.9 \pm0.5 ] \times10^{3} $      & $ [ 224.8 \pm0.9 ] \times10^{3} $     & $ [ 196.8 \pm0.9 ] \times10^{3} $     & $ [ 175.6 \pm0.8 ] \times10^{3} $     & $ [ 154.8 \pm0.8 ] \times10^{3} $     & $ [ 138.8 \pm0.8 ] \times10^{3} $     & $ [ 124.5 \pm0.7 ] \times10^{3} $     & $ [ 113.9 \pm0.7 ] \times10^{3} $     & $ [ 104.7 \pm0.7 ] \times10^{3} $     & $ [ 95.1 \pm0.7 ] \times10^{3} $      & $ [ 88.1 \pm0.6 ] \times10^{3} $      & $ [ 81.4 \pm0.6 ] \times10^{3} $      & $ [ 75.0 \pm0.6 ] \times10^{3} $      & $ [ 67.2 \pm0.6 ] \times10^{3} $      & $ [ 62.8 \pm0.5 ] \times10^{3} $      & $ [ 58.5 \pm0.5 ] \times10^{3} $      & $ [ 53.6 \pm0.5 ] \times10^{3} $      & $ [ 49.4 \pm0.5 ] \times10^{3} $      & $ [ 46.0 \pm0.5 ] \times10^{3} $      & $ [ 43.0 \pm0.5 ] \times10^{3} $      & $ [ 43.0 \pm0.5 ] \times10^{3} $      & $ [ 42.1 \pm0.4 ] \times10^{3} $      & $ [ 42.4 \pm0.4 ] \times10^{3} $      & $ [ 41.3 \pm0.4 ] \times10^{3} $      & $ [ 39.4 \pm0.4 ] \times10^{3} $      & $ [ 39.1 \pm0.4 ] \times10^{3} $      & $ [ 38.1 \pm0.4 ] \times10^{3} $      & $ [ 35.8 \pm0.4 ] \times10^{3} $      & $ [ 34.4 \pm0.4 ] \times10^{3} $      & $ [ 33.3 \pm0.4 ] \times10^{3} $      & $ [ 31.9 \pm0.4 ] \times10^{3} $      & $ [ 1048.2 \pm2.4 ] \times10^{3} $   
#gamma+jets          & $ [ 2.0 \pm0.4 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 8 \pm8 $                            & $ 14 \pm10 $                          & $ [ 0.09 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 9 \pm9 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.05 ] \times10^{3} $     & $ [ 0.10 \pm0.10 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ [ 0.11 \pm0.07 ] \times10^{3} $     & $ 32 \pm32 $                          & $ 39 \pm32 $                          & $ 6 \pm6 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.10 ] \times10^{3} $     & $ 34 \pm34 $                          & $ [ 0.06 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.99 \pm0.19 ] \times10^{3} $    
Top                  & $ [ 45.04 \pm0.29 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.63 \pm0.04 ] \times10^{3} $     & $ [ 2.31 \pm0.07 ] \times10^{3} $     & $ [ 2.17 \pm0.07 ] \times10^{3} $     & $ [ 2.07 \pm0.07 ] \times10^{3} $     & $ [ 2.08 \pm0.07 ] \times10^{3} $     & $ [ 1.98 \pm0.07 ] \times10^{3} $     & $ [ 1.80 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.06 ] \times10^{3} $     & $ [ 1.43 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 1.30 \pm0.06 ] \times10^{3} $     & $ [ 1.22 \pm0.05 ] \times10^{3} $     & $ [ 1.18 \pm0.05 ] \times10^{3} $     & $ [ 1.30 \pm0.05 ] \times10^{3} $     & $ [ 1.21 \pm0.05 ] \times10^{3} $     & $ [ 1.04 \pm0.05 ] \times10^{3} $     & $ [ 1.09 \pm0.05 ] \times10^{3} $     & $ [ 1.09 \pm0.05 ] \times10^{3} $     & $ [ 1.20 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 1.16 \pm0.05 ] \times10^{3} $     & $ [ 1.07 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 1.17 \pm0.05 ] \times10^{3} $     & $ [ 1.11 \pm0.05 ] \times10^{3} $     & $ [ 1.09 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 1.03 \pm0.05 ] \times10^{3} $     & $ [ 72.5 \pm0.4 ] \times10^{3} $     
Multiboson           & $ [ 14.86 \pm0.07 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 127 \pm7 $                          & $ 514 \pm13 $                         & $ 453 \pm12 $                         & $ 423 \pm12 $                         & $ 397 \pm12 $                         & $ 373 \pm11 $                         & $ 344 \pm11 $                         & $ 327 \pm11 $                         & $ 328 \pm11 $                         & $ 277 \pm10 $                         & $ 294 \pm10 $                         & $ 282 \pm10 $                         & $ 233 \pm9 $                          & $ 249 \pm9 $                          & $ 219 \pm8 $                          & $ 217 \pm8 $                          & $ 222 \pm9 $                          & $ 188 \pm8 $                          & $ 196 \pm8 $                          & $ 187 \pm8 $                          & $ 175 \pm8 $                          & $ 178 \pm8 $                          & $ 181 \pm8 $                          & $ 189 \pm8 $                          & $ 171 \pm8 $                          & $ 177 \pm8 $                          & $ 189 \pm8 $                          & $ 186 \pm8 $                          & $ 185 \pm8 $                          & $ 180 \pm8 $                          & $ 190 \pm8 $                          & $ [ 7.87 \pm0.05 ] \times10^{3} $    
W                    & $ [ 8.2 \pm0.7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.11 \pm0.08 ] \times10^{3} $     & $ [ 0.14 \pm0.08 ] \times10^{3} $     & $ [ 0.12 \pm0.08 ] \times10^{3} $     & $ [ 0.14 \pm0.08 ] \times10^{3} $     & $ [ 0.11 \pm0.08 ] \times10^{3} $     & $ [ 0.15 \pm0.09 ] \times10^{3} $     & $ [ 0.16 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.12 \pm0.09 ] \times10^{3} $     & $ [ 0.23 \pm0.12 ] \times10^{3} $     & $ [ 0.12 \pm0.09 ] \times10^{3} $     & $ [ 0.23 \pm0.12 ] \times10^{3} $     & $ [ 0.12 \pm0.08 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.25 \pm0.13 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 2.2 \pm2.2 $                        & $ 0.9 \pm0.9 $                        & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 2.0 \pm2.0 $                        & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ [ 0.08 \pm0.08 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 1.63 \pm0.30 ] \times10^{3} $    
QCD                  & $ [ 4 \pm4 ] \times10^{3} $           & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.8 \pm1.8 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 27 \pm23 ] \times10^{3} $        
------------------------------------------
Total                & $ [ 13257 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 62.7 \pm0.5 ] \times10^{3} $      & $ [ 227.7 \pm0.9 ] \times10^{3} $     & $ [ 199.6 \pm0.9 ] \times10^{3} $     & $ [ 178.2 \pm0.8 ] \times10^{3} $     & $ [ 157.5 \pm0.8 ] \times10^{3} $     & $ [ 141.2 \pm0.8 ] \times10^{3} $     & $ [ 126.8 \pm0.7 ] \times10^{3} $     & $ [ 116.0 \pm0.7 ] \times10^{3} $     & $ [ 108.3 \pm1.9 ] \times10^{3} $     & $ [ 97.2 \pm0.7 ] \times10^{3} $      & $ [ 90.1 \pm0.6 ] \times10^{3} $      & $ [ 83.2 \pm0.6 ] \times10^{3} $      & $ [ 77.0 \pm0.6 ] \times10^{3} $      & $ [ 69.0 \pm0.6 ] \times10^{3} $      & $ [ 64.3 \pm0.5 ] \times10^{3} $      & $ [ 60.0 \pm0.5 ] \times10^{3} $      & $ [ 55.2 \pm0.5 ] \times10^{3} $      & $ [ 50.9 \pm0.5 ] \times10^{3} $      & $ [ 47.5 \pm0.5 ] \times10^{3} $      & $ [ 44.3 \pm0.5 ] \times10^{3} $      & $ [ 44.3 \pm0.5 ] \times10^{3} $      & $ [ 43.5 \pm0.4 ] \times10^{3} $      & $ [ 43.8 \pm0.5 ] \times10^{3} $      & $ [ 42.7 \pm0.4 ] \times10^{3} $      & $ [ 40.8 \pm0.4 ] \times10^{3} $      & $ [ 40.4 \pm0.4 ] \times10^{3} $      & $ [ 39.4 \pm0.4 ] \times10^{3} $      & $ [ 37.3 \pm0.4 ] \times10^{3} $      & $ [ 35.8 \pm0.4 ] \times10^{3} $      & $ [ 34.7 \pm0.4 ] \times10^{3} $      & $ [ 33.1 \pm0.4 ] \times10^{3} $      & $ [ 1158 \pm23 ] \times10^{3} $      
------------------------------------------
Data                 & 13722529                              & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 67923                                 & 240205                                & 205806                                & 182655                                & 162174                                & 143468                                & 127775                                & 114952                                & 104161                                & 95665                                 & 88375                                 & 81376                                 & 74360                                 & 68141                                 & 62661                                 & 58111                                 & 53793                                 & 50108                                 & 46322                                 & 44035                                 & 44203                                 & 43931                                 & 43320                                 & 42943                                 & 42465                                 & 40790                                 & 39531                                 & 38212                                 & 37041                                 & 35496                                 & 34936                                 & 1159450                              
