------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 0.63 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm4 $                            & $ 12 \pm9 $                           & $ 18 \pm10 $                          & $ 27 \pm9 $                           & $ 11 \pm7 $                           & $ -2 \pm7 $                           & $ -6 \pm8 $                           & $ 21 \pm8 $                           & $ -1 \pm7 $                           & $ 8 \pm8 $                            & $ 11 \pm6 $                           & $ 10 \pm9 $                           & $ 3 \pm6 $                            & $ 17 \pm7 $                           & $ 3 \pm4 $                            & $ 3 \pm6 $                            & $ 1 \pm5 $                            & $ 0 \pm5 $                            & $ 6 \pm5 $                            & $ 3 \pm6 $                            & $ -8 \pm7 $                           & $ 5 \pm4 $                            & $ 4 \pm4 $                            & $ 15 \pm8 $                           & $ 6 \pm6 $                            & $ 7 \pm5 $                            & $ 4 \pm6 $                            & $ 10 \pm6 $                           & $ 6 \pm5 $                            & $ 7 \pm5 $                            & $ 6 \pm5 $                            & $ 215 \pm33 $                        
#gamma+jets          & $ [ 0.08 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 4 \pm4 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 20 \pm12 $                         
Top                  & $ [ 75.2 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.96 \pm0.05 ] \times10^{3} $     & $ [ 3.56 \pm0.09 ] \times10^{3} $     & $ [ 3.44 \pm0.09 ] \times10^{3} $     & $ [ 3.05 \pm0.09 ] \times10^{3} $     & $ [ 2.98 \pm0.08 ] \times10^{3} $     & $ [ 2.78 \pm0.08 ] \times10^{3} $     & $ [ 2.68 \pm0.08 ] \times10^{3} $     & $ [ 2.39 \pm0.08 ] \times10^{3} $     & $ [ 2.44 \pm0.08 ] \times10^{3} $     & $ [ 2.31 \pm0.08 ] \times10^{3} $     & $ [ 2.30 \pm0.08 ] \times10^{3} $     & $ [ 2.03 \pm0.07 ] \times10^{3} $     & $ [ 1.96 \pm0.07 ] \times10^{3} $     & $ [ 2.03 \pm0.07 ] \times10^{3} $     & $ [ 1.82 \pm0.07 ] \times10^{3} $     & $ [ 1.76 \pm0.07 ] \times10^{3} $     & $ [ 1.72 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.55 \pm0.06 ] \times10^{3} $     & $ [ 1.53 \pm0.06 ] \times10^{3} $     & $ [ 1.53 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.46 \pm0.06 ] \times10^{3} $     & $ [ 1.50 \pm0.06 ] \times10^{3} $     & $ [ 1.58 \pm0.06 ] \times10^{3} $     & $ [ 1.58 \pm0.06 ] \times10^{3} $     & $ [ 1.53 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 87.1 \pm0.5 ] \times10^{3} $     
Multiboson           & $ 159 \pm8 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 1.1 \pm0.7 $                        & $ 4.3 \pm1.4 $                        & $ 5.3 \pm1.5 $                        & $ 2.5 \pm1.0 $                        & $ 2.4 \pm0.9 $                        & $ 5.0 \pm1.5 $                        & $ 3.0 \pm1.2 $                        & $ 1.6 \pm0.7 $                        & $ 2.4 \pm1.0 $                        & $ 2.5 \pm1.0 $                        & $ 1.3 \pm0.7 $                        & $ 2.5 \pm1.1 $                        & $ 1.8 \pm0.8 $                        & $ 1.3 \pm0.8 $                        & $ 2.4 \pm1.1 $                        & $ 2.3 \pm1.1 $                        & $ 0.9 \pm0.7 $                        & $ 1.4 \pm0.8 $                        & $ 0.016 \pm0.012 $                    & $ 0.9 \pm0.6 $                        & $ 1.2 \pm0.7 $                        & $ 0 \pm0 $                            & $ 0.8 \pm0.6 $                        & $ 1.8 \pm0.9 $                        & $ 1.3 \pm0.8 $                        & $ 0.5 \pm0.4 $                        & $ 0.9 \pm0.6 $                        & $ 2.6 \pm1.1 $                        & $ 0.5 \pm0.5 $                        & $ 0.021 \pm0.021 $                    & $ 0.32 \pm0.32 $                      & $ 52 \pm5 $                          
W                    & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.07 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 76.1 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.96 \pm0.05 ] \times10^{3} $     & $ [ 3.58 \pm0.09 ] \times10^{3} $     & $ [ 3.47 \pm0.09 ] \times10^{3} $     & $ [ 3.08 \pm0.09 ] \times10^{3} $     & $ [ 2.99 \pm0.09 ] \times10^{3} $     & $ [ 2.84 \pm0.10 ] \times10^{3} $     & $ [ 2.73 \pm0.10 ] \times10^{3} $     & $ [ 2.41 \pm0.08 ] \times10^{3} $     & $ [ 2.44 \pm0.08 ] \times10^{3} $     & $ [ 2.32 \pm0.08 ] \times10^{3} $     & $ [ 2.31 \pm0.08 ] \times10^{3} $     & $ [ 2.04 \pm0.07 ] \times10^{3} $     & $ [ 1.96 \pm0.07 ] \times10^{3} $     & $ [ 2.05 \pm0.07 ] \times10^{3} $     & $ [ 1.83 \pm0.07 ] \times10^{3} $     & $ [ 1.76 \pm0.07 ] \times10^{3} $     & $ [ 1.72 \pm0.06 ] \times10^{3} $     & $ [ 1.68 \pm0.09 ] \times10^{3} $     & $ [ 1.55 \pm0.06 ] \times10^{3} $     & $ [ 1.53 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.59 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.06 ] \times10^{3} $     & $ [ 1.58 \pm0.06 ] \times10^{3} $     & $ [ 1.59 \pm0.06 ] \times10^{3} $     & $ [ 1.53 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.48 \pm0.06 ] \times10^{3} $     & $ [ 87.5 \pm0.5 ] \times10^{3} $     
------------------------------------------
Data                 & 86701                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 1084                                  & 4131                                  & 3743                                  & 3525                                  & 3191                                  & 3009                                  & 2742                                  & 2652                                  & 2450                                  & 2315                                  & 2320                                  & 2147                                  & 2072                                  & 1843                                  & 1831                                  & 1707                                  & 1604                                  & 1516                                  & 1455                                  & 1442                                  & 1510                                  & 1507                                  & 1569                                  & 1519                                  & 1530                                  & 1560                                  & 1478                                  & 1525                                  & 1489                                  & 1477                                  & 1476                                  & 81691                                
------------------------------------------
