------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 0.57 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm4 $                            & $ 8 \pm8 $                            & $ 11 \pm9 $                           & $ 20 \pm8 $                           & $ 9 \pm7 $                            & $ -1 \pm7 $                           & $ -2 \pm7 $                           & $ 16 \pm7 $                           & $ -3 \pm7 $                           & $ 7 \pm7 $                            & $ 7 \pm5 $                            & $ 8 \pm8 $                            & $ 4 \pm6 $                            & $ 13 \pm6 $                           & $ 2 \pm4 $                            & $ 6 \pm5 $                            & $ 1 \pm5 $                            & $ 1 \pm4 $                            & $ 4 \pm4 $                            & $ 0 \pm5 $                            & $ -8 \pm6 $                           & $ 3.0 \pm3.0 $                        & $ 2.2 \pm3.3 $                        & $ 11 \pm8 $                           & $ 6 \pm6 $                            & $ 7 \pm5 $                            & $ 4 \pm6 $                            & $ 8 \pm5 $                            & $ 6 \pm5 $                            & $ 7 \pm5 $                            & $ 4 \pm4 $                            & $ 161 \pm30 $                        
#gamma+jets          & $ [ 0.08 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 4 \pm4 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 14 \pm10 $                         
Top                  & $ [ 74.8 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 3.54 \pm0.09 ] \times10^{3} $     & $ [ 3.43 \pm0.09 ] \times10^{3} $     & $ [ 3.03 \pm0.09 ] \times10^{3} $     & $ [ 2.96 \pm0.08 ] \times10^{3} $     & $ [ 2.76 \pm0.08 ] \times10^{3} $     & $ [ 2.66 \pm0.08 ] \times10^{3} $     & $ [ 2.36 \pm0.08 ] \times10^{3} $     & $ [ 2.43 \pm0.08 ] \times10^{3} $     & $ [ 2.29 \pm0.08 ] \times10^{3} $     & $ [ 2.28 \pm0.07 ] \times10^{3} $     & $ [ 2.01 \pm0.07 ] \times10^{3} $     & $ [ 1.96 \pm0.07 ] \times10^{3} $     & $ [ 2.02 \pm0.07 ] \times10^{3} $     & $ [ 1.81 \pm0.07 ] \times10^{3} $     & $ [ 1.74 \pm0.07 ] \times10^{3} $     & $ [ 1.70 \pm0.06 ] \times10^{3} $     & $ [ 1.60 \pm0.06 ] \times10^{3} $     & $ [ 1.53 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.60 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.56 \pm0.06 ] \times10^{3} $     & $ [ 1.46 \pm0.06 ] \times10^{3} $     & $ [ 1.49 \pm0.06 ] \times10^{3} $     & $ [ 1.56 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 86.3 \pm0.5 ] \times10^{3} $     
Multiboson           & $ 132 \pm8 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 1.1 \pm0.7 $                        & $ 3.4 \pm1.3 $                        & $ 4.7 \pm1.3 $                        & $ 2.2 \pm0.9 $                        & $ 2.4 \pm0.9 $                        & $ 3.6 \pm1.2 $                        & $ 3.0 \pm1.2 $                        & $ 1.6 \pm0.7 $                        & $ 1.9 \pm0.8 $                        & $ 1.8 \pm0.9 $                        & $ 1.3 \pm0.7 $                        & $ 2.5 \pm1.1 $                        & $ 0.7 \pm0.5 $                        & $ 1.3 \pm0.8 $                        & $ 2.4 \pm1.1 $                        & $ 2.3 \pm1.1 $                        & $ 0.9 \pm0.7 $                        & $ 1.4 \pm0.8 $                        & $ 0.016 \pm0.012 $                    & $ 0.9 \pm0.6 $                        & $ 0.8 \pm0.6 $                        & $ 0 \pm0 $                            & $ 0.31 \pm0.31 $                      & $ 1.5 \pm0.9 $                        & $ 0.9 \pm0.7 $                        & $ 0.23 \pm0.23 $                      & $ [ 3.0 \pm3.0 ] \times10^{-3} $      & $ 1.6 \pm0.8 $                        & $ 0.5 \pm0.5 $                        & $ 0.021 \pm0.021 $                    & $ 0.32 \pm0.32 $                      & $ 35 \pm4 $                          
W                    & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 75.7 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 3.56 \pm0.09 ] \times10^{3} $     & $ [ 3.45 \pm0.09 ] \times10^{3} $     & $ [ 3.05 \pm0.09 ] \times10^{3} $     & $ [ 2.97 \pm0.08 ] \times10^{3} $     & $ [ 2.83 \pm0.10 ] \times10^{3} $     & $ [ 2.71 \pm0.10 ] \times10^{3} $     & $ [ 2.38 \pm0.08 ] \times10^{3} $     & $ [ 2.43 \pm0.08 ] \times10^{3} $     & $ [ 2.30 \pm0.08 ] \times10^{3} $     & $ [ 2.28 \pm0.07 ] \times10^{3} $     & $ [ 2.02 \pm0.07 ] \times10^{3} $     & $ [ 1.96 \pm0.07 ] \times10^{3} $     & $ [ 2.04 \pm0.07 ] \times10^{3} $     & $ [ 1.81 \pm0.07 ] \times10^{3} $     & $ [ 1.75 \pm0.07 ] \times10^{3} $     & $ [ 1.71 \pm0.06 ] \times10^{3} $     & $ [ 1.67 \pm0.09 ] \times10^{3} $     & $ [ 1.53 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.60 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.46 \pm0.06 ] \times10^{3} $     & $ [ 1.50 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.58 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.53 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 86.5 \pm0.5 ] \times10^{3} $     
------------------------------------------
Data                 & 85998                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 1075                                  & 4098                                  & 3707                                  & 3483                                  & 3160                                  & 2979                                  & 2717                                  & 2631                                  & 2422                                  & 2284                                  & 2302                                  & 2126                                  & 2048                                  & 1820                                  & 1809                                  & 1693                                  & 1584                                  & 1499                                  & 1447                                  & 1428                                  & 1496                                  & 1494                                  & 1548                                  & 1505                                  & 1509                                  & 1543                                  & 1459                                  & 1510                                  & 1472                                  & 1459                                  & 1456                                  & 80330                                
------------------------------------------
