------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 325 \pm31 $                         & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.44 \pm0.31 $                      & $ 3 \pm5 $                            & $ 8 \pm4 $                            & $ 3.2 \pm2.4 $                        & $ 12 \pm5 $                           & $ 4.6 \pm3.2 $                        & $ 2.9 \pm3.5 $                        & $ 4 \pm4 $                            & $ 8 \pm4 $                            & $ 0 \pm0 $                            & $ -1.6 \pm1.7 $                       & $ 3.2 \pm2.8 $                        & $ 1.4 \pm3.5 $                        & $ 7 \pm4 $                            & $ -1 \pm4 $                           & $ 9 \pm4 $                            & $ 3.4 \pm2.4 $                        & $ 2.5 \pm2.0 $                        & $ 5.0 \pm3.0 $                        & $ 1.6 \pm1.6 $                        & $ 0 \pm4 $                            & $ 1.9 \pm1.9 $                        & $ 2.8 \pm2.8 $                        & $ 3.4 \pm2.3 $                        & $ 4.1 \pm2.9 $                        & $ 0.8 \pm0.8 $                        & $ -3.3 \pm2.5 $                       & $ -0.9 \pm2.2 $                       & $ 2.6 \pm2.6 $                        & $ 1.4 \pm1.4 $                        & $ 53 \pm17 $                         
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm6 $                           
Top                  & $ [ 0.91 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 20 \pm6 $                           & $ 36 \pm10 $                          & $ 31 \pm10 $                          & $ 49 \pm11 $                          & $ 37 \pm10 $                          & $ 26 \pm9 $                           & $ 27 \pm9 $                           & $ 30 \pm8 $                           & $ 42 \pm9 $                           & $ 31 \pm8 $                           & $ 35 \pm8 $                           & $ 18 \pm8 $                           & $ 34 \pm8 $                           & $ 34 \pm9 $                           & $ 23 \pm7 $                           & $ 24 \pm7 $                           & $ 28 \pm8 $                           & $ 23 \pm7 $                           & $ 31 \pm7 $                           & $ 24 \pm6 $                           & $ 17 \pm7 $                           & $ 34 \pm8 $                           & $ 18 \pm7 $                           & $ 18 \pm7 $                           & $ 22 \pm8 $                           & $ 22 \pm8 $                           & $ 34 \pm8 $                           & $ 32 \pm8 $                           & $ 23 \pm8 $                           & $ 29 \pm8 $                           & $ 19 \pm8 $                           & $ [ 1.51 \pm0.06 ] \times10^{3} $    
Multiboson           & $ 178 \pm9 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 1.4 \pm0.8 $                        & $ 2.9 \pm1.0 $                        & $ 1.6 \pm0.8 $                        & $ 3.0 \pm1.2 $                        & $ 2.6 \pm1.1 $                        & $ 1.8 \pm0.8 $                        & $ 2.8 \pm1.2 $                        & $ 1.2 \pm0.7 $                        & $ 0.6 \pm0.5 $                        & $ 0.8 \pm0.6 $                        & $ 2.4 \pm1.0 $                        & $ 1.0 \pm0.7 $                        & $ 0.4 \pm0.4 $                        & $ 1.0 \pm0.7 $                        & $ 0.9 \pm0.7 $                        & $ 0.9 \pm0.5 $                        & $ 0.8 \pm0.6 $                        & $ 2.1 \pm0.9 $                        & $ 0.7 \pm0.5 $                        & $ 0.4 \pm0.4 $                        & $ 0.4 \pm0.4 $                        & $ 0.9 \pm0.7 $                        & $ 0.5 \pm0.5 $                        & $ 0.5 \pm0.5 $                        & $ 0.08 \pm0.06 $                      & $ 1.2 \pm0.7 $                        & $ 0.5 \pm0.5 $                        & $ 1.3 \pm0.8 $                        & $ 2.1 \pm1.1 $                        & $ 0.005 \pm0.005 $                    & $ 0 \pm0 $                            & $ 27.8 \pm3.5 $                      
W                    & $ [ 0.08 \pm0.08 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 1.49 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 21 \pm6 $                           & $ 39 \pm10 $                          & $ [ 0.10 \pm0.07 ] \times10^{3} $     & $ 61 \pm12 $                          & $ 42 \pm10 $                          & $ 39 \pm10 $                          & $ 34 \pm10 $                          & $ 34 \pm9 $                           & $ 46 \pm10 $                          & $ 40 \pm9 $                           & $ 38 \pm9 $                           & $ 18 \pm8 $                           & $ 38 \pm9 $                           & $ 36 \pm9 $                           & $ 31 \pm8 $                           & $ 24 \pm8 $                           & $ 38 \pm9 $                           & $ [ 0.09 \pm0.06 ] \times10^{3} $     & $ 34 \pm7 $                           & $ 30 \pm7 $                           & $ 19 \pm7 $                           & $ 35 \pm9 $                           & $ 20 \pm7 $                           & $ 21 \pm8 $                           & $ [ 0.07 \pm0.04 ] \times10^{3} $     & $ 28 \pm8 $                           & $ 35 \pm8 $                           & $ 30 \pm8 $                           & $ 24 \pm8 $                           & $ 31 \pm8 $                           & $ 21 \pm8 $                           & $ [ 1.60 \pm0.07 ] \times10^{3} $    
------------------------------------------
Data                 & 1928                                  & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 13                                    & 72                                    & 66                                    & 65                                    & 58                                    & 47                                    & 49                                    & 54                                    & 55                                    & 40                                    & 42                                    & 43                                    & 42                                    & 20                                    & 25                                    & 31                                    & 20                                    & 25                                    & 18                                    & 21                                    & 26                                    & 22                                    & 27                                    & 28                                    & 35                                    & 29                                    & 31                                    & 26                                    & 24                                    & 23                                    & 39                                    & 1529                                 
------------------------------------------
