------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 33.62 \pm0.31 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 182 \pm34 $                         & $ [ 0.55 \pm0.05 ] \times10^{3} $     & $ [ 0.51 \pm0.04 ] \times10^{3} $     & $ [ 0.51 \pm0.05 ] \times10^{3} $     & $ [ 0.46 \pm0.05 ] \times10^{3} $     & $ [ 0.44 \pm0.04 ] \times10^{3} $     & $ [ 0.28 \pm0.04 ] \times10^{3} $     & $ [ 0.35 \pm0.04 ] \times10^{3} $     & $ [ 0.30 \pm0.04 ] \times10^{3} $     & $ 217 \pm34 $                         & $ 249 \pm33 $                         & $ [ 0.32 \pm0.04 ] \times10^{3} $     & $ 180 \pm32 $                         & $ 246 \pm33 $                         & $ 169 \pm30 $                         & $ 207 \pm27 $                         & $ 109 \pm27 $                         & $ 148 \pm27 $                         & $ 108 \pm25 $                         & $ 243 \pm27 $                         & $ 85 \pm24 $                          & $ [ 0.17 \pm0.04 ] \times10^{3} $     & $ 151 \pm23 $                         & $ [ 0.19 \pm0.04 ] \times10^{3} $     & $ 138 \pm27 $                         & $ 123 \pm24 $                         & $ 118 \pm26 $                         & $ 194 \pm26 $                         & $ 137 \pm25 $                         & $ 140 \pm22 $                         & $ 88 \pm23 $                          & $ [ 6.24 \pm0.18 ] \times10^{3} $    
#gamma+jets          & $ [ 0.91 \pm0.25 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.06 \pm0.05 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 28 \pm28 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 35 \pm35 $                          & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 17 \pm12 $                          & $ 0 \pm0 $                            & $ 12 \pm12 $                          & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 7 \pm7 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.17 \pm0.12 ] \times10^{3} $     & $ [ 0.23 \pm0.05 ] \times10^{3} $    
Top                  & $ [ 85.4 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.16 \pm0.05 ] \times10^{3} $     & $ [ 4.39 \pm0.10 ] \times10^{3} $     & $ [ 4.25 \pm0.10 ] \times10^{3} $     & $ [ 3.85 \pm0.10 ] \times10^{3} $     & $ [ 3.71 \pm0.09 ] \times10^{3} $     & $ [ 3.54 \pm0.09 ] \times10^{3} $     & $ [ 3.44 \pm0.09 ] \times10^{3} $     & $ [ 3.05 \pm0.09 ] \times10^{3} $     & $ [ 3.11 \pm0.09 ] \times10^{3} $     & $ [ 2.96 \pm0.09 ] \times10^{3} $     & $ [ 2.94 \pm0.08 ] \times10^{3} $     & $ [ 2.64 \pm0.08 ] \times10^{3} $     & $ [ 2.56 \pm0.08 ] \times10^{3} $     & $ [ 2.59 \pm0.08 ] \times10^{3} $     & $ [ 2.41 \pm0.08 ] \times10^{3} $     & $ [ 2.31 \pm0.07 ] \times10^{3} $     & $ [ 2.21 \pm0.07 ] \times10^{3} $     & $ [ 2.11 \pm0.07 ] \times10^{3} $     & $ [ 2.06 \pm0.07 ] \times10^{3} $     & $ [ 1.99 \pm0.07 ] \times10^{3} $     & $ [ 1.98 \pm0.07 ] \times10^{3} $     & $ [ 2.09 \pm0.07 ] \times10^{3} $     & $ [ 2.22 \pm0.07 ] \times10^{3} $     & $ [ 2.06 \pm0.07 ] \times10^{3} $     & $ [ 2.02 \pm0.07 ] \times10^{3} $     & $ [ 2.06 \pm0.07 ] \times10^{3} $     & $ [ 2.14 \pm0.07 ] \times10^{3} $     & $ [ 2.18 \pm0.07 ] \times10^{3} $     & $ [ 2.14 \pm0.07 ] \times10^{3} $     & $ [ 2.10 \pm0.07 ] \times10^{3} $     & $ [ 2.05 \pm0.07 ] \times10^{3} $     & $ [ 133.3 \pm0.6 ] \times10^{3} $    
Multiboson           & $ [ 15.30 \pm0.08 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 94 \pm7 $                           & $ 315 \pm12 $                         & $ 260 \pm11 $                         & $ 242 \pm10 $                         & $ 218 \pm10 $                         & $ 198 \pm9 $                          & $ 174 \pm9 $                          & $ 158 \pm8 $                          & $ 132 \pm8 $                          & $ 141 \pm8 $                          & $ 135 \pm8 $                          & $ 122 \pm7 $                          & $ 116 \pm7 $                          & $ 96 \pm6 $                           & $ 98 \pm7 $                           & $ 92 \pm6 $                           & $ 85 \pm6 $                           & $ 81 \pm6 $                           & $ 65 \pm5 $                           & $ 74 \pm6 $                           & $ 64 \pm5 $                           & $ 78 \pm6 $                           & $ 77 \pm6 $                           & $ 66 \pm5 $                           & $ 62 \pm5 $                           & $ 70 \pm6 $                           & $ 71 \pm6 $                           & $ 68 \pm5 $                           & $ 61 \pm5 $                           & $ 60 \pm5 $                           & $ 56 \pm5 $                           & $ 2303 \pm32 $                       
W                    & $ [ 10.7 \pm0.8 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.13 \pm0.08 ] \times10^{3} $     & $ [ 0.22 \pm0.11 ] \times10^{3} $     & $ [ 0.28 \pm0.13 ] \times10^{3} $     & $ [ 0.20 \pm0.10 ] \times10^{3} $     & $ [ 0.30 \pm0.13 ] \times10^{3} $     & $ [ 0.21 \pm0.10 ] \times10^{3} $     & $ [ 0.08 \pm0.08 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.09 \pm0.06 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.24 \pm0.13 ] \times10^{3} $     & $ 1.6 \pm1.6 $                        & $ [ 0.16 \pm0.10 ] \times10^{3} $     & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.12 \pm0.08 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.18 \pm0.10 ] \times10^{3} $     & $ [ 2.09 \pm0.35 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.6 \pm2.6 $                       
------------------------------------------
Total                & $ [ 146.0 \pm1.0 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.50 \pm0.09 ] \times10^{3} $     & $ [ 5.40 \pm0.14 ] \times10^{3} $     & $ [ 5.24 \pm0.16 ] \times10^{3} $     & $ [ 4.98 \pm0.18 ] \times10^{3} $     & $ [ 4.58 \pm0.15 ] \times10^{3} $     & $ [ 4.54 \pm0.18 ] \times10^{3} $     & $ [ 4.17 \pm0.16 ] \times10^{3} $     & $ [ 3.63 \pm0.12 ] \times10^{3} $     & $ [ 3.59 \pm0.11 ] \times10^{3} $     & $ [ 3.49 \pm0.13 ] \times10^{3} $     & $ [ 3.40 \pm0.10 ] \times10^{3} $     & $ [ 3.17 \pm0.11 ] \times10^{3} $     & $ [ 2.92 \pm0.11 ] \times10^{3} $     & $ [ 3.17 \pm0.15 ] \times10^{3} $     & $ [ 2.68 \pm0.08 ] \times10^{3} $     & $ [ 2.77 \pm0.12 ] \times10^{3} $     & $ [ 2.45 \pm0.09 ] \times10^{3} $     & $ [ 2.44 \pm0.11 ] \times10^{3} $     & $ [ 2.28 \pm0.09 ] \times10^{3} $     & $ [ 2.31 \pm0.07 ] \times10^{3} $     & $ [ 2.21 \pm0.10 ] \times10^{3} $     & $ [ 2.41 \pm0.10 ] \times10^{3} $     & $ [ 2.46 \pm0.08 ] \times10^{3} $     & $ [ 2.36 \pm0.09 ] \times10^{3} $     & $ [ 2.27 \pm0.09 ] \times10^{3} $     & $ [ 2.25 \pm0.08 ] \times10^{3} $     & $ [ 2.46 \pm0.11 ] \times10^{3} $     & $ [ 2.44 \pm0.08 ] \times10^{3} $     & $ [ 2.34 \pm0.08 ] \times10^{3} $     & $ [ 2.36 \pm0.10 ] \times10^{3} $     & $ [ 2.54 \pm0.18 ] \times10^{3} $     & $ [ 144.2 \pm0.7 ] \times10^{3} $    
------------------------------------------
Data                 & 180960                                & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 1875                                  & 6999                                  & 6235                                  & 5882                                  & 5398                                  & 4929                                  & 4683                                  & 4440                                  & 4153                                  & 3810                                  & 3832                                  & 3626                                  & 3409                                  & 3116                                  & 3001                                  & 2820                                  & 2665                                  & 2594                                  & 2470                                  & 2362                                  & 2442                                  & 2544                                  & 2631                                  & 2559                                  & 2571                                  & 2584                                  & 2521                                  & 2554                                  & 2542                                  & 2499                                  & 2465                                  & 144623                               
