------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 172.5 \pm0.9 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.03 \pm0.08 ] \times10^{3} $     & $ [ 4.19 \pm0.16 ] \times10^{3} $     & $ [ 3.40 \pm0.15 ] \times10^{3} $     & $ [ 3.32 \pm0.14 ] \times10^{3} $     & $ [ 2.99 \pm0.14 ] \times10^{3} $     & $ [ 2.60 \pm0.13 ] \times10^{3} $     & $ [ 2.52 \pm0.12 ] \times10^{3} $     & $ [ 2.25 \pm0.12 ] \times10^{3} $     & $ [ 1.97 \pm0.12 ] \times10^{3} $     & $ [ 1.90 \pm0.11 ] \times10^{3} $     & $ [ 2.01 \pm0.11 ] \times10^{3} $     & $ [ 1.77 \pm0.10 ] \times10^{3} $     & $ [ 1.54 \pm0.10 ] \times10^{3} $     & $ [ 1.59 \pm0.09 ] \times10^{3} $     & $ [ 1.23 \pm0.09 ] \times10^{3} $     & $ [ 1.22 \pm0.09 ] \times10^{3} $     & $ [ 1.17 \pm0.09 ] \times10^{3} $     & $ [ 1.10 \pm0.08 ] \times10^{3} $     & $ [ 1.05 \pm0.08 ] \times10^{3} $     & $ [ 1.05 \pm0.08 ] \times10^{3} $     & $ [ 0.99 \pm0.08 ] \times10^{3} $     & $ [ 1.03 \pm0.08 ] \times10^{3} $     & $ [ 0.97 \pm0.08 ] \times10^{3} $     & $ [ 1.06 \pm0.08 ] \times10^{3} $     & $ [ 0.94 \pm0.08 ] \times10^{3} $     & $ [ 0.89 \pm0.08 ] \times10^{3} $     & $ [ 0.84 \pm0.07 ] \times10^{3} $     & $ [ 0.81 \pm0.08 ] \times10^{3} $     & $ [ 0.93 \pm0.07 ] \times10^{3} $     & $ [ 0.95 \pm0.07 ] \times10^{3} $     & $ [ 0.76 \pm0.07 ] \times10^{3} $     & $ [ 31.2 \pm0.4 ] \times10^{3} $     
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 3.3 \pm3.3 $                       
Top                  & $ [ 11.22 \pm0.14 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 146 \pm18 $                         & $ 527 \pm35 $                         & $ 501 \pm34 $                         & $ 470 \pm33 $                         & $ 363 \pm32 $                         & $ 389 \pm32 $                         & $ 414 \pm32 $                         & $ 327 \pm30 $                         & $ 356 \pm29 $                         & $ 339 \pm29 $                         & $ 338 \pm28 $                         & $ 315 \pm28 $                         & $ 265 \pm27 $                         & $ 303 \pm27 $                         & $ 266 \pm26 $                         & $ 274 \pm26 $                         & $ 229 \pm25 $                         & $ 271 \pm24 $                         & $ 195 \pm23 $                         & $ 218 \pm23 $                         & $ 244 \pm24 $                         & $ 234 \pm24 $                         & $ 185 \pm24 $                         & $ 224 \pm24 $                         & $ 228 \pm24 $                         & $ 206 \pm24 $                         & $ 245 \pm24 $                         & $ 191 \pm23 $                         & $ 220 \pm24 $                         & $ 272 \pm25 $                         & $ 228 \pm24 $                         & $ [ 12.00 \pm0.19 ] \times10^{3} $   
Multiboson           & $ 875 \pm16 $                         & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 10.3 \pm1.7 $                       & $ 37.4 \pm3.4 $                       & $ 39.2 \pm3.4 $                       & $ 31.3 \pm3.1 $                       & $ 29.4 \pm3.0 $                       & $ 27.5 \pm2.9 $                       & $ 23.0 \pm2.6 $                       & $ 27.6 \pm2.9 $                       & $ 25.9 \pm2.9 $                       & $ 19.0 \pm2.4 $                       & $ 17.0 \pm2.3 $                       & $ 18.3 \pm2.3 $                       & $ 14.5 \pm2.1 $                       & $ 15.1 \pm2.1 $                       & $ 13.3 \pm2.1 $                       & $ 11.1 \pm1.8 $                       & $ 9.5 \pm1.7 $                        & $ 11.5 \pm1.9 $                       & $ 9.9 \pm1.7 $                        & $ 11.4 \pm1.9 $                       & $ 9.3 \pm1.7 $                        & $ 9.1 \pm1.7 $                        & $ 14.0 \pm2.2 $                       & $ 8.3 \pm1.6 $                        & $ 10.6 \pm1.8 $                       & $ 8.6 \pm1.6 $                        & $ 7.7 \pm1.5 $                        & $ 10.0 \pm2.1 $                       & $ 10.4 \pm1.9 $                       & $ 10.4 \pm1.8 $                       & $ 6.2 \pm1.3 $                        & $ 370 \pm11 $                        
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 22 \pm22 $                         
------------------------------------------
Total                & $ [ 184.6 \pm1.0 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.19 \pm0.08 ] \times10^{3} $     & $ [ 4.76 \pm0.16 ] \times10^{3} $     & $ [ 3.94 \pm0.16 ] \times10^{3} $     & $ [ 3.82 \pm0.15 ] \times10^{3} $     & $ [ 3.38 \pm0.14 ] \times10^{3} $     & $ [ 3.01 \pm0.14 ] \times10^{3} $     & $ [ 2.95 \pm0.13 ] \times10^{3} $     & $ [ 2.61 \pm0.12 ] \times10^{3} $     & $ [ 2.35 \pm0.12 ] \times10^{3} $     & $ [ 2.26 \pm0.12 ] \times10^{3} $     & $ [ 2.37 \pm0.11 ] \times10^{3} $     & $ [ 2.10 \pm0.11 ] \times10^{3} $     & $ [ 1.82 \pm0.10 ] \times10^{3} $     & $ [ 1.90 \pm0.10 ] \times10^{3} $     & $ [ 1.51 \pm0.10 ] \times10^{3} $     & $ [ 1.51 \pm0.09 ] \times10^{3} $     & $ [ 1.41 \pm0.09 ] \times10^{3} $     & $ [ 1.39 \pm0.09 ] \times10^{3} $     & $ [ 1.30 \pm0.09 ] \times10^{3} $     & $ [ 1.28 \pm0.08 ] \times10^{3} $     & $ [ 1.24 \pm0.08 ] \times10^{3} $     & $ [ 1.27 \pm0.08 ] \times10^{3} $     & $ [ 1.17 \pm0.08 ] \times10^{3} $     & $ [ 1.30 \pm0.08 ] \times10^{3} $     & $ [ 1.18 \pm0.08 ] \times10^{3} $     & $ [ 1.11 \pm0.08 ] \times10^{3} $     & $ [ 1.10 \pm0.08 ] \times10^{3} $     & $ [ 1.01 \pm0.08 ] \times10^{3} $     & $ [ 1.16 \pm0.08 ] \times10^{3} $     & $ [ 1.23 \pm0.08 ] \times10^{3} $     & $ [ 0.99 \pm0.07 ] \times10^{3} $     & $ [ 43.6 \pm0.5 ] \times10^{3} $     
------------------------------------------
Data                 & 191590                                & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 1596                                  & 5660                                  & 5038                                  & 4585                                  & 3964                                  & 3652                                  & 3358                                  & 3016                                  & 2901                                  & 2647                                  & 2466                                  & 2280                                  & 2110                                  & 1911                                  & 1864                                  & 1650                                  & 1614                                  & 1547                                  & 1416                                  & 1429                                  & 1415                                  & 1474                                  & 1467                                  & 1436                                  & 1445                                  & 1367                                  & 1354                                  & 1308                                  & 1349                                  & 1317                                  & 1212                                  & 55217                                
------------------------------------------
