------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 14.41 \pm0.34 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 105 \pm23 $                         & $ [ 0.38 \pm0.06 ] \times10^{3} $     & $ [ 0.47 \pm0.07 ] \times10^{3} $     & $ [ 0.35 \pm0.05 ] \times10^{3} $     & $ [ 0.42 \pm0.07 ] \times10^{3} $     & $ [ 0.29 \pm0.05 ] \times10^{3} $     & $ 261 \pm35 $                         & $ [ 0.21 \pm0.05 ] \times10^{3} $     & $ [ 0.16 \pm0.04 ] \times10^{3} $     & $ [ 0.19 \pm0.04 ] \times10^{3} $     & $ [ 0.18 \pm0.04 ] \times10^{3} $     & $ 161 \pm32 $                         & $ 141 \pm33 $                         & $ [ 0.17 \pm0.04 ] \times10^{3} $     & $ [ 0.15 \pm0.04 ] \times10^{3} $     & $ 111 \pm24 $                         & $ 89 \pm31 $                          & $ [ 0.15 \pm0.04 ] \times10^{3} $     & $ 100 \pm33 $                         & $ 60 \pm28 $                          & $ [ 0.18 \pm0.04 ] \times10^{3} $     & $ 63 \pm22 $                          & $ [ 0.13 \pm0.05 ] \times10^{3} $     & $ 63 \pm22 $                          & $ 120 \pm24 $                         & $ [ 0.11 \pm0.04 ] \times10^{3} $     & $ [ 0.15 \pm0.05 ] \times10^{3} $     & $ 82 \pm20 $                          & $ 37 \pm18 $                          & $ 82 \pm32 $                          & $ 82 \pm27 $                          & $ [ 3.69 \pm0.20 ] \times10^{3} $    
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.4 \pm2.4 $                       
Top                  & $ [ 38.46 \pm0.27 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 495 \pm33 $                         & $ [ 1.94 \pm0.07 ] \times10^{3} $     & $ [ 1.77 \pm0.07 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.45 \pm0.06 ] \times10^{3} $     & $ [ 1.33 \pm0.06 ] \times10^{3} $     & $ [ 1.23 \pm0.06 ] \times10^{3} $     & $ [ 1.26 \pm0.06 ] \times10^{3} $     & $ [ 1.18 \pm0.06 ] \times10^{3} $     & $ [ 1.17 \pm0.06 ] \times10^{3} $     & $ [ 1.19 \pm0.05 ] \times10^{3} $     & $ [ 1.08 \pm0.05 ] \times10^{3} $     & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 1.00 \pm0.05 ] \times10^{3} $     & $ [ 0.96 \pm0.05 ] \times10^{3} $     & $ [ 0.84 \pm0.05 ] \times10^{3} $     & $ [ 0.81 \pm0.05 ] \times10^{3} $     & $ [ 0.73 \pm0.04 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.80 \pm0.04 ] \times10^{3} $     & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.84 \pm0.05 ] \times10^{3} $     & $ [ 0.72 \pm0.05 ] \times10^{3} $     & $ [ 0.81 \pm0.05 ] \times10^{3} $     & $ [ 0.78 \pm0.05 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 44.3 \pm0.4 ] \times10^{3} $     
Multiboson           & $ 145 \pm7 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.7 \pm0.4 $                        & $ 4.3 \pm1.2 $                        & $ 5.4 \pm1.3 $                        & $ 3.6 \pm1.1 $                        & $ 2.7 \pm0.9 $                        & $ 4.1 \pm1.3 $                        & $ 2.5 \pm0.8 $                        & $ 4.6 \pm1.3 $                        & $ 2.0 \pm0.8 $                        & $ 3.2 \pm1.0 $                        & $ 3.8 \pm1.2 $                        & $ 1.5 \pm0.7 $                        & $ 3.7 \pm1.2 $                        & $ 1.8 \pm0.8 $                        & $ 3.0 \pm1.1 $                        & $ 1.7 \pm0.8 $                        & $ 1.9 \pm0.8 $                        & $ 0.9 \pm0.5 $                        & $ 1.4 \pm0.6 $                        & $ 2.3 \pm1.0 $                        & $ 2.5 \pm1.0 $                        & $ 1.8 \pm0.8 $                        & $ 2.3 \pm0.9 $                        & $ 0.4 \pm0.4 $                        & $ 1.2 \pm0.6 $                        & $ 0.37 \pm0.32 $                      & $ 2.1 \pm0.9 $                        & $ 1.3 \pm0.6 $                        & $ 0.32 \pm0.32 $                      & $ 1.3 \pm0.6 $                        & $ 1.3 \pm0.6 $                        & $ 76 \pm5 $                          
W                    & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 31 \pm31 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 53.1 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.60 \pm0.04 ] \times10^{3} $     & $ [ 2.32 \pm0.09 ] \times10^{3} $     & $ [ 2.25 \pm0.10 ] \times10^{3} $     & $ [ 1.98 \pm0.08 ] \times10^{3} $     & $ [ 1.97 \pm0.09 ] \times10^{3} $     & $ [ 1.74 \pm0.08 ] \times10^{3} $     & $ [ 1.59 \pm0.07 ] \times10^{3} $     & $ [ 1.45 \pm0.07 ] \times10^{3} $     & $ [ 1.43 \pm0.07 ] \times10^{3} $     & $ [ 1.38 \pm0.07 ] \times10^{3} $     & $ [ 1.35 \pm0.07 ] \times10^{3} $     & $ [ 1.35 \pm0.06 ] \times10^{3} $     & $ [ 1.22 \pm0.06 ] \times10^{3} $     & $ [ 1.03 \pm0.07 ] \times10^{3} $     & $ [ 1.16 \pm0.07 ] \times10^{3} $     & $ [ 1.07 \pm0.05 ] \times10^{3} $     & $ [ 0.93 \pm0.06 ] \times10^{3} $     & $ [ 0.95 \pm0.06 ] \times10^{3} $     & $ [ 0.84 \pm0.05 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 0.98 \pm0.06 ] \times10^{3} $     & $ [ 0.83 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.06 ] \times10^{3} $     & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 0.84 \pm0.05 ] \times10^{3} $     & $ [ 0.96 \pm0.07 ] \times10^{3} $     & $ [ 0.93 \pm0.06 ] \times10^{3} $     & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 0.81 \pm0.05 ] \times10^{3} $     & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 0.75 \pm0.05 ] \times10^{3} $     & $ [ 48.1 \pm0.4 ] \times10^{3} $     
------------------------------------------
Data                 & 62811                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 678                                   & 2718                                  & 2372                                  & 2178                                  & 2070                                  & 1925                                  & 1755                                  & 1650                                  & 1538                                  & 1479                                  & 1350                                  & 1359                                  & 1205                                  & 1156                                  & 1147                                  & 1024                                  & 1020                                  & 968                                   & 940                                   & 927                                   & 934                                   & 951                                   & 963                                   & 968                                   & 948                                   & 926                                   & 935                                   & 917                                   & 892                                   & 879                                   & 881                                   & 48085                                
------------------------------------------
