------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 186.9 \pm1.0 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.14 \pm0.08 ] \times10^{3} $     & $ [ 4.57 \pm0.17 ] \times10^{3} $     & $ [ 3.87 \pm0.17 ] \times10^{3} $     & $ [ 3.67 \pm0.15 ] \times10^{3} $     & $ [ 3.41 \pm0.16 ] \times10^{3} $     & $ [ 2.89 \pm0.14 ] \times10^{3} $     & $ [ 2.78 \pm0.13 ] \times10^{3} $     & $ [ 2.47 \pm0.13 ] \times10^{3} $     & $ [ 2.13 \pm0.12 ] \times10^{3} $     & $ [ 2.09 \pm0.12 ] \times10^{3} $     & $ [ 2.19 \pm0.12 ] \times10^{3} $     & $ [ 1.93 \pm0.11 ] \times10^{3} $     & $ [ 1.69 \pm0.10 ] \times10^{3} $     & $ [ 1.76 \pm0.10 ] \times10^{3} $     & $ [ 1.38 \pm0.10 ] \times10^{3} $     & $ [ 1.33 \pm0.09 ] \times10^{3} $     & $ [ 1.26 \pm0.09 ] \times10^{3} $     & $ [ 1.25 \pm0.09 ] \times10^{3} $     & $ [ 1.15 \pm0.09 ] \times10^{3} $     & $ [ 1.11 \pm0.08 ] \times10^{3} $     & $ [ 1.17 \pm0.09 ] \times10^{3} $     & $ [ 1.09 \pm0.08 ] \times10^{3} $     & $ [ 1.10 \pm0.09 ] \times10^{3} $     & $ [ 1.13 \pm0.08 ] \times10^{3} $     & $ [ 1.06 \pm0.08 ] \times10^{3} $     & $ [ 1.01 \pm0.09 ] \times10^{3} $     & $ [ 1.00 \pm0.09 ] \times10^{3} $     & $ [ 0.89 \pm0.08 ] \times10^{3} $     & $ [ 0.97 \pm0.08 ] \times10^{3} $     & $ [ 1.03 \pm0.08 ] \times10^{3} $     & $ [ 0.84 \pm0.07 ] \times10^{3} $     & $ [ 34.9 \pm0.5 ] \times10^{3} $     
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm4 $                           
Top                  & $ [ 49.68 \pm0.31 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.64 \pm0.04 ] \times10^{3} $     & $ [ 2.47 \pm0.08 ] \times10^{3} $     & $ [ 2.27 \pm0.07 ] \times10^{3} $     & $ [ 2.09 \pm0.07 ] \times10^{3} $     & $ [ 1.90 \pm0.07 ] \times10^{3} $     & $ [ 1.84 \pm0.07 ] \times10^{3} $     & $ [ 1.74 \pm0.07 ] \times10^{3} $     & $ [ 1.56 \pm0.06 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.06 ] \times10^{3} $     & $ [ 1.34 \pm0.06 ] \times10^{3} $     & $ [ 1.16 \pm0.06 ] \times10^{3} $     & $ [ 1.27 \pm0.06 ] \times10^{3} $     & $ [ 1.23 \pm0.05 ] \times10^{3} $     & $ [ 1.07 \pm0.05 ] \times10^{3} $     & $ [ 1.08 \pm0.05 ] \times10^{3} $     & $ [ 0.93 \pm0.05 ] \times10^{3} $     & $ [ 1.01 \pm0.05 ] \times10^{3} $     & $ [ 1.04 \pm0.05 ] \times10^{3} $     & $ [ 1.00 \pm0.05 ] \times10^{3} $     & $ [ 0.97 \pm0.05 ] \times10^{3} $     & $ [ 1.07 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 1.02 \pm0.05 ] \times10^{3} $     & $ [ 1.02 \pm0.05 ] \times10^{3} $     & $ [ 0.97 \pm0.05 ] \times10^{3} $     & $ [ 1.00 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 56.3 \pm0.4 ] \times10^{3} $     
Multiboson           & $ 1021 \pm18 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 11.0 \pm1.8 $                       & $ 42 \pm4 $                           & $ 45 \pm4 $                           & $ 34.8 \pm3.3 $                       & $ 32.1 \pm3.1 $                       & $ 31.7 \pm3.2 $                       & $ 25.5 \pm2.7 $                       & $ 32.2 \pm3.2 $                       & $ 28.0 \pm3.0 $                       & $ 22.2 \pm2.6 $                       & $ 20.9 \pm2.6 $                       & $ 19.8 \pm2.5 $                       & $ 18.2 \pm2.4 $                       & $ 16.8 \pm2.3 $                       & $ 16.3 \pm2.3 $                       & $ 12.8 \pm2.0 $                       & $ 11.4 \pm1.9 $                       & $ 12.4 \pm2.0 $                       & $ 11.3 \pm1.8 $                       & $ 13.7 \pm2.1 $                       & $ 11.8 \pm2.0 $                       & $ 11.0 \pm1.8 $                       & $ 16.3 \pm2.4 $                       & $ 8.6 \pm1.6 $                        & $ 11.8 \pm1.9 $                       & $ 9.0 \pm1.7 $                        & $ 9.8 \pm1.7 $                        & $ 11.3 \pm2.2 $                       & $ 10.7 \pm1.9 $                       & $ 11.7 \pm1.9 $                       & $ 7.5 \pm1.5 $                        & $ 446 \pm12 $                        
W                    & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 31 \pm31 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.05 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 237.7 \pm1.0 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.79 \pm0.09 ] \times10^{3} $     & $ [ 7.08 \pm0.19 ] \times10^{3} $     & $ [ 6.19 \pm0.18 ] \times10^{3} $     & $ [ 5.80 \pm0.17 ] \times10^{3} $     & $ [ 5.34 \pm0.17 ] \times10^{3} $     & $ [ 4.76 \pm0.16 ] \times10^{3} $     & $ [ 4.54 \pm0.15 ] \times10^{3} $     & $ [ 4.06 \pm0.14 ] \times10^{3} $     & $ [ 3.78 \pm0.14 ] \times10^{3} $     & $ [ 3.63 \pm0.14 ] \times10^{3} $     & $ [ 3.72 \pm0.13 ] \times10^{3} $     & $ [ 3.46 \pm0.12 ] \times10^{3} $     & $ [ 3.04 \pm0.12 ] \times10^{3} $     & $ [ 2.93 \pm0.12 ] \times10^{3} $     & $ [ 2.67 \pm0.12 ] \times10^{3} $     & $ [ 2.57 \pm0.11 ] \times10^{3} $     & $ [ 2.34 \pm0.11 ] \times10^{3} $     & $ [ 2.34 \pm0.10 ] \times10^{3} $     & $ [ 2.13 \pm0.11 ] \times10^{3} $     & $ [ 2.13 \pm0.10 ] \times10^{3} $     & $ [ 2.22 \pm0.10 ] \times10^{3} $     & $ [ 2.10 \pm0.10 ] \times10^{3} $     & $ [ 2.09 \pm0.10 ] \times10^{3} $     & $ [ 2.20 \pm0.10 ] \times10^{3} $     & $ [ 2.02 \pm0.10 ] \times10^{3} $     & $ [ 2.07 \pm0.11 ] \times10^{3} $     & $ [ 2.03 \pm0.10 ] \times10^{3} $     & $ [ 1.87 \pm0.09 ] \times10^{3} $     & $ [ 1.97 \pm0.09 ] \times10^{3} $     & $ [ 2.10 \pm0.10 ] \times10^{3} $     & $ [ 1.75 \pm0.09 ] \times10^{3} $     & $ [ 91.7 \pm0.6 ] \times10^{3} $     
------------------------------------------
Data                 & 254401                                & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 2274                                  & 8378                                  & 7410                                  & 6763                                  & 6034                                  & 5577                                  & 5113                                  & 4666                                  & 4439                                  & 4126                                  & 3816                                  & 3639                                  & 3315                                  & 3067                                  & 3011                                  & 2674                                  & 2634                                  & 2515                                  & 2356                                  & 2356                                  & 2349                                  & 2425                                  & 2430                                  & 2404                                  & 2393                                  & 2293                                  & 2289                                  & 2225                                  & 2241                                  & 2196                                  & 2093                                  & 103302                               
------------------------------------------
