------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 16340 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 73.6 \pm0.5 ] \times10^{3} $      & $ [ 267.3 \pm1.0 ] \times10^{3} $     & $ [ 233.3 \pm0.9 ] \times10^{3} $     & $ [ 206.6 \pm0.9 ] \times10^{3} $     & $ [ 183.5 \pm0.9 ] \times10^{3} $     & $ [ 161.7 \pm0.8 ] \times10^{3} $     & $ [ 147.6 \pm0.8 ] \times10^{3} $     & $ [ 134.5 \pm0.8 ] \times10^{3} $     & $ [ 122.9 \pm0.7 ] \times10^{3} $     & $ [ 112.8 \pm0.7 ] \times10^{3} $     & $ [ 104.2 \pm0.7 ] \times10^{3} $     & $ [ 94.4 \pm0.7 ] \times10^{3} $      & $ [ 86.4 \pm0.6 ] \times10^{3} $      & $ [ 80.7 \pm0.6 ] \times10^{3} $      & $ [ 72.1 \pm0.6 ] \times10^{3} $      & $ [ 67.1 \pm0.6 ] \times10^{3} $      & $ [ 61.9 \pm0.5 ] \times10^{3} $      & $ [ 57.9 \pm0.5 ] \times10^{3} $      & $ [ 52.9 \pm0.5 ] \times10^{3} $      & $ [ 50.0 \pm0.5 ] \times10^{3} $      & $ [ 49.1 \pm0.5 ] \times10^{3} $      & $ [ 48.2 \pm0.5 ] \times10^{3} $      & $ [ 47.1 \pm0.5 ] \times10^{3} $      & $ [ 47.1 \pm0.5 ] \times10^{3} $      & $ [ 45.0 \pm0.5 ] \times10^{3} $      & $ [ 44.5 \pm0.5 ] \times10^{3} $      & $ [ 42.4 \pm0.4 ] \times10^{3} $      & $ [ 41.0 \pm0.4 ] \times10^{3} $      & $ [ 38.9 \pm0.4 ] \times10^{3} $      & $ [ 38.2 \pm0.4 ] \times10^{3} $      & $ [ 36.8 \pm0.4 ] \times10^{3} $      & $ [ 1135.6 \pm2.5 ] \times10^{3} $   
#gamma+jets          & $ [ 0.11 \pm0.11 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 3.3 \pm3.3 $                       
Top                  & $ [ 12.57 \pm0.15 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 181 \pm20 $                         & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.63 \pm0.04 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 0.47 \pm0.04 ] \times10^{3} $     & $ 483 \pm35 $                         & $ 530 \pm35 $                         & $ 396 \pm33 $                         & $ 444 \pm32 $                         & $ 439 \pm32 $                         & $ 426 \pm32 $                         & $ 405 \pm32 $                         & $ 352 \pm30 $                         & $ 381 \pm29 $                         & $ 351 \pm29 $                         & $ 341 \pm29 $                         & $ 300 \pm28 $                         & $ 328 \pm27 $                         & $ 269 \pm26 $                         & $ 286 \pm26 $                         & $ 287 \pm27 $                         & $ 307 \pm27 $                         & $ 262 \pm27 $                         & $ 301 \pm27 $                         & $ 306 \pm27 $                         & $ 299 \pm27 $                         & $ 312 \pm27 $                         & $ 264 \pm26 $                         & $ 295 \pm27 $                         & $ 351 \pm28 $                         & $ 318 \pm27 $                         & $ [ 18.07 \pm0.23 ] \times10^{3} $   
Multiboson           & $ [ 11.57 \pm0.06 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 115 \pm6 $                          & $ 454 \pm12 $                         & $ 418 \pm12 $                         & $ 399 \pm12 $                         & $ 372 \pm11 $                         & $ 358 \pm11 $                         & $ 332 \pm11 $                         & $ 329 \pm10 $                         & $ 305 \pm10 $                         & $ 298 \pm10 $                         & $ 296 \pm10 $                         & $ 266 \pm9 $                          & $ 243 \pm9 $                          & $ 227 \pm9 $                          & $ 227 \pm9 $                          & $ 206 \pm8 $                          & $ 208 \pm8 $                          & $ 188 \pm8 $                          & $ 181 \pm8 $                          & $ 167 \pm7 $                          & $ 176 \pm8 $                          & $ 186 \pm8 $                          & $ 188 \pm8 $                          & $ 167 \pm7 $                          & $ 199 \pm8 $                          & $ 183 \pm8 $                          & $ 179 \pm8 $                          & $ 182 \pm8 $                          & $ 200 \pm8 $                          & $ 199 \pm8 $                          & $ 181 \pm8 $                          & $ [ 8.02 \pm0.05 ] \times10^{3} $    
W                    & $ [ 0.70 \pm0.21 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 22 \pm22 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 22 \pm22 $                         
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.2 \pm1.2 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 16365 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 73.9 \pm0.5 ] \times10^{3} $      & $ [ 268.5 \pm1.0 ] \times10^{3} $     & $ [ 234.3 \pm1.0 ] \times10^{3} $     & $ [ 207.6 \pm0.9 ] \times10^{3} $     & $ [ 184.4 \pm0.9 ] \times10^{3} $     & $ [ 162.5 \pm0.8 ] \times10^{3} $     & $ [ 148.4 \pm0.8 ] \times10^{3} $     & $ [ 135.2 \pm0.8 ] \times10^{3} $     & $ [ 123.7 \pm0.7 ] \times10^{3} $     & $ [ 113.5 \pm0.7 ] \times10^{3} $     & $ [ 104.9 \pm0.7 ] \times10^{3} $     & $ [ 95.1 \pm0.7 ] \times10^{3} $      & $ [ 87.0 \pm0.6 ] \times10^{3} $      & $ [ 81.3 \pm0.6 ] \times10^{3} $      & $ [ 72.7 \pm0.6 ] \times10^{3} $      & $ [ 67.7 \pm0.6 ] \times10^{3} $      & $ [ 62.4 \pm0.5 ] \times10^{3} $      & $ [ 59.6 \pm1.3 ] \times10^{3} $      & $ [ 53.4 \pm0.5 ] \times10^{3} $      & $ [ 50.4 \pm0.5 ] \times10^{3} $      & $ [ 49.7 \pm0.5 ] \times10^{3} $      & $ [ 48.7 \pm0.5 ] \times10^{3} $      & $ [ 47.5 \pm0.5 ] \times10^{3} $      & $ [ 47.5 \pm0.5 ] \times10^{3} $      & $ [ 45.5 \pm0.5 ] \times10^{3} $      & $ [ 44.9 \pm0.5 ] \times10^{3} $      & $ [ 42.9 \pm0.4 ] \times10^{3} $      & $ [ 41.4 \pm0.4 ] \times10^{3} $      & $ [ 39.4 \pm0.4 ] \times10^{3} $      & $ [ 38.7 \pm0.4 ] \times10^{3} $      & $ [ 37.3 \pm0.4 ] \times10^{3} $      & $ [ 1161.7 \pm2.5 ] \times10^{3} $   
------------------------------------------
Data                 & 18615876                              & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 86964                                 & 307872                                & 262149                                & 232866                                & 205425                                & 181390                                & 160771                                & 143697                                & 129982                                & 119815                                & 109782                                & 101151                                & 92243                                 & 83809                                 & 76642                                 & 70853                                 & 66015                                 & 60899                                 & 56923                                 & 53329                                 & 52975                                 & 53856                                 & 52936                                 & 51570                                 & 50409                                 & 48800                                 & 47300                                 & 45540                                 & 44152                                 & 42602                                 & 40678                                 & 1287402                              
