------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 13.07 \pm0.33 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 88 \pm22 $                          & $ [ 0.36 \pm0.06 ] \times10^{3} $     & $ [ 0.43 \pm0.07 ] \times10^{3} $     & $ [ 0.30 \pm0.05 ] \times10^{3} $     & $ [ 0.36 \pm0.07 ] \times10^{3} $     & $ [ 0.29 \pm0.05 ] \times10^{3} $     & $ 218 \pm32 $                         & $ [ 0.17 \pm0.05 ] \times10^{3} $     & $ [ 0.15 \pm0.04 ] \times10^{3} $     & $ 156 \pm29 $                         & $ 133 \pm32 $                         & $ 134 \pm30 $                         & $ 137 \pm31 $                         & $ 127 \pm34 $                         & $ 101 \pm31 $                         & $ 92 \pm22 $                          & $ 79 \pm29 $                          & $ [ 0.15 \pm0.04 ] \times10^{3} $     & $ 97 \pm32 $                          & $ 64 \pm27 $                          & $ [ 0.16 \pm0.04 ] \times10^{3} $     & $ 64 \pm20 $                          & $ [ 0.13 \pm0.04 ] \times10^{3} $     & $ 61 \pm20 $                          & $ 87 \pm21 $                          & $ 49 \pm20 $                          & $ [ 0.15 \pm0.04 ] \times10^{3} $     & $ 81 \pm19 $                          & $ 24 \pm16 $                          & $ 79 \pm32 $                          & $ 75 \pm26 $                          & $ [ 2.83 \pm0.17 ] \times10^{3} $    
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.4 \pm2.4 $                       
Top                  & $ [ 38.26 \pm0.27 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 489 \pm33 $                         & $ [ 1.93 \pm0.07 ] \times10^{3} $     & $ [ 1.77 \pm0.07 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.53 \pm0.06 ] \times10^{3} $     & $ [ 1.44 \pm0.06 ] \times10^{3} $     & $ [ 1.32 \pm0.06 ] \times10^{3} $     & $ [ 1.23 \pm0.06 ] \times10^{3} $     & $ [ 1.25 \pm0.06 ] \times10^{3} $     & $ [ 1.17 \pm0.06 ] \times10^{3} $     & $ [ 1.16 \pm0.06 ] \times10^{3} $     & $ [ 1.18 \pm0.05 ] \times10^{3} $     & $ [ 1.07 \pm0.05 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 1.01 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 0.83 \pm0.05 ] \times10^{3} $     & $ [ 0.80 \pm0.05 ] \times10^{3} $     & $ [ 0.73 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.76 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.84 \pm0.05 ] \times10^{3} $     & $ [ 0.71 \pm0.05 ] \times10^{3} $     & $ [ 0.81 \pm0.05 ] \times10^{3} $     & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.66 \pm0.04 ] \times10^{3} $     & $ [ 43.9 \pm0.4 ] \times10^{3} $     
Multiboson           & $ 123 \pm7 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.7 \pm0.4 $                        & $ 3.7 \pm1.2 $                        & $ 5.1 \pm1.3 $                        & $ 2.3 \pm0.8 $                        & $ 2.4 \pm0.8 $                        & $ 3.5 \pm1.2 $                        & $ 2.2 \pm0.8 $                        & $ 3.9 \pm1.2 $                        & $ 2.0 \pm0.8 $                        & $ 2.0 \pm0.8 $                        & $ 3.5 \pm1.1 $                        & $ 0.7 \pm0.4 $                        & $ 3.7 \pm1.2 $                        & $ 1.4 \pm0.7 $                        & $ 1.8 \pm0.8 $                        & $ 1.7 \pm0.8 $                        & $ 1.6 \pm0.8 $                        & $ 0.6 \pm0.4 $                        & $ 1.1 \pm0.5 $                        & $ 1.3 \pm0.7 $                        & $ 2.2 \pm0.9 $                        & $ 1.4 \pm0.6 $                        & $ 1.7 \pm0.8 $                        & $ [ 0.005 \pm0.005 ] \times10^{-3} $  & $ 0.9 \pm0.5 $                        & $ 0.37 \pm0.32 $                      & $ 2.1 \pm0.9 $                        & $ 1.0 \pm0.5 $                        & $ 0 \pm0 $                            & $ 1.3 \pm0.6 $                        & $ 1.1 \pm0.6 $                        & $ 55 \pm5 $                          
W                    & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 31 \pm31 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 51.5 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 2.30 \pm0.09 ] \times10^{3} $     & $ [ 2.21 \pm0.09 ] \times10^{3} $     & $ [ 1.92 \pm0.08 ] \times10^{3} $     & $ [ 1.89 \pm0.09 ] \times10^{3} $     & $ [ 1.73 \pm0.08 ] \times10^{3} $     & $ [ 1.54 \pm0.07 ] \times10^{3} $     & $ [ 1.40 \pm0.07 ] \times10^{3} $     & $ [ 1.40 \pm0.07 ] \times10^{3} $     & $ [ 1.33 \pm0.06 ] \times10^{3} $     & $ [ 1.30 \pm0.06 ] \times10^{3} $     & $ [ 1.32 \pm0.06 ] \times10^{3} $     & $ [ 1.21 \pm0.06 ] \times10^{3} $     & $ [ 0.98 \pm0.06 ] \times10^{3} $     & $ [ 1.11 \pm0.06 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 0.91 \pm0.06 ] \times10^{3} $     & $ [ 0.95 \pm0.06 ] \times10^{3} $     & $ [ 0.83 \pm0.05 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.06 ] \times10^{3} $     & $ [ 0.82 \pm0.05 ] \times10^{3} $     & $ [ 0.91 \pm0.06 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.80 \pm0.05 ] \times10^{3} $     & $ [ 0.89 \pm0.06 ] \times10^{3} $     & $ [ 0.92 \pm0.06 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 0.80 \pm0.05 ] \times10^{3} $     & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 0.74 \pm0.05 ] \times10^{3} $     & $ [ 46.8 \pm0.4 ] \times10^{3} $     
------------------------------------------
Data                 & 60896                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 650                                   & 2634                                  & 2316                                  & 2121                                  & 2012                                  & 1864                                  & 1711                                  & 1592                                  & 1508                                  & 1439                                  & 1311                                  & 1312                                  & 1169                                  & 1127                                  & 1119                                  & 994                                   & 992                                   & 943                                   & 909                                   & 898                                   & 904                                   & 922                                   & 931                                   & 942                                   & 910                                   & 895                                   & 911                                   & 890                                   & 864                                   & 857                                   & 851                                   & 46177                                
------------------------------------------
