------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 1106.4 \pm1.8 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 6.42 \pm0.17 ] \times10^{3} $     & $ [ 23.02 \pm0.33 ] \times10^{3} $    & $ [ 19.61 \pm0.33 ] \times10^{3} $    & $ [ 17.28 \pm0.31 ] \times10^{3} $    & $ [ 15.77 \pm0.31 ] \times10^{3} $    & $ [ 13.16 \pm0.28 ] \times10^{3} $    & $ [ 13.02 \pm0.29 ] \times10^{3} $    & $ [ 11.54 \pm0.28 ] \times10^{3} $    & $ [ 10.65 \pm0.28 ] \times10^{3} $    & $ [ 9.95 \pm0.26 ] \times10^{3} $     & $ [ 9.15 \pm0.27 ] \times10^{3} $     & $ [ 8.15 \pm0.25 ] \times10^{3} $     & $ [ 7.77 \pm0.25 ] \times10^{3} $     & $ [ 7.05 \pm0.23 ] \times10^{3} $     & $ [ 6.78 \pm0.25 ] \times10^{3} $     & $ [ 5.94 \pm0.23 ] \times10^{3} $     & $ [ 5.87 \pm0.23 ] \times10^{3} $     & $ [ 5.68 \pm0.23 ] \times10^{3} $     & $ [ 5.03 \pm0.21 ] \times10^{3} $     & $ [ 4.87 \pm0.21 ] \times10^{3} $     & $ [ 5.16 \pm0.21 ] \times10^{3} $     & $ [ 4.82 \pm0.21 ] \times10^{3} $     & $ [ 4.85 \pm0.21 ] \times10^{3} $     & $ [ 4.67 \pm0.20 ] \times10^{3} $     & $ [ 4.67 \pm0.20 ] \times10^{3} $     & $ [ 4.40 \pm0.20 ] \times10^{3} $     & $ [ 4.60 \pm0.21 ] \times10^{3} $     & $ [ 4.23 \pm0.19 ] \times10^{3} $     & $ [ 4.04 \pm0.19 ] \times10^{3} $     & $ [ 3.97 \pm0.19 ] \times10^{3} $     & $ [ 4.15 \pm0.20 ] \times10^{3} $     & $ [ 136.9 \pm1.2 ] \times10^{3} $    
#gamma+jets          & $ [ 0.34 \pm0.18 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm6 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.04 \pm0.04 $                      & $ 9 \pm5 $                           
Top                  & $ [ 44.03 \pm0.29 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.60 \pm0.04 ] \times10^{3} $     & $ [ 2.39 \pm0.07 ] \times10^{3} $     & $ [ 2.24 \pm0.07 ] \times10^{3} $     & $ [ 2.07 \pm0.07 ] \times10^{3} $     & $ [ 1.96 \pm0.07 ] \times10^{3} $     & $ [ 1.85 \pm0.07 ] \times10^{3} $     & $ [ 1.67 \pm0.06 ] \times10^{3} $     & $ [ 1.56 \pm0.06 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.49 \pm0.06 ] \times10^{3} $     & $ [ 1.49 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.16 \pm0.06 ] \times10^{3} $     & $ [ 1.29 \pm0.06 ] \times10^{3} $     & $ [ 1.23 \pm0.05 ] \times10^{3} $     & $ [ 1.15 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 1.03 \pm0.05 ] \times10^{3} $     & $ [ 1.10 \pm0.05 ] \times10^{3} $     & $ [ 1.03 \pm0.05 ] \times10^{3} $     & $ [ 1.12 \pm0.05 ] \times10^{3} $     & $ [ 1.11 \pm0.05 ] \times10^{3} $     & $ [ 0.97 \pm0.05 ] \times10^{3} $     & $ [ 1.10 \pm0.05 ] \times10^{3} $     & $ [ 1.07 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 1.08 \pm0.05 ] \times10^{3} $     & $ [ 0.97 \pm0.05 ] \times10^{3} $     & $ [ 67.4 \pm0.4 ] \times10^{3} $     
Multiboson           & $ [ 8.92 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 53 \pm5 $                           & $ 198 \pm9 $                          & $ 184 \pm9 $                          & $ 158 \pm8 $                          & $ 142 \pm8 $                          & $ 135 \pm8 $                          & $ 113 \pm7 $                          & $ 114 \pm7 $                          & $ 104 \pm7 $                          & $ 111 \pm7 $                          & $ 95 \pm6 $                           & $ 75 \pm6 $                           & $ 81 \pm6 $                           & $ 70 \pm5 $                           & $ 70 \pm5 $                           & $ 66 \pm5 $                           & $ 58 \pm5 $                           & $ 52 \pm5 $                           & $ 46 \pm4 $                           & $ 55 \pm5 $                           & $ 56 \pm5 $                           & $ 47 \pm4 $                           & $ 60 \pm5 $                           & $ 50 \pm5 $                           & $ 44 \pm4 $                           & $ 46 \pm4 $                           & $ 52 \pm5 $                           & $ 47 \pm4 $                           & $ 46 \pm4 $                           & $ 41 \pm4 $                           & $ 42 \pm4 $                           & $ 1962 \pm28 $                       
W                    & $ [ 1.90 \pm0.34 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.08 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.08 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.05 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.65 \pm0.21 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.6 \pm1.6 ] \times10^{3} $       & $ [ 0.23 \pm0.21 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 1161.6 \pm1.9 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 7.08 \pm0.18 ] \times10^{3} $     & $ [ 25.61 \pm0.34 ] \times10^{3} $    & $ [ 22.03 \pm0.34 ] \times10^{3} $    & $ [ 19.51 \pm0.32 ] \times10^{3} $    & $ [ 17.93 \pm0.32 ] \times10^{3} $    & $ [ 15.14 \pm0.29 ] \times10^{3} $    & $ [ 14.87 \pm0.31 ] \times10^{3} $    & $ [ 13.27 \pm0.29 ] \times10^{3} $    & $ [ 12.45 \pm0.29 ] \times10^{3} $    & $ [ 11.60 \pm0.27 ] \times10^{3} $    & $ [ 10.82 \pm0.28 ] \times10^{3} $    & $ [ 9.72 \pm0.26 ] \times10^{3} $     & $ [ 9.22 \pm0.25 ] \times10^{3} $     & $ [ 8.28 \pm0.24 ] \times10^{3} $     & $ [ 8.19 \pm0.26 ] \times10^{3} $     & $ [ 7.24 \pm0.23 ] \times10^{3} $     & $ [ 7.15 \pm0.24 ] \times10^{3} $     & $ [ 6.79 \pm0.24 ] \times10^{3} $     & $ [ 6.01 \pm0.22 ] \times10^{3} $     & $ [ 5.95 \pm0.21 ] \times10^{3} $     & $ [ 6.31 \pm0.22 ] \times10^{3} $     & $ [ 5.90 \pm0.21 ] \times10^{3} $     & $ [ 6.03 \pm0.22 ] \times10^{3} $     & $ [ 5.84 \pm0.20 ] \times10^{3} $     & $ [ 5.68 \pm0.21 ] \times10^{3} $     & $ [ 5.65 \pm0.22 ] \times10^{3} $     & $ [ 5.82 \pm0.23 ] \times10^{3} $     & $ [ 5.34 \pm0.20 ] \times10^{3} $     & $ [ 5.19 \pm0.20 ] \times10^{3} $     & $ [ 5.09 \pm0.20 ] \times10^{3} $     & $ [ 6.8 \pm1.6 ] \times10^{3} $       & $ [ 207.1 \pm1.3 ] \times10^{3} $    
------------------------------------------
Data                 & 1393570                               & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 8168                                  & 29471                                 & 25407                                 & 22659                                 & 20433                                 & 18183                                 & 16477                                 & 15022                                 & 13741                                 & 12766                                 & 11759                                 & 11255                                 & 10418                                 & 9692                                  & 9014                                  & 8447                                  & 7891                                  & 7586                                  & 7072                                  & 6889                                  & 6865                                  & 7013                                  & 6828                                  & 6933                                  & 6684                                  & 6691                                  & 6405                                  & 6394                                  & 6139                                  & 6063                                  & 5771                                  & 230398                               
