------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 17446 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 80.0 \pm0.5 ] \times10^{3} $      & $ [ 290.3 \pm1.0 ] \times10^{3} $     & $ [ 252.9 \pm1.0 ] \times10^{3} $     & $ [ 223.8 \pm1.0 ] \times10^{3} $     & $ [ 199.3 \pm0.9 ] \times10^{3} $     & $ [ 174.8 \pm0.9 ] \times10^{3} $     & $ [ 160.6 \pm0.9 ] \times10^{3} $     & $ [ 146.0 \pm0.8 ] \times10^{3} $     & $ [ 133.6 \pm0.8 ] \times10^{3} $     & $ [ 122.8 \pm0.8 ] \times10^{3} $     & $ [ 113.3 \pm0.7 ] \times10^{3} $     & $ [ 102.6 \pm0.7 ] \times10^{3} $     & $ [ 94.2 \pm0.7 ] \times10^{3} $      & $ [ 87.7 \pm0.6 ] \times10^{3} $      & $ [ 78.9 \pm0.6 ] \times10^{3} $      & $ [ 73.1 \pm0.6 ] \times10^{3} $      & $ [ 67.8 \pm0.6 ] \times10^{3} $      & $ [ 63.5 \pm0.6 ] \times10^{3} $      & $ [ 57.9 \pm0.5 ] \times10^{3} $      & $ [ 54.8 \pm0.5 ] \times10^{3} $      & $ [ 54.3 \pm0.5 ] \times10^{3} $      & $ [ 53.0 \pm0.5 ] \times10^{3} $      & $ [ 51.9 \pm0.5 ] \times10^{3} $      & $ [ 51.8 \pm0.5 ] \times10^{3} $      & $ [ 49.7 \pm0.5 ] \times10^{3} $      & $ [ 48.9 \pm0.5 ] \times10^{3} $      & $ [ 47.0 \pm0.5 ] \times10^{3} $      & $ [ 45.2 \pm0.5 ] \times10^{3} $      & $ [ 42.9 \pm0.5 ] \times10^{3} $      & $ [ 42.2 \pm0.5 ] \times10^{3} $      & $ [ 40.9 \pm0.5 ] \times10^{3} $      & $ [ 1272.4 \pm2.7 ] \times10^{3} $   
#gamma+jets          & $ [ 0.45 \pm0.21 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm6 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.04 \pm0.04 $                      & $ 12 \pm6 $                          
Top                  & $ [ 56.60 \pm0.33 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 3.07 \pm0.08 ] \times10^{3} $     & $ [ 2.87 \pm0.08 ] \times10^{3} $     & $ [ 2.66 \pm0.08 ] \times10^{3} $     & $ [ 2.43 \pm0.08 ] \times10^{3} $     & $ [ 2.33 \pm0.08 ] \times10^{3} $     & $ [ 2.20 \pm0.07 ] \times10^{3} $     & $ [ 1.96 \pm0.07 ] \times10^{3} $     & $ [ 2.06 \pm0.07 ] \times10^{3} $     & $ [ 1.98 \pm0.07 ] \times10^{3} $     & $ [ 1.92 \pm0.07 ] \times10^{3} $     & $ [ 1.90 \pm0.07 ] \times10^{3} $     & $ [ 1.72 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.64 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.45 \pm0.06 ] \times10^{3} $     & $ [ 1.39 \pm0.06 ] \times10^{3} $     & $ [ 1.20 \pm0.06 ] \times10^{3} $     & $ [ 1.31 \pm0.06 ] \times10^{3} $     & $ [ 1.39 \pm0.06 ] \times10^{3} $     & $ [ 1.34 \pm0.06 ] \times10^{3} $     & $ [ 1.38 \pm0.06 ] \times10^{3} $     & $ [ 1.41 \pm0.06 ] \times10^{3} $     & $ [ 1.28 \pm0.06 ] \times10^{3} $     & $ [ 1.40 \pm0.06 ] \times10^{3} $     & $ [ 1.38 \pm0.06 ] \times10^{3} $     & $ [ 1.32 \pm0.06 ] \times10^{3} $     & $ [ 1.35 \pm0.06 ] \times10^{3} $     & $ [ 1.43 \pm0.06 ] \times10^{3} $     & $ [ 1.29 \pm0.06 ] \times10^{3} $     & $ [ 85.5 \pm0.5 ] \times10^{3} $     
Multiboson           & $ [ 20.49 \pm0.09 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 167 \pm8 $                          & $ 652 \pm15 $                         & $ 602 \pm15 $                         & $ 557 \pm14 $                         & $ 514 \pm14 $                         & $ 493 \pm13 $                         & $ 446 \pm13 $                         & $ 442 \pm13 $                         & $ 409 \pm12 $                         & $ 410 \pm12 $                         & $ 391 \pm12 $                         & $ 340 \pm11 $                         & $ 324 \pm11 $                         & $ 298 \pm10 $                         & $ 297 \pm10 $                         & $ 272 \pm10 $                         & $ 265 \pm10 $                         & $ 240 \pm9 $                          & $ 227 \pm9 $                          & $ 222 \pm9 $                          & $ 232 \pm9 $                          & $ 234 \pm9 $                          & $ 247 \pm9 $                          & $ 217 \pm9 $                          & $ 242 \pm9 $                          & $ 229 \pm9 $                          & $ 232 \pm9 $                          & $ 229 \pm9 $                          & $ 246 \pm9 $                          & $ 240 \pm9 $                          & $ 223 \pm9 $                          & $ [ 9.98 \pm0.06 ] \times10^{3} $    
W                    & $ [ 2.6 \pm0.4 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.09 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.08 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.08 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.05 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.68 \pm0.21 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.2 \pm1.2 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.6 \pm1.6 ] \times10^{3} $       & $ [ 0.23 \pm0.21 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 17526 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 80.9 \pm0.5 ] \times10^{3} $      & $ [ 294.1 \pm1.0 ] \times10^{3} $     & $ [ 256.3 \pm1.0 ] \times10^{3} $     & $ [ 227.1 \pm1.0 ] \times10^{3} $     & $ [ 202.3 \pm0.9 ] \times10^{3} $     & $ [ 177.7 \pm0.9 ] \times10^{3} $     & $ [ 163.3 \pm0.9 ] \times10^{3} $     & $ [ 148.5 \pm0.8 ] \times10^{3} $     & $ [ 136.1 \pm0.8 ] \times10^{3} $     & $ [ 125.1 \pm0.8 ] \times10^{3} $     & $ [ 115.7 \pm0.7 ] \times10^{3} $     & $ [ 104.8 \pm0.7 ] \times10^{3} $     & $ [ 96.3 \pm0.7 ] \times10^{3} $      & $ [ 89.5 \pm0.7 ] \times10^{3} $      & $ [ 80.9 \pm0.6 ] \times10^{3} $      & $ [ 74.9 \pm0.6 ] \times10^{3} $      & $ [ 69.6 \pm0.6 ] \times10^{3} $      & $ [ 66.4 \pm1.3 ] \times10^{3} $      & $ [ 59.4 \pm0.5 ] \times10^{3} $      & $ [ 56.4 \pm0.5 ] \times10^{3} $      & $ [ 56.0 \pm0.5 ] \times10^{3} $      & $ [ 54.6 \pm0.5 ] \times10^{3} $      & $ [ 53.5 \pm0.5 ] \times10^{3} $      & $ [ 53.4 \pm0.5 ] \times10^{3} $      & $ [ 51.2 \pm0.5 ] \times10^{3} $      & $ [ 50.6 \pm0.5 ] \times10^{3} $      & $ [ 48.7 \pm0.5 ] \times10^{3} $      & $ [ 46.7 \pm0.5 ] \times10^{3} $      & $ [ 44.6 \pm0.5 ] \times10^{3} $      & $ [ 43.8 \pm0.5 ] \times10^{3} $      & $ [ 44.1 \pm1.7 ] \times10^{3} $      & $ [ 1368.8 \pm2.8 ] \times10^{3} $   
------------------------------------------
Data                 & 20009448                              & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 95132                                 & 337343                                & 287556                                & 255525                                & 225858                                & 199573                                & 177248                                & 158719                                & 143723                                & 132581                                & 121541                                & 112406                                & 102661                                & 93501                                 & 85656                                 & 79300                                 & 73906                                 & 68485                                 & 63995                                 & 60218                                 & 59840                                 & 60869                                 & 59764                                 & 58503                                 & 57093                                 & 55491                                 & 53705                                 & 51934                                 & 50291                                 & 48665                                 & 46449                                 & 1517800                              
