------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 42 \pm14 $                          & $ 76 \pm23 $                          & $ 88 \pm26 $                          & $ 156 \pm26 $                         & $ 131 \pm22 $                         & $ 116 \pm23 $                         & $ 115 \pm21 $                         & $ 43 \pm17 $                          & $ 32 \pm16 $                          & $ 6 \pm15 $                           & $ 54 \pm16 $                          & $ 38 \pm13 $                          & $ 30 \pm12 $                          & $ 25 \pm13 $                          & $ 5 \pm12 $                           & $ 26 \pm12 $                          & $ 12 \pm8 $                           & $ 17 \pm8 $                           & $ 2 \pm5 $                            & $ 2.1 \pm2.1 $                        & $ 1.3 \pm1.3 $                        & $ -1.3 \pm1.3 $                       & $ 2.3 \pm2.3 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.5 \pm0.4 $                        & $ 1.8 \pm0.7 $                        & $ 3.2 \pm0.9 $                        & $ 4.0 \pm1.0 $                        & $ 1.8 \pm0.6 $                        & $ 2.4 \pm0.8 $                        & $ 1.7 \pm0.6 $                        & $ 1.9 \pm0.7 $                        & $ 0.40 \pm0.31 $                      & $ 0.8 \pm0.5 $                        & $ 0.38 \pm0.28 $                      & $ 0.6 \pm0.4 $                        & $ 0.8 \pm0.5 $                        & $ 1.2 \pm0.5 $                        & $ 0.20 \pm0.20 $                      & $ 1.2 \pm0.5 $                        & $ 0 \pm0 $                            & $ 0.015 \pm0.015 $                    & $ 0.27 \pm0.27 $                      & $ 0.4 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 43 \pm14 $                          & $ 78 \pm23 $                          & $ 91 \pm26 $                          & $ 160 \pm26 $                         & $ 133 \pm22 $                         & $ 118 \pm23 $                         & $ 117 \pm21 $                         & $ 45 \pm17 $                          & $ 32 \pm16 $                          & $ 7 \pm15 $                           & $ 54 \pm16 $                          & $ 38 \pm13 $                          & $ 30 \pm12 $                          & $ 26 \pm13 $                          & $ 6 \pm12 $                           & $ 27 \pm12 $                          & $ 12 \pm8 $                           & $ 17 \pm8 $                           & $ 3 \pm5 $                            & $ 2.5 \pm2.1 $                        & $ 1.3 \pm1.3 $                        & $ -1.3 \pm1.3 $                       & $ 2.3 \pm2.3 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 155                                   & 577                                   & 902                                   & 974                                   & 963                                   & 920                                   & 896                                   & 830                                   & 698                                   & 708                                   & 639                                   & 521                                   & 485                                   & 393                                   & 306                                   & 277                                   & 214                                   & 184                                   & 123                                   & 95                                    & 84                                    & 23                                    & 21                                    & 7                                     & 1                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
------------------------------------------
