------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 17 \pm7 $                           & $ 66 \pm17 $                          & $ 42 \pm20 $                          & $ 69 \pm23 $                          & $ 77 \pm21 $                          & $ 79 \pm23 $                          & $ 102 \pm24 $                         & $ 94 \pm22 $                          & $ 90 \pm18 $                          & $ 39 \pm18 $                          & $ 38 \pm16 $                          & $ 38 \pm16 $                          & $ 34 \pm13 $                          & $ 17 \pm14 $                          & $ 47 \pm14 $                          & $ 34 \pm12 $                          & $ 17 \pm13 $                          & $ 48 \pm11 $                          & $ 10 \pm10 $                          & $ 13 \pm9 $                           & $ 1 \pm8 $                            & $ -3 \pm5 $                           & $ 4.3 \pm3.1 $                        & $ -2.0 \pm2.0 $                       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 100 \pm16 $                         & $ 449 \pm34 $                         & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.81 \pm0.04 ] \times10^{3} $     & $ [ 0.87 \pm0.04 ] \times10^{3} $     & $ [ 0.86 \pm0.04 ] \times10^{3} $     & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ 571 \pm35 $                         & $ 434 \pm32 $                         & $ 367 \pm28 $                         & $ 334 \pm24 $                         & $ 239 \pm21 $                         & $ 236 \pm20 $                         & $ 232 \pm20 $                         & $ 223 \pm18 $                         & $ 174 \pm17 $                         & $ 172 \pm17 $                         & $ 117 \pm15 $                         & $ 102 \pm13 $                         & $ 61 \pm9 $                           & $ 22 \pm6 $                           & $ 2.2 \pm2.3 $                        & $ 0.030 \pm0.030 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.6 \pm0.4 $                        & $ 1.7 \pm0.7 $                        & $ 1.6 \pm0.7 $                        & $ 2.3 \pm0.7 $                        & $ 1.8 \pm0.6 $                        & $ 1.5 \pm0.6 $                        & $ 1.4 \pm0.6 $                        & $ 1.7 \pm0.7 $                        & $ 1.1 \pm0.5 $                        & $ 0.6 \pm0.4 $                        & $ 0.7 \pm0.4 $                        & $ 0.5 \pm0.4 $                        & $ 0.8 \pm0.5 $                        & $ 0 \pm0 $                            & $ 0.9 \pm0.4 $                        & $ 0.24 \pm0.24 $                      & $ 0.7 \pm0.4 $                        & $ 0.009 \pm0.009 $                    & $ 0 \pm0 $                            & $ 0.5 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 118 \pm17 $                         & $ [ 0.52 \pm0.04 ] \times10^{3} $     & $ [ 0.72 \pm0.05 ] \times10^{3} $     & $ [ 0.88 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 0.77 \pm0.05 ] \times10^{3} $     & $ [ 0.71 \pm0.04 ] \times10^{3} $     & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ 473 \pm35 $                         & $ 405 \pm32 $                         & $ 369 \pm28 $                         & $ 256 \pm25 $                         & $ 284 \pm25 $                         & $ 266 \pm23 $                         & $ 240 \pm22 $                         & $ 222 \pm21 $                         & $ 182 \pm20 $                         & $ 131 \pm17 $                         & $ 103 \pm15 $                         & $ 58 \pm10 $                          & $ 27 \pm7 $                           & $ 0.2 \pm3.0 $                        & $ 0.030 \pm0.030 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
