------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 20 \pm7 $                           & $ 64 \pm17 $                          & $ 50 \pm21 $                          & $ 62 \pm23 $                          & $ 77 \pm21 $                          & $ 83 \pm22 $                          & $ 113 \pm24 $                         & $ 87 \pm22 $                          & $ 77 \pm18 $                          & $ 37 \pm18 $                          & $ 49 \pm17 $                          & $ 31 \pm16 $                          & $ 29 \pm14 $                          & $ 29 \pm15 $                          & $ 38 \pm13 $                          & $ 34 \pm12 $                          & $ 16 \pm13 $                          & $ 46 \pm11 $                          & $ 16 \pm10 $                          & $ 13 \pm9 $                           & $ -1 \pm8 $                           & $ -4 \pm4 $                           & $ 5.3 \pm3.2 $                        & $ -2.0 \pm2.0 $                       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 98 \pm16 $                          & $ 439 \pm34 $                         & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 0.81 \pm0.04 ] \times10^{3} $     & $ [ 0.87 \pm0.04 ] \times10^{3} $     & $ [ 0.84 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.69 \pm0.04 ] \times10^{3} $     & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ 573 \pm35 $                         & $ 434 \pm32 $                         & $ 363 \pm28 $                         & $ 333 \pm24 $                         & $ 239 \pm21 $                         & $ 238 \pm20 $                         & $ 227 \pm20 $                         & $ 225 \pm18 $                         & $ 176 \pm17 $                         & $ 161 \pm16 $                         & $ 123 \pm15 $                         & $ 99 \pm13 $                          & $ 62 \pm9 $                           & $ 23 \pm6 $                           & $ 2.2 \pm2.3 $                        & $ 0.030 \pm0.030 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.6 \pm0.4 $                        & $ 1.5 \pm0.6 $                        & $ 1.6 \pm0.7 $                        & $ 2.6 \pm0.8 $                        & $ 1.7 \pm0.6 $                        & $ 1.5 \pm0.6 $                        & $ 1.4 \pm0.6 $                        & $ 1.9 \pm0.7 $                        & $ 0.9 \pm0.5 $                        & $ 0.8 \pm0.4 $                        & $ 0.50 \pm0.29 $                      & $ 0.5 \pm0.4 $                        & $ 0.8 \pm0.5 $                        & $ 0 \pm0 $                            & $ 0.9 \pm0.4 $                        & $ 0.24 \pm0.24 $                      & $ 0.7 \pm0.4 $                        & $ 0.009 \pm0.009 $                    & $ 0 \pm0 $                            & $ 0.5 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 119 \pm17 $                         & $ [ 0.51 \pm0.04 ] \times10^{3} $     & $ [ 0.75 \pm0.05 ] \times10^{3} $     & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.77 \pm0.05 ] \times10^{3} $     & $ [ 0.69 \pm0.04 ] \times10^{3} $     & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ [ 0.48 \pm0.04 ] \times10^{3} $     & $ 394 \pm32 $                         & $ 363 \pm28 $                         & $ 268 \pm25 $                         & $ 276 \pm24 $                         & $ 261 \pm23 $                         & $ 242 \pm22 $                         & $ 222 \pm21 $                         & $ 177 \pm19 $                         & $ 137 \pm17 $                         & $ 98 \pm15 $                          & $ 58 \pm10 $                          & $ 29 \pm7 $                           & $ 0.2 \pm3.0 $                        & $ 0.030 \pm0.030 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
