------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 20 \pm7 $                           & $ 64 \pm17 $                          & $ 44 \pm20 $                          & $ 67 \pm23 $                          & $ 76 \pm21 $                          & $ 84 \pm22 $                          & $ 109 \pm24 $                         & $ 88 \pm21 $                          & $ 82 \pm19 $                          & $ 34 \pm17 $                          & $ 56 \pm17 $                          & $ 24 \pm15 $                          & $ 33 \pm14 $                          & $ 26 \pm15 $                          & $ 40 \pm13 $                          & $ 34 \pm12 $                          & $ 13 \pm12 $                          & $ 53 \pm11 $                          & $ 14 \pm10 $                          & $ 13 \pm9 $                           & $ -3 \pm8 $                           & $ -4 \pm4 $                           & $ 5.3 \pm3.2 $                        & $ -2.0 \pm2.0 $                       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 99 \pm15 $                          & $ 442 \pm34 $                         & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.83 \pm0.04 ] \times10^{3} $     & $ [ 0.88 \pm0.04 ] \times10^{3} $     & $ [ 0.81 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.69 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ 567 \pm35 $                         & $ 434 \pm32 $                         & $ 368 \pm27 $                         & $ 335 \pm24 $                         & $ 241 \pm21 $                         & $ 238 \pm20 $                         & $ 225 \pm20 $                         & $ 224 \pm18 $                         & $ 175 \pm18 $                         & $ 164 \pm16 $                         & $ 120 \pm15 $                         & $ 102 \pm13 $                         & $ 59 \pm9 $                           & $ 24 \pm6 $                           & $ 2.2 \pm2.3 $                        & $ 0.030 \pm0.030 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.6 \pm0.4 $                        & $ 1.7 \pm0.7 $                        & $ 1.3 \pm0.6 $                        & $ 2.6 \pm0.8 $                        & $ 1.8 \pm0.6 $                        & $ 1.5 \pm0.6 $                        & $ 1.4 \pm0.6 $                        & $ 1.9 \pm0.7 $                        & $ 0.9 \pm0.5 $                        & $ 0.8 \pm0.4 $                        & $ 0.50 \pm0.29 $                      & $ 0.5 \pm0.4 $                        & $ 0.8 \pm0.5 $                        & $ 0 \pm0 $                            & $ 0.9 \pm0.4 $                        & $ 0.24 \pm0.24 $                      & $ 0.7 \pm0.4 $                        & $ 0.009 \pm0.009 $                    & $ 0 \pm0 $                            & $ 0.5 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 119 \pm17 $                         & $ [ 0.51 \pm0.04 ] \times10^{3} $     & $ [ 0.73 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.96 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.89 \pm0.05 ] \times10^{3} $     & $ [ 0.78 \pm0.05 ] \times10^{3} $     & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 0.60 \pm0.04 ] \times10^{3} $     & $ [ 0.49 \pm0.04 ] \times10^{3} $     & $ 392 \pm32 $                         & $ 369 \pm28 $                         & $ 267 \pm26 $                         & $ 278 \pm24 $                         & $ 260 \pm23 $                         & $ 238 \pm22 $                         & $ 228 \pm21 $                         & $ 179 \pm19 $                         & $ 134 \pm17 $                         & $ 99 \pm15 $                          & $ 55 \pm10 $                          & $ 29 \pm7 $                           & $ 0.2 \pm3.0 $                        & $ 0.030 \pm0.030 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
