------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 12 \pm5 $                           & $ 55 \pm15 $                          & $ 43 \pm17 $                          & $ 45 \pm20 $                          & $ 73 \pm19 $                          & $ 70 \pm19 $                          & $ 94 \pm21 $                          & $ 74 \pm18 $                          & $ 56 \pm16 $                          & $ 34 \pm14 $                          & $ 32 \pm14 $                          & $ 30 \pm14 $                          & $ 32 \pm11 $                          & $ 9 \pm13 $                           & $ 33 \pm10 $                          & $ 31 \pm10 $                          & $ 18 \pm11 $                          & $ 38 \pm9 $                           & $ 15 \pm9 $                           & $ 6 \pm8 $                            & $ -3 \pm7 $                           & $ -2.7 \pm3.2 $                       & $ 3.9 \pm2.3 $                        & $ -1.2 \pm1.2 $                       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 79 \pm13 $                          & $ 366 \pm30 $                         & $ [ 0.57 \pm0.04 ] \times10^{3} $     & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.72 \pm0.04 ] \times10^{3} $     & $ [ 0.69 \pm0.04 ] \times10^{3} $     & $ [ 0.64 \pm0.04 ] \times10^{3} $     & $ 560 \pm35 $                         & $ 493 \pm33 $                         & $ 480 \pm30 $                         & $ 360 \pm28 $                         & $ 309 \pm24 $                         & $ 275 \pm21 $                         & $ 198 \pm18 $                         & $ 204 \pm18 $                         & $ 193 \pm17 $                         & $ 183 \pm16 $                         & $ 142 \pm15 $                         & $ 135 \pm14 $                         & $ 99 \pm13 $                          & $ 81 \pm11 $                          & $ 51 \pm8 $                           & $ 20 \pm5 $                           & $ 2.0 \pm1.9 $                        & $ 0.026 \pm0.026 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.46 \pm0.27 $                      & $ 1.2 \pm0.5 $                        & $ 1.5 \pm0.6 $                        & $ 1.7 \pm0.6 $                        & $ 1.5 \pm0.6 $                        & $ 1.1 \pm0.5 $                        & $ 1.1 \pm0.6 $                        & $ 1.1 \pm0.4 $                        & $ 0.8 \pm0.4 $                        & $ 0.7 \pm0.4 $                        & $ 0.31 \pm0.18 $                      & $ 0.39 \pm0.29 $                      & $ 0.7 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0.7 \pm0.4 $                        & $ 0.21 \pm0.21 $                      & $ 0.53 \pm0.33 $                      & $ 0.011 \pm0.011 $                    & $ 0 \pm0 $                            & $ 0.31 \pm0.22 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 92 \pm14 $                          & $ 422 \pm33 $                         & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ [ 0.73 \pm0.04 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.76 \pm0.04 ] \times10^{3} $     & $ [ 0.74 \pm0.04 ] \times10^{3} $     & $ [ 0.63 \pm0.04 ] \times10^{3} $     & $ [ 0.55 \pm0.04 ] \times10^{3} $     & $ 514 \pm33 $                         & $ 391 \pm31 $                         & $ 339 \pm28 $                         & $ 308 \pm24 $                         & $ 207 \pm22 $                         & $ 237 \pm21 $                         & $ 224 \pm20 $                         & $ 202 \pm19 $                         & $ 179 \pm18 $                         & $ 150 \pm17 $                         & $ 106 \pm15 $                         & $ 78 \pm13 $                          & $ 49 \pm8 $                           & $ 24 \pm6 $                           & $ 0.8 \pm2.2 $                        & $ 0.026 \pm0.026 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
------------------------------------------
