------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 14 \pm10 $                          & $ 94 \pm32 $                          & $ 106 \pm31 $                         & $ 155 \pm30 $                         & $ 102 \pm28 $                         & $ 72 \pm28 $                          & $ 53 \pm24 $                          & $ 86 \pm22 $                          & $ 109 \pm22 $                         & $ 47 \pm18 $                          & $ 44 \pm16 $                          & $ 47 \pm17 $                          & $ 15 \pm15 $                          & $ 45 \pm17 $                          & $ 43 \pm14 $                          & $ 38 \pm14 $                          & $ 16 \pm10 $                          & $ 6 \pm9 $                            & $ 19 \pm10 $                          & $ 18 \pm8 $                           & $ 10 \pm5 $                           & $ 0.9 \pm3.0 $                        & $ 2.8 \pm2.8 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 204 \pm23 $                         & $ [ 0.76 \pm0.05 ] \times10^{3} $     & $ [ 0.88 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.06 ] \times10^{3} $     & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 0.71 \pm0.05 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 0.54 \pm0.04 ] \times10^{3} $     & $ [ 0.53 \pm0.04 ] \times10^{3} $     & $ [ 0.46 \pm0.04 ] \times10^{3} $     & $ 403 \pm34 $                         & $ 432 \pm34 $                         & $ 350 \pm31 $                         & $ 317 \pm29 $                         & $ 321 \pm28 $                         & $ 251 \pm26 $                         & $ 185 \pm23 $                         & $ 128 \pm21 $                         & $ 122 \pm19 $                         & $ 91 \pm17 $                          & $ 68 \pm13 $                          & $ 39 \pm10 $                          & $ 20 \pm6 $                           & $ 6.4 \pm3.1 $                        & $ 6 \pm5 $                            & $ 1.1 \pm1.1 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.016 \pm0.016 $                    & $ 0.28 \pm0.28 $                      & $ 1.9 \pm0.7 $                        & $ 4.0 \pm1.1 $                        & $ 4.7 \pm1.1 $                        & $ 1.8 \pm0.7 $                        & $ 2.4 \pm0.8 $                        & $ 1.5 \pm0.6 $                        & $ 0.5 \pm0.4 $                        & $ 2.3 \pm0.8 $                        & $ 1.5 \pm0.7 $                        & $ 1.2 \pm0.6 $                        & $ 1.8 \pm0.8 $                        & $ 1.2 \pm0.6 $                        & $ 1.2 \pm0.6 $                        & $ 0.9 \pm0.6 $                        & $ 0 \pm0 $                            & $ 0.6 \pm0.4 $                        & $ 0.5 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 218 \pm25 $                         & $ [ 0.85 \pm0.06 ] \times10^{3} $     & $ [ 0.99 \pm0.06 ] \times10^{3} $     & $ [ 1.22 \pm0.06 ] \times10^{3} $     & $ [ 0.97 \pm0.06 ] \times10^{3} $     & $ [ 0.93 \pm0.06 ] \times10^{3} $     & $ [ 0.76 \pm0.05 ] \times10^{3} $     & $ [ 0.76 \pm0.05 ] \times10^{3} $     & $ [ 0.65 \pm0.05 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 0.50 \pm0.04 ] \times10^{3} $     & $ [ 0.45 \pm0.04 ] \times10^{3} $     & $ [ 0.45 \pm0.04 ] \times10^{3} $     & $ 396 \pm35 $                         & $ 361 \pm32 $                         & $ 360 \pm31 $                         & $ 267 \pm28 $                         & $ 192 \pm25 $                         & $ 147 \pm23 $                         & $ 140 \pm20 $                         & $ 101 \pm17 $                         & $ 69 \pm14 $                          & $ 42 \pm10 $                          & $ 20 \pm6 $                           & $ 6.4 \pm3.1 $                        & $ 6 \pm5 $                            & $ 1.1 \pm1.1 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 162                                   & 727                                   & 890                                   & 1132                                  & 1062                                  & 896                                   & 881                                   & 684                                   & 642                                   & 558                                   & 525                                   & 459                                   & 428                                   & 396                                   & 335                                   & 271                                   & 241                                   & 199                                   & 165                                   & 115                                   & 88                                    & 69                                    & 40                                    & 18                                    & 14                                    & 1                                     & 0                                     & 0                                     & 0                                     & 0                                    
