------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 17 \pm7 $                           & $ 61 \pm16 $                          & $ 44 \pm19 $                          & $ 64 \pm22 $                          & $ 76 \pm20 $                          & $ 73 \pm21 $                          & $ 105 \pm23 $                         & $ 84 \pm20 $                          & $ 70 \pm18 $                          & $ 37 \pm16 $                          & $ 43 \pm16 $                          & $ 32 \pm15 $                          & $ 35 \pm13 $                          & $ 14 \pm14 $                          & $ 42 \pm13 $                          & $ 34 \pm11 $                          & $ 13 \pm12 $                          & $ 43 \pm10 $                          & $ 17 \pm10 $                          & $ 11 \pm8 $                           & $ -1 \pm8 $                           & $ -4 \pm4 $                           & $ 5.0 \pm3.1 $                        & $ -1.9 \pm1.9 $                       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 94 \pm15 $                          & $ 416 \pm32 $                         & $ [ 0.64 \pm0.04 ] \times10^{3} $     & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.82 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.73 \pm0.04 ] \times10^{3} $     & $ [ 0.63 \pm0.04 ] \times10^{3} $     & $ 573 \pm35 $                         & $ 533 \pm32 $                         & $ 403 \pm29 $                         & $ 347 \pm26 $                         & $ 311 \pm22 $                         & $ 225 \pm19 $                         & $ 220 \pm19 $                         & $ 210 \pm18 $                         & $ 208 \pm17 $                         & $ 166 \pm16 $                         & $ 153 \pm15 $                         & $ 113 \pm14 $                         & $ 92 \pm12 $                          & $ 58 \pm8 $                           & $ 20 \pm5 $                           & $ 2.0 \pm2.1 $                        & $ 0.028 \pm0.028 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.6 \pm0.4 $                        & $ 1.7 \pm0.7 $                        & $ 1.4 \pm0.6 $                        & $ 2.2 \pm0.7 $                        & $ 1.7 \pm0.6 $                        & $ 1.4 \pm0.6 $                        & $ 1.3 \pm0.6 $                        & $ 1.7 \pm0.6 $                        & $ 1.1 \pm0.5 $                        & $ 0.8 \pm0.4 $                        & $ 0.48 \pm0.28 $                      & $ 0.5 \pm0.4 $                        & $ 0.8 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0.8 \pm0.4 $                        & $ 0.23 \pm0.23 $                      & $ 0.7 \pm0.4 $                        & $ 0.009 \pm0.009 $                    & $ 0 \pm0 $                            & $ 0.48 \pm0.34 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 112 \pm16 $                         & $ [ 0.48 \pm0.04 ] \times10^{3} $     & $ [ 0.69 \pm0.04 ] \times10^{3} $     & $ [ 0.83 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 0.83 \pm0.05 ] \times10^{3} $     & $ [ 0.72 \pm0.04 ] \times10^{3} $     & $ [ 0.64 \pm0.04 ] \times10^{3} $     & $ [ 0.57 \pm0.04 ] \times10^{3} $     & $ 447 \pm33 $                         & $ 379 \pm30 $                         & $ 347 \pm26 $                         & $ 239 \pm24 $                         & $ 263 \pm23 $                         & $ 244 \pm22 $                         & $ 222 \pm21 $                         & $ 209 \pm19 $                         & $ 170 \pm18 $                         & $ 124 \pm16 $                         & $ 91 \pm14 $                          & $ 55 \pm9 $                           & $ 25 \pm6 $                           & $ 0.1 \pm2.8 $                        & $ 0.028 \pm0.028 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
