------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 14 \pm10 $                          & $ 94 \pm32 $                          & $ 106 \pm31 $                         & $ 155 \pm30 $                         & $ 102 \pm28 $                         & $ 72 \pm28 $                          & $ 53 \pm24 $                          & $ 86 \pm22 $                          & $ 109 \pm22 $                         & $ 47 \pm18 $                          & $ 44 \pm16 $                          & $ 47 \pm17 $                          & $ 15 \pm15 $                          & $ 45 \pm17 $                          & $ 43 \pm14 $                          & $ 38 \pm14 $                          & $ 16 \pm10 $                          & $ 6 \pm9 $                            & $ 19 \pm10 $                          & $ 18 \pm8 $                           & $ 10 \pm5 $                           & $ 0.9 \pm3.0 $                        & $ 2.8 \pm2.8 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 205 \pm21 $                         & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.89 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 0.89 \pm0.05 ] \times10^{3} $     & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 0.53 \pm0.04 ] \times10^{3} $     & $ 528 \pm35 $                         & $ 464 \pm34 $                         & $ 404 \pm31 $                         & $ 429 \pm30 $                         & $ 369 \pm28 $                         & $ 306 \pm26 $                         & $ 314 \pm25 $                         & $ 257 \pm23 $                         & $ 182 \pm21 $                         & $ 143 \pm19 $                         & $ 131 \pm17 $                         & $ 86 \pm15 $                          & $ 67 \pm12 $                          & $ 37 \pm9 $                           & $ 18 \pm6 $                           & $ 6.5 \pm3.0 $                        & $ 1.0 \pm2.7 $                        & $ 0.9 \pm0.9 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.016 \pm0.016 $                    & $ 0.28 \pm0.28 $                      & $ 1.9 \pm0.7 $                        & $ 4.0 \pm1.1 $                        & $ 4.7 \pm1.1 $                        & $ 1.8 \pm0.7 $                        & $ 2.4 \pm0.8 $                        & $ 1.5 \pm0.6 $                        & $ 0.5 \pm0.4 $                        & $ 2.3 \pm0.8 $                        & $ 1.5 \pm0.7 $                        & $ 1.2 \pm0.6 $                        & $ 1.8 \pm0.8 $                        & $ 1.2 \pm0.6 $                        & $ 1.2 \pm0.6 $                        & $ 0.9 \pm0.6 $                        & $ 0 \pm0 $                            & $ 0.6 \pm0.4 $                        & $ 0.5 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 219 \pm23 $                         & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 1.00 \pm0.06 ] \times10^{3} $     & $ [ 1.22 \pm0.06 ] \times10^{3} $     & $ [ 1.00 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.76 \pm0.05 ] \times10^{3} $     & $ [ 0.78 \pm0.05 ] \times10^{3} $     & $ [ 0.64 \pm0.04 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 0.51 \pm0.04 ] \times10^{3} $     & $ [ 0.45 \pm0.04 ] \times10^{3} $     & $ 446 \pm34 $                         & $ 415 \pm33 $                         & $ 350 \pm30 $                         & $ 353 \pm29 $                         & $ 273 \pm26 $                         & $ 189 \pm23 $                         & $ 162 \pm21 $                         & $ 148 \pm19 $                         & $ 96 \pm15 $                          & $ 68 \pm12 $                          & $ 40 \pm9 $                           & $ 18 \pm6 $                           & $ 6.5 \pm3.0 $                        & $ 1.0 \pm2.7 $                        & $ 0.9 \pm0.9 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 162                                   & 727                                   & 890                                   & 1132                                  & 1062                                  & 896                                   & 881                                   & 684                                   & 642                                   & 558                                   & 525                                   & 459                                   & 428                                   & 396                                   & 335                                   & 271                                   & 241                                   & 199                                   & 165                                   & 115                                   & 88                                    & 69                                    & 40                                    & 18                                    & 14                                    & 1                                     & 0                                     & 0                                     & 0                                     & 0                                    
