------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 10 \pm9 $                           & $ 85 \pm32 $                          & $ 87 \pm25 $                          & $ 115 \pm28 $                         & $ 121 \pm28 $                         & $ 91 \pm27 $                          & $ 112 \pm24 $                         & $ 74 \pm23 $                          & $ 93 \pm21 $                          & $ 61 \pm20 $                          & $ 80 \pm19 $                          & $ 37 \pm16 $                          & $ 30 \pm15 $                          & $ 37 \pm16 $                          & $ 27 \pm14 $                          & $ 27 \pm13 $                          & $ 12 \pm12 $                          & $ 18 \pm11 $                          & $ 32 \pm9 $                           & $ 8 \pm6 $                            & $ -1 \pm6 $                           & $ 3 \pm4 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.5 \pm2.5 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 178 \pm17 $                         & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.87 \pm0.04 ] \times10^{3} $     & $ [ 1.04 \pm0.04 ] \times10^{3} $     & $ [ 1.02 \pm0.04 ] \times10^{3} $     & $ [ 0.85 \pm0.04 ] \times10^{3} $     & $ 794 \pm35 $                         & $ 621 \pm34 $                         & $ 557 \pm31 $                         & $ 504 \pm30 $                         & $ 490 \pm29 $                         & $ 427 \pm26 $                         & $ 398 \pm26 $                         & $ 348 \pm25 $                         & $ 314 \pm23 $                         & $ 248 \pm21 $                         & $ 212 \pm19 $                         & $ 179 \pm18 $                         & $ 172 \pm17 $                         & $ 135 \pm15 $                         & $ 98 \pm13 $                          & $ 71 \pm10 $                          & $ 29 \pm8 $                           & $ 23 \pm6 $                           & $ 4.6 \pm2.9 $                        & $ -0.4 \pm1.1 $                       & $ 0.7 \pm1.2 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.8 \pm0.4 $                        & $ 2.2 \pm0.8 $                        & $ 2.9 \pm1.0 $                        & $ 3.1 \pm1.0 $                        & $ 1.5 \pm0.6 $                        & $ 3.5 \pm1.0 $                        & $ 1.8 \pm0.8 $                        & $ 2.3 \pm0.8 $                        & $ 1.2 \pm0.6 $                        & $ 2.7 \pm0.9 $                        & $ 0.6 \pm0.4 $                        & $ 2.2 \pm0.9 $                        & $ 0.6 \pm0.4 $                        & $ 0.28 \pm0.26 $                      & $ 0.6 \pm0.4 $                        & $ 0.19 \pm0.19 $                      & $ 0.23 \pm0.23 $                      & $ 0.5 \pm0.4 $                        & $ 0.26 \pm0.26 $                      & $ 0.24 \pm0.24 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 189 \pm20 $                         & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 0.96 \pm0.05 ] \times10^{3} $     & $ [ 1.16 \pm0.05 ] \times10^{3} $     & $ [ 1.14 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 0.91 \pm0.04 ] \times10^{3} $     & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 0.65 \pm0.04 ] \times10^{3} $     & $ [ 0.57 \pm0.04 ] \times10^{3} $     & $ 571 \pm35 $                         & $ 466 \pm30 $                         & $ 428 \pm30 $                         & $ 385 \pm29 $                         & $ 341 \pm27 $                         & $ 275 \pm25 $                         & $ 225 \pm22 $                         & $ 197 \pm21 $                         & $ 204 \pm19 $                         & $ 143 \pm16 $                         & $ 98 \pm14 $                          & $ 74 \pm11 $                          & $ 29 \pm8 $                           & $ 23 \pm6 $                           & $ 7 \pm4 $                            & $ -0.4 \pm1.1 $                       & $ 0.7 \pm1.2 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 162                                   & 727                                   & 890                                   & 1131                                  & 1061                                  & 896                                   & 881                                   & 684                                   & 642                                   & 558                                   & 525                                   & 459                                   & 428                                   & 396                                   & 335                                   & 271                                   & 241                                   & 199                                   & 165                                   & 115                                   & 88                                    & 69                                    & 40                                    & 18                                    & 14                                    & 1                                     & 0                                     & 0                                     & 0                                     & 0                                    
