------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 10 \pm9 $                           & $ 85 \pm32 $                          & $ 87 \pm25 $                          & $ 115 \pm28 $                         & $ 121 \pm28 $                         & $ 91 \pm27 $                          & $ 112 \pm24 $                         & $ 74 \pm23 $                          & $ 93 \pm21 $                          & $ 61 \pm20 $                          & $ 80 \pm19 $                          & $ 37 \pm16 $                          & $ 30 \pm15 $                          & $ 37 \pm16 $                          & $ 27 \pm14 $                          & $ 27 \pm13 $                          & $ 12 \pm12 $                          & $ 18 \pm11 $                          & $ 32 \pm9 $                           & $ 8 \pm6 $                            & $ -1 \pm6 $                           & $ 3 \pm4 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.5 \pm2.5 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 177 \pm18 $                         & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.88 \pm0.04 ] \times10^{3} $     & $ [ 1.03 \pm0.04 ] \times10^{3} $     & $ [ 1.01 \pm0.04 ] \times10^{3} $     & $ [ 0.85 \pm0.04 ] \times10^{3} $     & $ [ 0.80 \pm0.04 ] \times10^{3} $     & $ 616 \pm35 $                         & $ 565 \pm32 $                         & $ 500 \pm31 $                         & $ 485 \pm30 $                         & $ 423 \pm26 $                         & $ 404 \pm27 $                         & $ 351 \pm25 $                         & $ 317 \pm24 $                         & $ 253 \pm21 $                         & $ 214 \pm19 $                         & $ 175 \pm18 $                         & $ 173 \pm17 $                         & $ 139 \pm15 $                         & $ 99 \pm13 $                          & $ 71 \pm11 $                          & $ 30 \pm8 $                           & $ 23 \pm6 $                           & $ 4.7 \pm3.1 $                        & $ -0.5 \pm1.1 $                       & $ 0.7 \pm1.3 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.8 \pm0.4 $                        & $ 2.2 \pm0.8 $                        & $ 2.9 \pm1.0 $                        & $ 3.1 \pm1.0 $                        & $ 1.5 \pm0.6 $                        & $ 3.5 \pm1.0 $                        & $ 1.8 \pm0.8 $                        & $ 2.3 \pm0.8 $                        & $ 1.2 \pm0.6 $                        & $ 2.7 \pm0.9 $                        & $ 0.6 \pm0.4 $                        & $ 2.2 \pm0.9 $                        & $ 0.6 \pm0.4 $                        & $ 0.28 \pm0.26 $                      & $ 0.6 \pm0.4 $                        & $ 0.19 \pm0.19 $                      & $ 0.23 \pm0.23 $                      & $ 0.5 \pm0.4 $                        & $ 0.26 \pm0.26 $                      & $ 0.24 \pm0.24 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 188 \pm20 $                         & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 0.97 \pm0.05 ] \times10^{3} $     & $ [ 1.14 \pm0.05 ] \times10^{3} $     & $ [ 1.13 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.04 ] \times10^{3} $     & $ [ 0.69 \pm0.04 ] \times10^{3} $     & $ [ 0.66 \pm0.04 ] \times10^{3} $     & $ [ 0.56 \pm0.04 ] \times10^{3} $     & $ 566 \pm35 $                         & $ 461 \pm31 $                         & $ 435 \pm31 $                         & $ 388 \pm30 $                         & $ 345 \pm28 $                         & $ 280 \pm25 $                         & $ 226 \pm23 $                         & $ 193 \pm21 $                         & $ 206 \pm20 $                         & $ 148 \pm17 $                         & $ 99 \pm15 $                          & $ 74 \pm12 $                          & $ 30 \pm8 $                           & $ 23 \pm6 $                           & $ 7 \pm4 $                            & $ -0.5 \pm1.1 $                       & $ 0.7 \pm1.3 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 162                                   & 727                                   & 890                                   & 1131                                  & 1061                                  & 896                                   & 881                                   & 684                                   & 642                                   & 558                                   & 525                                   & 459                                   & 428                                   & 396                                   & 335                                   & 271                                   & 241                                   & 199                                   & 165                                   & 115                                   & 88                                    & 69                                    & 40                                    & 18                                    & 14                                    & 1                                     & 0                                     & 0                                     & 0                                     & 0                                    
