------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 19 \pm9 $                           & $ 35 \pm18 $                          & $ 112 \pm25 $                         & $ 133 \pm31 $                         & $ 134 \pm29 $                         & $ 122 \pm25 $                         & $ 119 \pm26 $                         & $ 53 \pm23 $                          & $ 45 \pm19 $                          & $ 53 \pm17 $                          & $ 54 \pm20 $                          & $ 72 \pm18 $                          & $ 69 \pm19 $                          & $ 9 \pm13 $                           & $ 36 \pm14 $                          & $ 15 \pm12 $                          & $ 42 \pm12 $                          & $ 18 \pm10 $                          & $ 17 \pm11 $                          & $ -0 \pm7 $                           & $ 1.0 \pm2.3 $                        & $ 3.6 \pm2.6 $                        & $ 1.2 \pm1.9 $                        & $ 1.7 \pm1.7 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 209 \pm25 $                         & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 0.93 \pm0.05 ] \times10^{3} $     & $ [ 1.20 \pm0.06 ] \times10^{3} $     & $ [ 1.12 \pm0.06 ] \times10^{3} $     & $ [ 0.99 \pm0.05 ] \times10^{3} $     & $ [ 0.78 \pm0.05 ] \times10^{3} $     & $ [ 0.79 \pm0.05 ] \times10^{3} $     & $ [ 0.66 \pm0.04 ] \times10^{3} $     & $ [ 0.63 \pm0.04 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 0.47 \pm0.04 ] \times10^{3} $     & $ 470 \pm35 $                         & $ 376 \pm35 $                         & $ 319 \pm31 $                         & $ 323 \pm29 $                         & $ 286 \pm28 $                         & $ 184 \pm25 $                         & $ 161 \pm22 $                         & $ 141 \pm20 $                         & $ 133 \pm18 $                         & $ 77 \pm13 $                          & $ 49 \pm10 $                          & $ 17 \pm6 $                           & $ 6 \pm5 $                            & $ 4.1 \pm2.3 $                        & $ 0.9 \pm1.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.7 \pm0.5 $                        & $ 1.8 \pm0.7 $                        & $ 2.2 \pm0.8 $                        & $ 3.0 \pm0.9 $                        & $ 3.5 \pm1.1 $                        & $ 5.3 \pm1.2 $                        & $ 2.0 \pm0.8 $                        & $ 1.5 \pm0.6 $                        & $ 0.43 \pm0.30 $                      & $ 0.42 \pm0.33 $                      & $ 0.7 \pm0.5 $                        & $ 1.0 \pm0.6 $                        & $ 1.0 \pm0.6 $                        & $ 0.8 \pm0.5 $                        & $ 0.5 \pm0.4 $                        & $ 0.6 \pm0.4 $                        & $ 0.5 \pm0.4 $                        & $ 0.32 \pm0.32 $                      & $ 0.27 \pm0.27 $                      & $ 0.47 \pm0.34 $                      & $ 0.7 \pm0.5 $                        & $ 0 \pm0 $                            & $ 0.29 \pm0.29 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 228 \pm26 $                         & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.06 ] \times10^{3} $     & $ [ 1.34 \pm0.07 ] \times10^{3} $     & $ [ 1.25 \pm0.06 ] \times10^{3} $     & $ [ 1.12 \pm0.06 ] \times10^{3} $     & $ [ 0.90 \pm0.06 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 0.71 \pm0.05 ] \times10^{3} $     & $ [ 0.69 \pm0.04 ] \times10^{3} $     & $ [ 0.65 \pm0.04 ] \times10^{3} $     & $ [ 0.54 \pm0.04 ] \times10^{3} $     & $ [ 0.54 \pm0.04 ] \times10^{3} $     & $ [ 0.39 \pm0.04 ] \times10^{3} $     & $ 355 \pm35 $                         & $ 339 \pm31 $                         & $ 328 \pm30 $                         & $ 202 \pm26 $                         & $ 179 \pm25 $                         & $ 142 \pm22 $                         & $ 135 \pm18 $                         & $ 81 \pm13 $                          & $ 51 \pm10 $                          & $ 18 \pm6 $                           & $ 6 \pm5 $                            & $ 4.1 \pm2.3 $                        & $ 0.9 \pm1.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 160                                   & 723                                   & 882                                   & 1124                                  & 1055                                  & 881                                   & 877                                   & 679                                   & 635                                   & 554                                   & 522                                   & 454                                   & 424                                   & 392                                   & 333                                   & 269                                   & 237                                   & 196                                   & 162                                   & 112                                   & 86                                    & 69                                    & 40                                    & 17                                    & 13                                    & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
