------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 19 \pm9 $                           & $ 35 \pm18 $                          & $ 112 \pm25 $                         & $ 133 \pm31 $                         & $ 134 \pm29 $                         & $ 122 \pm25 $                         & $ 119 \pm26 $                         & $ 53 \pm23 $                          & $ 45 \pm19 $                          & $ 53 \pm17 $                          & $ 54 \pm20 $                          & $ 72 \pm18 $                          & $ 69 \pm19 $                          & $ 9 \pm13 $                           & $ 36 \pm14 $                          & $ 15 \pm12 $                          & $ 42 \pm12 $                          & $ 18 \pm10 $                          & $ 17 \pm11 $                          & $ -0 \pm7 $                           & $ 1.0 \pm2.3 $                        & $ 3.6 \pm2.6 $                        & $ 1.2 \pm1.9 $                        & $ 1.7 \pm1.7 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 177 \pm21 $                         & $ [ 0.71 \pm0.04 ] \times10^{3} $     & $ [ 0.75 \pm0.04 ] \times10^{3} $     & $ [ 0.97 \pm0.05 ] \times10^{3} $     & $ [ 0.93 \pm0.05 ] \times10^{3} $     & $ [ 0.81 \pm0.04 ] \times10^{3} $     & $ [ 0.65 \pm0.04 ] \times10^{3} $     & $ [ 0.64 \pm0.04 ] \times10^{3} $     & $ [ 0.53 \pm0.04 ] \times10^{3} $     & $ 528 \pm34 $                         & $ 483 \pm34 $                         & $ 371 \pm32 $                         & $ 400 \pm29 $                         & $ 304 \pm29 $                         & $ 264 \pm26 $                         & $ 276 \pm24 $                         & $ 234 \pm23 $                         & $ 152 \pm21 $                         & $ 132 \pm19 $                         & $ 119 \pm17 $                         & $ 108 \pm15 $                         & $ 62 \pm11 $                          & $ 35 \pm8 $                           & $ 15 \pm5 $                           & $ 6 \pm4 $                            & $ 3.3 \pm1.9 $                        & $ 0.6 \pm1.2 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.7 \pm0.5 $                        & $ 1.8 \pm0.7 $                        & $ 2.2 \pm0.8 $                        & $ 3.0 \pm0.9 $                        & $ 3.5 \pm1.1 $                        & $ 5.3 \pm1.2 $                        & $ 2.0 \pm0.8 $                        & $ 1.5 \pm0.6 $                        & $ 0.43 \pm0.30 $                      & $ 0.42 \pm0.33 $                      & $ 0.7 \pm0.5 $                        & $ 1.0 \pm0.6 $                        & $ 1.0 \pm0.6 $                        & $ 0.8 \pm0.5 $                        & $ 0.5 \pm0.4 $                        & $ 0.6 \pm0.4 $                        & $ 0.5 \pm0.4 $                        & $ 0.32 \pm0.32 $                      & $ 0.27 \pm0.27 $                      & $ 0.47 \pm0.34 $                      & $ 0.7 \pm0.5 $                        & $ 0 \pm0 $                            & $ 0.29 \pm0.29 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 196 \pm23 $                         & $ [ 0.74 \pm0.05 ] \times10^{3} $     & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 1.11 \pm0.06 ] \times10^{3} $     & $ [ 1.07 \pm0.06 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.77 \pm0.05 ] \times10^{3} $     & $ [ 0.70 \pm0.05 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ [ 0.54 \pm0.04 ] \times10^{3} $     & $ [ 0.44 \pm0.04 ] \times10^{3} $     & $ 470 \pm35 $                         & $ 314 \pm32 $                         & $ 301 \pm30 $                         & $ 291 \pm27 $                         & $ 277 \pm26 $                         & $ 171 \pm23 $                         & $ 150 \pm22 $                         & $ 119 \pm18 $                         & $ 110 \pm15 $                         & $ 66 \pm11 $                          & $ 36 \pm8 $                           & $ 16 \pm6 $                           & $ 6 \pm4 $                            & $ 3.3 \pm1.9 $                        & $ 0.6 \pm1.2 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 160                                   & 723                                   & 882                                   & 1124                                  & 1055                                  & 881                                   & 877                                   & 679                                   & 635                                   & 554                                   & 522                                   & 454                                   & 424                                   & 392                                   & 333                                   & 269                                   & 237                                   & 196                                   & 162                                   & 112                                   & 86                                    & 69                                    & 40                                    & 17                                    & 13                                    & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
