------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 10 \pm9 $                           & $ 85 \pm32 $                          & $ 87 \pm25 $                          & $ 115 \pm28 $                         & $ 121 \pm28 $                         & $ 91 \pm27 $                          & $ 112 \pm24 $                         & $ 74 \pm23 $                          & $ 93 \pm21 $                          & $ 61 \pm20 $                          & $ 80 \pm19 $                          & $ 37 \pm16 $                          & $ 30 \pm15 $                          & $ 37 \pm16 $                          & $ 27 \pm14 $                          & $ 27 \pm13 $                          & $ 12 \pm12 $                          & $ 18 \pm11 $                          & $ 32 \pm9 $                           & $ 8 \pm6 $                            & $ -1 \pm6 $                           & $ 3 \pm4 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.5 \pm2.5 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 174 \pm21 $                         & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.88 \pm0.05 ] \times10^{3} $     & $ [ 1.03 \pm0.05 ] \times10^{3} $     & $ [ 1.01 \pm0.05 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 0.82 \pm0.04 ] \times10^{3} $     & $ [ 0.60 \pm0.04 ] \times10^{3} $     & $ [ 0.55 \pm0.04 ] \times10^{3} $     & $ [ 0.49 \pm0.04 ] \times10^{3} $     & $ 489 \pm35 $                         & $ 432 \pm32 $                         & $ 409 \pm32 $                         & $ 350 \pm30 $                         & $ 320 \pm28 $                         & $ 250 \pm26 $                         & $ 214 \pm23 $                         & $ 172 \pm22 $                         & $ 169 \pm20 $                         & $ 140 \pm18 $                         & $ 98 \pm16 $                          & $ 72 \pm13 $                          & $ 29 \pm9 $                           & $ 21 \pm7 $                           & $ 5 \pm4 $                            & $ -0.9 \pm1.5 $                       & $ 0.4 \pm1.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.8 \pm0.4 $                        & $ 2.2 \pm0.8 $                        & $ 2.9 \pm1.0 $                        & $ 3.1 \pm1.0 $                        & $ 1.5 \pm0.6 $                        & $ 3.5 \pm1.0 $                        & $ 1.8 \pm0.8 $                        & $ 2.3 \pm0.8 $                        & $ 1.2 \pm0.6 $                        & $ 2.7 \pm0.9 $                        & $ 0.6 \pm0.4 $                        & $ 2.2 \pm0.9 $                        & $ 0.6 \pm0.4 $                        & $ 0.28 \pm0.26 $                      & $ 0.6 \pm0.4 $                        & $ 0.19 \pm0.19 $                      & $ 0.23 \pm0.23 $                      & $ 0.5 \pm0.4 $                        & $ 0.26 \pm0.26 $                      & $ 0.24 \pm0.24 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 185 \pm23 $                         & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 0.97 \pm0.05 ] \times10^{3} $     & $ [ 1.14 \pm0.06 ] \times10^{3} $     & $ [ 1.14 \pm0.06 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.67 \pm0.05 ] \times10^{3} $     & $ [ 0.64 \pm0.04 ] \times10^{3} $     & $ [ 0.56 \pm0.04 ] \times10^{3} $     & $ [ 0.57 \pm0.04 ] \times10^{3} $     & $ 471 \pm35 $                         & $ 439 \pm35 $                         & $ 387 \pm34 $                         & $ 348 \pm32 $                         & $ 277 \pm29 $                         & $ 226 \pm26 $                         & $ 190 \pm24 $                         & $ 201 \pm22 $                         & $ 148 \pm19 $                         & $ 97 \pm17 $                          & $ 75 \pm13 $                          & $ 29 \pm9 $                           & $ 21 \pm7 $                           & $ 8 \pm5 $                            & $ -0.9 \pm1.5 $                       & $ 0.4 \pm1.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 162                                   & 727                                   & 890                                   & 1131                                  & 1061                                  & 896                                   & 881                                   & 684                                   & 642                                   & 558                                   & 525                                   & 459                                   & 428                                   & 396                                   & 335                                   & 271                                   & 241                                   & 199                                   & 165                                   & 115                                   & 88                                    & 69                                    & 40                                    & 18                                    & 14                                    & 1                                     & 0                                     & 0                                     & 0                                     & 0                                    
