------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 17 \pm7 $                           & $ 66 \pm17 $                          & $ 46 \pm20 $                          & $ 67 \pm23 $                          & $ 78 \pm21 $                          & $ 77 \pm22 $                          & $ 114 \pm23 $                         & $ 97 \pm21 $                          & $ 73 \pm18 $                          & $ 41 \pm17 $                          & $ 45 \pm16 $                          & $ 41 \pm16 $                          & $ 37 \pm14 $                          & $ 12 \pm14 $                          & $ 44 \pm13 $                          & $ 36 \pm11 $                          & $ 16 \pm12 $                          & $ 44 \pm11 $                          & $ 19 \pm10 $                          & $ 9 \pm8 $                            & $ 0 \pm8 $                            & $ -5 \pm4 $                           & $ 4.5 \pm2.7 $                        & $ -1.8 \pm1.8 $                       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 98 \pm15 $                          & $ 432 \pm33 $                         & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 0.80 \pm0.04 ] \times10^{3} $     & $ [ 0.86 \pm0.04 ] \times10^{3} $     & $ [ 0.83 \pm0.04 ] \times10^{3} $     & $ [ 0.76 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 0.60 \pm0.04 ] \times10^{3} $     & $ 558 \pm34 $                         & $ 423 \pm31 $                         & $ 367 \pm27 $                         & $ 327 \pm23 $                         & $ 237 \pm20 $                         & $ 229 \pm19 $                         & $ 227 \pm19 $                         & $ 215 \pm18 $                         & $ 177 \pm17 $                         & $ 162 \pm16 $                         & $ 120 \pm14 $                         & $ 94 \pm12 $                          & $ 61 \pm9 $                           & $ 21 \pm6 $                           & $ 2.4 \pm2.2 $                        & $ 0.025 \pm0.025 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.56 \pm0.34 $                      & $ 1.6 \pm0.6 $                        & $ 1.7 \pm0.7 $                        & $ 2.1 \pm0.7 $                        & $ 1.7 \pm0.6 $                        & $ 1.5 \pm0.6 $                        & $ 1.2 \pm0.6 $                        & $ 1.8 \pm0.7 $                        & $ 1.1 \pm0.5 $                        & $ 0.7 \pm0.4 $                        & $ 0.44 \pm0.26 $                      & $ 0.6 \pm0.4 $                        & $ 0.8 \pm0.5 $                        & $ 0 \pm0 $                            & $ 0.8 \pm0.4 $                        & $ 0.25 \pm0.25 $                      & $ 0.6 \pm0.4 $                        & $ 0.033 \pm0.033 $                    & $ 0 \pm0 $                            & $ 0.44 \pm0.31 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 116 \pm17 $                         & $ [ 0.50 \pm0.04 ] \times10^{3} $     & $ [ 0.72 \pm0.04 ] \times10^{3} $     & $ [ 0.87 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 0.88 \pm0.05 ] \times10^{3} $     & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.60 \pm0.04 ] \times10^{3} $     & $ 469 \pm35 $                         & $ 408 \pm31 $                         & $ 365 \pm27 $                         & $ 249 \pm25 $                         & $ 274 \pm23 $                         & $ 263 \pm22 $                         & $ 231 \pm21 $                         & $ 221 \pm20 $                         & $ 181 \pm19 $                         & $ 130 \pm17 $                         & $ 95 \pm15 $                          & $ 56 \pm10 $                          & $ 25 \pm6 $                           & $ 0.6 \pm2.8 $                        & $ 0.025 \pm0.025 $                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
