------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ 16 \pm7 $                           & $ 59 \pm17 $                          & $ 46 \pm20 $                          & $ 62 \pm23 $                          & $ 82 \pm21 $                          & $ 81 \pm23 $                          & $ 109 \pm25 $                         & $ 82 \pm22 $                          & $ 77 \pm19 $                          & $ 41 \pm18 $                          & $ 45 \pm17 $                          & $ 25 \pm16 $                          & $ 40 \pm14 $                          & $ 20 \pm16 $                          & $ 44 \pm14 $                          & $ 38 \pm13 $                          & $ 14 \pm13 $                          & $ 47 \pm11 $                          & $ 18 \pm11 $                          & $ 12 \pm9 $                           & $ -3 \pm8 $                           & $ -3 \pm5 $                           & $ 6 \pm4 $                            & $ -2.3 \pm2.3 $                       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ 102 \pm16 $                         & $ 452 \pm35 $                         & $ [ 0.69 \pm0.04 ] \times10^{3} $     & $ [ 0.83 \pm0.04 ] \times10^{3} $     & $ [ 0.88 \pm0.05 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 0.79 \pm0.05 ] \times10^{3} $     & $ [ 0.69 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ [ 0.58 \pm0.04 ] \times10^{3} $     & $ 437 \pm32 $                         & $ 380 \pm29 $                         & $ 341 \pm25 $                         & $ 249 \pm21 $                         & $ 245 \pm21 $                         & $ 223 \pm20 $                         & $ 231 \pm19 $                         & $ 176 \pm18 $                         & $ 167 \pm17 $                         & $ 122 \pm16 $                         & $ 105 \pm13 $                         & $ 65 \pm9 $                           & $ 24 \pm6 $                           & $ 2.0 \pm2.3 $                        & $ 0.04 \pm0.04 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.8 \pm0.4 $                        & $ 1.8 \pm0.7 $                        & $ 1.6 \pm0.7 $                        & $ 2.6 \pm0.8 $                        & $ 1.9 \pm0.7 $                        & $ 1.4 \pm0.6 $                        & $ 1.5 \pm0.7 $                        & $ 1.6 \pm0.7 $                        & $ 1.1 \pm0.5 $                        & $ 1.0 \pm0.5 $                        & $ 0.6 \pm0.4 $                        & $ 0.46 \pm0.34 $                      & $ 0.8 \pm0.5 $                        & $ 0 \pm0 $                            & $ 1.0 \pm0.5 $                        & $ 0.22 \pm0.22 $                      & $ 0.8 \pm0.4 $                        & $ [ 2.0 \pm2.0 ] \times10^{-3} $      & $ 0 \pm0 $                            & $ 0.6 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ 119 \pm18 $                         & $ [ 0.51 \pm0.04 ] \times10^{3} $     & $ [ 0.74 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.96 \pm0.05 ] \times10^{3} $     & $ [ 0.93 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.77 \pm0.05 ] \times10^{3} $     & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ [ 0.48 \pm0.04 ] \times10^{3} $     & $ 405 \pm33 $                         & $ 382 \pm28 $                         & $ 270 \pm27 $                         & $ 290 \pm25 $                         & $ 261 \pm24 $                         & $ 246 \pm23 $                         & $ 222 \pm21 $                         & $ 185 \pm20 $                         & $ 135 \pm18 $                         & $ 103 \pm16 $                         & $ 62 \pm10 $                          & $ 30 \pm7 $                           & $ -0.3 \pm3.3 $                       & $ 0.04 \pm0.04 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Data                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
