------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                       
#gamma+jets          & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                       
Top                  & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 1.3 \pm0.6 ] \times10^{3} $       & $ [ 1.6 \pm0.6 ] \times10^{3} $       & $ [ 1.6 \pm0.6 ] \times10^{3} $       & $ [ 0.5 \pm0.4 ] \times10^{3} $       & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 1.1 \pm0.5 ] \times10^{3} $       & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.5 \pm0.4 ] \times10^{3} $       & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.5 \pm0.4 ] \times10^{3} $       & $ [ 2.30 \pm0.23 ] \times10^{-3} $    & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.26 \pm0.26 ] \times10^{3} $     & $ [ 0.96 \pm0.13 ] \times10^{-3} $    & $ [ 0.56 \pm0.09 ] \times10^{-3} $    & $ [ 0.34 \pm0.07 ] \times10^{-3} $    & $ [ 0.12 \pm0.05 ] \times10^{-3} $    & $ [ 0.043 \pm0.033 ] \times10^{-3} $  & $ [ 0.028 \pm0.016 ] \times10^{-3} $  & $ [ 0.007 \pm0.011 ] \times10^{-3} $  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Multiboson           & $ 0.7 \pm0.5 $                        & $ 1.8 \pm0.7 $                        & $ 2.2 \pm0.8 $                        & $ 3.0 \pm0.9 $                        & $ 3.5 \pm1.1 $                        & $ 5.3 \pm1.2 $                        & $ 2.0 \pm0.8 $                        & $ 1.5 \pm0.6 $                        & $ 0.43 \pm0.30 $                      & $ 0.42 \pm0.33 $                      & $ 0.7 \pm0.5 $                        & $ 1.0 \pm0.6 $                        & $ 1.0 \pm0.6 $                        & $ 0.8 \pm0.5 $                        & $ 0.5 \pm0.4 $                        & $ 0.6 \pm0.4 $                        & $ 0.5 \pm0.4 $                        & $ 0.32 \pm0.32 $                      & $ 0.27 \pm0.27 $                      & $ 0.47 \pm0.34 $                      & $ 0.7 \pm0.5 $                        & $ 0 \pm0 $                            & $ 0.29 \pm0.29 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
W                    & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                       
QCD                  & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                       
------------------------------------------
Total                & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                        & $ NaN \pmNaN $                       
------------------------------------------
Data                 & 160                                   & 723                                   & 882                                   & 1124                                  & 1055                                  & 881                                   & 877                                   & 679                                   & 635                                   & 554                                   & 522                                   & 454                                   & 424                                   & 392                                   & 333                                   & 269                                   & 237                                   & 196                                   & 162                                   & 112                                   & 86                                    & 69                                    & 40                                    & 17                                    & 13                                    & 0                                     & 0                                     & 0                                     & 0                                     & 0                                    
