------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 10.33 \pm0.27 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 99 \pm32 $                          & $ [ 0.31 \pm0.05 ] \times10^{3} $     & $ [ 0.30 \pm0.05 ] \times10^{3} $     & $ 285 \pm35 $                         & $ 144 \pm35 $                         & $ 185 \pm32 $                         & $ [ 0.18 \pm0.04 ] \times10^{3} $     & $ [ 0.17 \pm0.04 ] \times10^{3} $     & $ [ 0.15 \pm0.04 ] \times10^{3} $     & $ [ 0.13 \pm0.04 ] \times10^{3} $     & $ [ 0.12 \pm0.04 ] \times10^{3} $     & $ 182 \pm34 $                         & $ 117 \pm24 $                         & $ 118 \pm24 $                         & $ 90 \pm24 $                          & $ 61 \pm21 $                          & $ [ 0.12 \pm0.04 ] \times10^{3} $     & $ 75 \pm29 $                          & $ 77 \pm20 $                          & $ 65 \pm18 $                          & $ [ 0.11 \pm0.04 ] \times10^{3} $     & $ 59 \pm25 $                          & $ 83 \pm19 $                          & $ 76 \pm20 $                          & $ 57 \pm23 $                          & $ 42 \pm17 $                          & $ 52 \pm23 $                          & $ 82 \pm28 $                          & $ 66 \pm22 $                          & $ 78 \pm18 $                          & $ 57 \pm16 $                          & $ [ 2.18 \pm0.14 ] \times10^{3} $    
#gamma+jets          & $ [ 0.09 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 5 \pm5 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.04 ] \times10^{3} $    
Top                  & $ [ 25.56 \pm0.20 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 350 \pm26 $                         & $ [ 1.27 \pm0.05 ] \times10^{3} $     & $ [ 1.10 \pm0.05 ] \times10^{3} $     & $ [ 1.11 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 0.89 \pm0.05 ] \times10^{3} $     & $ [ 0.82 \pm0.05 ] \times10^{3} $     & $ [ 0.76 \pm0.04 ] \times10^{3} $     & $ [ 0.86 \pm0.04 ] \times10^{3} $     & $ [ 0.80 \pm0.04 ] \times10^{3} $     & $ [ 0.75 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ [ 0.66 \pm0.04 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ 517 \pm35 $                         & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 0.57 \pm0.04 ] \times10^{3} $     & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ [ 0.57 \pm0.04 ] \times10^{3} $     & $ [ 0.55 \pm0.04 ] \times10^{3} $     & $ [ 0.57 \pm0.04 ] \times10^{3} $     & $ [ 0.56 \pm0.04 ] \times10^{3} $     & $ [ 0.55 \pm0.04 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 0.54 \pm0.04 ] \times10^{3} $     & $ [ 0.56 \pm0.04 ] \times10^{3} $     & $ [ 0.49 \pm0.04 ] \times10^{3} $     & $ [ 32.83 \pm0.30 ] \times10^{3} $   
Multiboson           & $ 102 \pm6 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 1.0 \pm0.6 $                        & $ 5.5 \pm1.3 $                        & $ 5.3 \pm1.3 $                        & $ 2.9 \pm1.0 $                        & $ 1.3 \pm0.6 $                        & $ 2.4 \pm0.9 $                        & $ 1.1 \pm0.6 $                        & $ 3.5 \pm1.1 $                        & $ 1.4 \pm0.6 $                        & $ 1.6 \pm0.7 $                        & $ 0.36 \pm0.35 $                      & $ 1.7 \pm0.7 $                        & $ 1.6 \pm0.8 $                        & $ 1.7 \pm0.8 $                        & $ 1.8 \pm0.7 $                        & $ 0.28 \pm0.28 $                      & $ 1.1 \pm0.6 $                        & $ 1.9 \pm0.8 $                        & $ 0.7 \pm0.5 $                        & $ 0.29 \pm0.20 $                      & $ 2.4 \pm0.8 $                        & $ 0.9 \pm0.5 $                        & $ 2.4 \pm0.9 $                        & $ 0 \pm0 $                            & $ 1.1 \pm0.6 $                        & $ 1.0 \pm0.6 $                        & $ 0.9 \pm0.5 $                        & $ 0.35 \pm0.35 $                      & $ 0.32 \pm0.24 $                      & $ 0.8 \pm0.5 $                        & $ 1.4 \pm0.7 $                        & $ 35.9 \pm3.4 $                      
W                    & $ [ 0.30 \pm0.14 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.8 \pm0.8 $                       
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 36.4 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.45 \pm0.04 ] \times10^{3} $     & $ [ 1.59 \pm0.07 ] \times10^{3} $     & $ [ 1.41 \pm0.07 ] \times10^{3} $     & $ [ 1.44 \pm0.07 ] \times10^{3} $     & $ [ 1.20 \pm0.06 ] \times10^{3} $     & $ [ 1.24 \pm0.06 ] \times10^{3} $     & $ [ 1.07 \pm0.06 ] \times10^{3} $     & $ [ 0.99 \pm0.06 ] \times10^{3} $     & $ [ 0.92 \pm0.06 ] \times10^{3} $     & $ [ 0.99 \pm0.06 ] \times10^{3} $     & $ [ 0.92 \pm0.06 ] \times10^{3} $     & $ [ 0.93 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.82 \pm0.05 ] \times10^{3} $     & $ [ 0.76 \pm0.05 ] \times10^{3} $     & $ [ 0.68 \pm0.04 ] \times10^{3} $     & $ [ 0.83 \pm0.07 ] \times10^{3} $     & $ [ 0.70 \pm0.05 ] \times10^{3} $     & $ [ 0.59 \pm0.04 ] \times10^{3} $     & $ [ 0.65 \pm0.04 ] \times10^{3} $     & $ [ 0.68 \pm0.05 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 0.70 \pm0.06 ] \times10^{3} $     & $ [ 0.62 \pm0.04 ] \times10^{3} $     & $ [ 0.63 \pm0.04 ] \times10^{3} $     & $ [ 0.60 \pm0.04 ] \times10^{3} $     & $ [ 0.60 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.05 ] \times10^{3} $     & $ [ 0.61 \pm0.04 ] \times10^{3} $     & $ [ 0.64 \pm0.04 ] \times10^{3} $     & $ [ 0.55 \pm0.04 ] \times10^{3} $     & $ [ 35.11 \pm0.34 ] \times10^{3} $   
------------------------------------------
Data                 & 36552                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 439                                   & 1644                                  & 1396                                  & 1358                                  & 1288                                  & 1196                                  & 1090                                  & 1091                                  & 966                                   & 878                                   & 866                                   & 857                                   & 774                                   & 753                                   & 661                                   & 633                                   & 654                                   & 577                                   & 575                                   & 596                                   & 567                                   & 623                                   & 570                                   & 615                                   & 573                                   & 541                                   & 603                                   & 565                                   & 563                                   & 569                                   & 547                                   & 29280                                
