------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 143.6 \pm0.8 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.04 \pm0.08 ] \times10^{3} $     & $ [ 3.75 \pm0.15 ] \times10^{3} $     & $ [ 3.41 \pm0.14 ] \times10^{3} $     & $ [ 3.15 \pm0.13 ] \times10^{3} $     & $ [ 2.56 \pm0.12 ] \times10^{3} $     & $ [ 2.50 \pm0.12 ] \times10^{3} $     & $ [ 2.11 \pm0.12 ] \times10^{3} $     & $ [ 1.97 \pm0.11 ] \times10^{3} $     & $ [ 1.79 \pm0.11 ] \times10^{3} $     & $ [ 1.80 \pm0.10 ] \times10^{3} $     & $ [ 1.75 \pm0.10 ] \times10^{3} $     & $ [ 1.66 \pm0.10 ] \times10^{3} $     & $ [ 1.54 \pm0.09 ] \times10^{3} $     & $ [ 1.34 \pm0.09 ] \times10^{3} $     & $ [ 1.32 \pm0.09 ] \times10^{3} $     & $ [ 1.12 \pm0.08 ] \times10^{3} $     & $ [ 1.27 \pm0.09 ] \times10^{3} $     & $ [ 1.08 \pm0.08 ] \times10^{3} $     & $ [ 0.92 \pm0.07 ] \times10^{3} $     & $ [ 0.82 \pm0.07 ] \times10^{3} $     & $ [ 1.03 \pm0.08 ] \times10^{3} $     & $ [ 0.80 \pm0.07 ] \times10^{3} $     & $ [ 0.84 \pm0.07 ] \times10^{3} $     & $ [ 0.89 \pm0.07 ] \times10^{3} $     & $ [ 0.93 \pm0.07 ] \times10^{3} $     & $ [ 0.83 \pm0.07 ] \times10^{3} $     & $ [ 0.84 \pm0.07 ] \times10^{3} $     & $ [ 0.92 \pm0.08 ] \times10^{3} $     & $ [ 0.82 \pm0.07 ] \times10^{3} $     & $ [ 0.72 \pm0.07 ] \times10^{3} $     & $ [ 0.67 \pm0.06 ] \times10^{3} $     & $ [ 28.6 \pm0.4 ] \times10^{3} $     
#gamma+jets          & $ [ 0.13 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 5 \pm5 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.04 ] \times10^{3} $    
Top                  & $ [ 35.83 \pm0.24 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 466 \pm31 $                         & $ [ 1.78 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.55 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 1.28 \pm0.05 ] \times10^{3} $     & $ [ 1.18 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 1.21 \pm0.05 ] \times10^{3} $     & $ [ 1.12 \pm0.05 ] \times10^{3} $     & $ [ 1.04 \pm0.05 ] \times10^{3} $     & $ [ 1.13 \pm0.05 ] \times10^{3} $     & $ [ 0.96 \pm0.05 ] \times10^{3} $     & $ [ 0.93 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.99 \pm0.05 ] \times10^{3} $     & $ [ 0.91 \pm0.04 ] \times10^{3} $     & $ [ 0.74 \pm0.04 ] \times10^{3} $     & $ [ 0.82 \pm0.04 ] \times10^{3} $     & $ [ 0.81 \pm0.04 ] \times10^{3} $     & $ [ 0.87 \pm0.04 ] \times10^{3} $     & $ [ 0.80 \pm0.04 ] \times10^{3} $     & $ [ 0.81 \pm0.04 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.80 \pm0.04 ] \times10^{3} $     & $ [ 0.85 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.76 \pm0.04 ] \times10^{3} $     & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 47.5 \pm0.4 ] \times10^{3} $     
Multiboson           & $ 744 \pm14 $                         & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 7.2 \pm1.4 $                        & $ 37.4 \pm3.3 $                       & $ 26.9 \pm2.8 $                       & $ 28.4 \pm2.9 $                       & $ 26.2 \pm2.7 $                       & $ 22.2 \pm2.5 $                       & $ 12.9 \pm1.9 $                       & $ 24.5 \pm2.7 $                       & $ 21.4 \pm2.5 $                       & $ 16.9 \pm2.2 $                       & $ 18.0 \pm2.2 $                       & $ 16.6 \pm2.2 $                       & $ 13.5 \pm2.0 $                       & $ 17.0 \pm2.2 $                       & $ 13.0 \pm1.9 $                       & $ 11.9 \pm1.8 $                       & $ 10.5 \pm1.7 $                       & $ 10.1 \pm1.8 $                       & $ 12.6 \pm1.9 $                       & $ 7.0 \pm1.4 $                        & $ 12.8 \pm1.9 $                       & $ 8.1 \pm1.5 $                        & $ 9.8 \pm1.7 $                        & $ 6.7 \pm1.4 $                        & $ 8.8 \pm1.6 $                        & $ 10.0 \pm1.7 $                       & $ 8.1 \pm1.5 $                        & $ 8.3 \pm1.6 $                        & $ 7.5 \pm1.5 $                        & $ 9.4 \pm1.6 $                        & $ 8.9 \pm1.6 $                        & $ 324 \pm10 $                        
W                    & $ [ 0.30 \pm0.14 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 180.6 \pm0.9 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.51 \pm0.08 ] \times10^{3} $     & $ [ 5.57 \pm0.16 ] \times10^{3} $     & $ [ 5.00 \pm0.15 ] \times10^{3} $     & $ [ 4.77 \pm0.15 ] \times10^{3} $     & $ [ 4.11 \pm0.14 ] \times10^{3} $     & $ [ 3.99 \pm0.13 ] \times10^{3} $     & $ [ 3.40 \pm0.13 ] \times10^{3} $     & $ [ 3.17 \pm0.12 ] \times10^{3} $     & $ [ 2.87 \pm0.12 ] \times10^{3} $     & $ [ 3.03 \pm0.12 ] \times10^{3} $     & $ [ 2.89 \pm0.12 ] \times10^{3} $     & $ [ 2.71 \pm0.11 ] \times10^{3} $     & $ [ 2.68 \pm0.11 ] \times10^{3} $     & $ [ 2.32 \pm0.10 ] \times10^{3} $     & $ [ 2.27 \pm0.10 ] \times10^{3} $     & $ [ 2.04 \pm0.09 ] \times10^{3} $     & $ [ 2.32 \pm0.11 ] \times10^{3} $     & $ [ 2.00 \pm0.09 ] \times10^{3} $     & $ [ 1.67 \pm0.08 ] \times10^{3} $     & $ [ 1.65 \pm0.08 ] \times10^{3} $     & $ [ 1.85 \pm0.09 ] \times10^{3} $     & $ [ 1.68 \pm0.09 ] \times10^{3} $     & $ [ 1.70 \pm0.09 ] \times10^{3} $     & $ [ 1.70 \pm0.08 ] \times10^{3} $     & $ [ 1.73 \pm0.08 ] \times10^{3} $     & $ [ 1.63 \pm0.08 ] \times10^{3} $     & $ [ 1.65 \pm0.08 ] \times10^{3} $     & $ [ 1.78 \pm0.09 ] \times10^{3} $     & $ [ 1.61 \pm0.08 ] \times10^{3} $     & $ [ 1.50 \pm0.08 ] \times10^{3} $     & $ [ 1.38 \pm0.08 ] \times10^{3} $     & $ [ 76.5 \pm0.6 ] \times10^{3} $     
------------------------------------------
Data                 & 163641                                & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 1495                                  & 5584                                  & 5014                                  & 4590                                  & 4303                                  & 3790                                  & 3597                                  & 3299                                  & 2998                                  & 2704                                  & 2652                                  & 2521                                  & 2354                                  & 2152                                  & 2059                                  & 1923                                  & 1852                                  & 1723                                  & 1679                                  & 1633                                  & 1575                                  & 1679                                  & 1604                                  & 1681                                  & 1621                                  & 1560                                  & 1614                                  & 1536                                  & 1595                                  & 1543                                  & 1444                                  & 72958                                
