------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 152.6 \pm0.6 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.65 \pm0.05 ] \times10^{3} $     & $ [ 2.50 \pm0.10 ] \times10^{3} $     & $ [ 2.43 \pm0.09 ] \times10^{3} $     & $ [ 1.97 \pm0.09 ] \times10^{3} $     & $ [ 1.84 \pm0.09 ] \times10^{3} $     & $ [ 1.61 \pm0.08 ] \times10^{3} $     & $ [ 1.38 \pm0.08 ] \times10^{3} $     & $ [ 1.30 \pm0.08 ] \times10^{3} $     & $ [ 1.31 \pm0.08 ] \times10^{3} $     & $ [ 1.08 \pm0.07 ] \times10^{3} $     & $ [ 1.10 \pm0.07 ] \times10^{3} $     & $ [ 1.00 \pm0.06 ] \times10^{3} $     & $ [ 0.97 \pm0.06 ] \times10^{3} $     & $ [ 0.83 \pm0.06 ] \times10^{3} $     & $ [ 0.74 \pm0.06 ] \times10^{3} $     & $ [ 0.69 \pm0.06 ] \times10^{3} $     & $ [ 0.62 \pm0.05 ] \times10^{3} $     & $ [ 0.52 \pm0.06 ] \times10^{3} $     & $ [ 0.55 \pm0.05 ] \times10^{3} $     & $ [ 0.45 \pm0.05 ] \times10^{3} $     & $ [ 0.55 \pm0.05 ] \times10^{3} $     & $ [ 0.51 \pm0.05 ] \times10^{3} $     & $ [ 0.44 \pm0.05 ] \times10^{3} $     & $ [ 0.48 \pm0.05 ] \times10^{3} $     & $ [ 0.42 \pm0.04 ] \times10^{3} $     & $ [ 0.45 \pm0.04 ] \times10^{3} $     & $ [ 0.43 \pm0.04 ] \times10^{3} $     & $ [ 0.44 \pm0.05 ] \times10^{3} $     & $ [ 0.38 \pm0.04 ] \times10^{3} $     & $ [ 0.41 \pm0.04 ] \times10^{3} $     & $ [ 0.40 \pm0.05 ] \times10^{3} $     & $ [ 12.06 \pm0.25 ] \times10^{3} $   
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm6 $                           
Top                  & $ 472 \pm27 $                         & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 3 \pm4 $                            & $ 27 \pm7 $                           & $ 36 \pm8 $                           & $ 20 \pm7 $                           & $ 16 \pm7 $                           & $ 24 \pm7 $                           & $ 22 \pm7 $                           & $ 12 \pm7 $                           & $ 19 \pm7 $                           & $ 16 \pm7 $                           & $ 16 \pm6 $                           & $ 3 \pm5 $                            & $ 11 \pm6 $                           & $ 19 \pm6 $                           & $ 18 \pm5 $                           & $ 22 \pm5 $                           & $ 19 \pm5 $                           & $ 10 \pm5 $                           & $ 8 \pm4 $                            & $ 9 \pm5 $                            & $ 13 \pm5 $                           & $ 18 \pm6 $                           & $ 14 \pm5 $                           & $ 17 \pm6 $                           & $ 11 \pm5 $                           & $ 7 \pm5 $                            & $ 21 \pm6 $                           & $ 22 \pm5 $                           & $ 8 \pm5 $                            & $ 7 \pm5 $                            & $ 16 \pm5 $                           & $ [ 0.82 \pm0.05 ] \times10^{3} $    
Multiboson           & $ 178 \pm8 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.0 \pm0.9 $                        & $ 4.5 \pm1.3 $                        & $ 6.1 \pm1.4 $                        & $ 6.2 \pm1.5 $                        & $ 6.3 \pm1.6 $                        & $ 2.5 \pm0.8 $                        & $ 3.4 \pm1.1 $                        & $ 3.9 \pm1.1 $                        & $ 4.0 \pm1.1 $                        & $ 2.5 \pm0.9 $                        & $ 4.2 \pm1.3 $                        & $ 2.7 \pm1.1 $                        & $ 2.4 \pm1.0 $                        & $ 3.8 \pm1.1 $                        & $ 2.5 \pm0.8 $                        & $ 3.8 \pm1.1 $                        & $ 3.4 \pm1.2 $                        & $ 0.8 \pm0.5 $                        & $ 1.9 \pm0.8 $                        & $ 4.8 \pm1.3 $                        & $ 2.0 \pm0.8 $                        & $ 2.6 \pm1.0 $                        & $ 1.6 \pm0.8 $                        & $ 2.2 \pm0.9 $                        & $ 2.3 \pm0.9 $                        & $ 2.1 \pm0.8 $                        & $ 1.5 \pm0.6 $                        & $ 1.8 \pm0.7 $                        & $ 0.44 \pm0.31 $                      & $ 2.9 \pm0.9 $                        & $ 1.2 \pm0.6 $                        & $ 92 \pm6 $                          
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 153.2 \pm0.6 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.65 \pm0.05 ] \times10^{3} $     & $ [ 2.53 \pm0.10 ] \times10^{3} $     & $ [ 2.53 \pm0.11 ] \times10^{3} $     & $ [ 2.00 \pm0.09 ] \times10^{3} $     & $ [ 1.86 \pm0.09 ] \times10^{3} $     & $ [ 1.70 \pm0.10 ] \times10^{3} $     & $ [ 1.41 \pm0.08 ] \times10^{3} $     & $ [ 1.31 \pm0.08 ] \times10^{3} $     & $ [ 1.34 \pm0.08 ] \times10^{3} $     & $ [ 1.10 \pm0.07 ] \times10^{3} $     & $ [ 1.12 \pm0.07 ] \times10^{3} $     & $ [ 1.01 \pm0.06 ] \times10^{3} $     & $ [ 0.99 \pm0.06 ] \times10^{3} $     & $ [ 0.85 \pm0.06 ] \times10^{3} $     & $ [ 0.76 \pm0.06 ] \times10^{3} $     & $ [ 0.72 \pm0.06 ] \times10^{3} $     & $ [ 0.64 \pm0.05 ] \times10^{3} $     & $ [ 0.53 \pm0.06 ] \times10^{3} $     & $ [ 0.56 \pm0.05 ] \times10^{3} $     & $ [ 0.46 \pm0.05 ] \times10^{3} $     & $ [ 0.57 \pm0.05 ] \times10^{3} $     & $ [ 0.53 \pm0.05 ] \times10^{3} $     & $ [ 0.46 \pm0.05 ] \times10^{3} $     & $ [ 0.50 \pm0.05 ] \times10^{3} $     & $ [ 0.43 \pm0.04 ] \times10^{3} $     & $ [ 0.46 \pm0.04 ] \times10^{3} $     & $ [ 0.45 \pm0.05 ] \times10^{3} $     & $ [ 0.46 \pm0.05 ] \times10^{3} $     & $ [ 0.39 \pm0.04 ] \times10^{3} $     & $ [ 0.42 \pm0.04 ] \times10^{3} $     & $ [ 0.42 \pm0.05 ] \times10^{3} $     & $ [ 12.97 \pm0.26 ] \times10^{3} $   
------------------------------------------
Data                 & 132823                                & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 669                                   & 2339                                  & 2013                                  & 1821                                  & 1575                                  & 1412                                  & 1224                                  & 1097                                  & 1063                                  & 893                                   & 865                                   & 767                                   & 749                                   & 624                                   & 593                                   & 563                                   & 570                                   & 492                                   & 466                                   & 421                                   & 434                                   & 439                                   & 405                                   & 425                                   & 400                                   & 402                                   & 380                                   & 391                                   & 329                                   & 357                                   & 333                                   & 11321                                
------------------------------------------
