------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 13627 \pm6 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 63.1 \pm0.5 ] \times10^{3} $      & $ [ 228.5 \pm0.9 ] \times10^{3} $     & $ [ 200.5 \pm0.9 ] \times10^{3} $     & $ [ 179.0 \pm0.9 ] \times10^{3} $     & $ [ 157.8 \pm0.8 ] \times10^{3} $     & $ [ 141.3 \pm0.8 ] \times10^{3} $     & $ [ 127.6 \pm0.8 ] \times10^{3} $     & $ [ 116.5 \pm0.7 ] \times10^{3} $     & $ [ 107.0 \pm0.7 ] \times10^{3} $     & $ [ 96.9 \pm0.7 ] \times10^{3} $      & $ [ 89.3 \pm0.7 ] \times10^{3} $      & $ [ 82.8 \pm0.6 ] \times10^{3} $      & $ [ 76.3 \pm0.6 ] \times10^{3} $      & $ [ 68.4 \pm0.6 ] \times10^{3} $      & $ [ 63.6 \pm0.6 ] \times10^{3} $      & $ [ 59.4 \pm0.5 ] \times10^{3} $      & $ [ 53.9 \pm0.5 ] \times10^{3} $      & $ [ 49.7 \pm0.5 ] \times10^{3} $      & $ [ 46.2 \pm0.5 ] \times10^{3} $      & $ [ 43.5 \pm0.5 ] \times10^{3} $      & $ [ 43.0 \pm0.5 ] \times10^{3} $      & $ [ 42.2 \pm0.5 ] \times10^{3} $      & $ [ 42.4 \pm0.5 ] \times10^{3} $      & $ [ 41.4 \pm0.4 ] \times10^{3} $      & $ [ 39.6 \pm0.4 ] \times10^{3} $      & $ [ 38.7 \pm0.4 ] \times10^{3} $      & $ [ 38.2 \pm0.4 ] \times10^{3} $      & $ [ 35.7 \pm0.4 ] \times10^{3} $      & $ [ 34.4 \pm0.4 ] \times10^{3} $      & $ [ 33.1 \pm0.4 ] \times10^{3} $      & $ [ 31.9 \pm0.4 ] \times10^{3} $      & $ [ 1032.2 \pm2.4 ] \times10^{3} $   
#gamma+jets          & $ [ 0.23 \pm0.14 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 1.2 \pm1.2 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.26 \pm0.12 ] \times10^{3} $    
Top                  & $ [ 9.66 \pm0.13 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 137 \pm17 $                         & $ 560 \pm34 $                         & $ 502 \pm33 $                         & $ 472 \pm33 $                         & $ 494 \pm32 $                         & $ 433 \pm31 $                         & $ 399 \pm30 $                         & $ 364 \pm30 $                         & $ 302 \pm29 $                         & $ 373 \pm30 $                         & $ 345 \pm29 $                         & $ 341 \pm29 $                         & $ 354 \pm28 $                         & $ 258 \pm27 $                         & $ 277 \pm27 $                         & $ 284 \pm27 $                         & $ 331 \pm26 $                         & $ 319 \pm25 $                         & $ 245 \pm24 $                         & $ 280 \pm25 $                         & $ 267 \pm25 $                         & $ 282 \pm25 $                         & $ 245 \pm25 $                         & $ 270 \pm25 $                         & $ 234 \pm25 $                         & $ 268 \pm25 $                         & $ 319 \pm26 $                         & $ 318 \pm26 $                         & $ 278 \pm26 $                         & $ 255 \pm26 $                         & $ 272 \pm26 $                         & $ [ 17.45 \pm0.23 ] \times10^{3} $   
Multiboson           & $ [ 8.52 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 90 \pm6 $                           & $ 363 \pm11 $                         & $ 338 \pm11 $                         & $ 327 \pm10 $                         & $ 307 \pm10 $                         & $ 289 \pm10 $                         & $ 265 \pm9 $                          & $ 250 \pm9 $                          & $ 254 \pm9 $                          & $ 221 \pm9 $                          & $ 237 \pm9 $                          & $ 217 \pm9 $                          & $ 188 \pm8 $                          & $ 206 \pm8 $                          & $ 171 \pm7 $                          & $ 175 \pm8 $                          & $ 176 \pm8 $                          & $ 154 \pm7 $                          & $ 159 \pm7 $                          & $ 156 \pm7 $                          & $ 138 \pm7 $                          & $ 144 \pm7 $                          & $ 148 \pm7 $                          & $ 155 \pm7 $                          & $ 138 \pm7 $                          & $ 147 \pm7 $                          & $ 155 \pm7 $                          & $ 153 \pm7 $                          & $ 154 \pm7 $                          & $ 154 \pm7 $                          & $ 155 \pm7 $                          & $ [ 6.59 \pm0.05 ] \times10^{3} $    
W                    & $ [ 1.40 \pm0.29 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.08 \pm0.08 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.4 \pm2.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.26 \pm0.13 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 13647 \pm6 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 63.3 \pm0.5 ] \times10^{3} $      & $ [ 229.5 \pm0.9 ] \times10^{3} $     & $ [ 201.4 \pm0.9 ] \times10^{3} $     & $ [ 179.8 \pm0.9 ] \times10^{3} $     & $ [ 158.7 \pm0.8 ] \times10^{3} $     & $ [ 142.1 \pm0.8 ] \times10^{3} $     & $ [ 128.3 \pm0.8 ] \times10^{3} $     & $ [ 117.2 \pm0.7 ] \times10^{3} $     & $ [ 107.6 \pm0.7 ] \times10^{3} $     & $ [ 97.5 \pm0.7 ] \times10^{3} $      & $ [ 89.9 \pm0.7 ] \times10^{3} $      & $ [ 83.4 \pm0.6 ] \times10^{3} $      & $ [ 76.9 \pm0.6 ] \times10^{3} $      & $ [ 68.9 \pm0.6 ] \times10^{3} $      & $ [ 64.0 \pm0.6 ] \times10^{3} $      & $ [ 59.8 \pm0.5 ] \times10^{3} $      & $ [ 54.4 \pm0.5 ] \times10^{3} $      & $ [ 50.2 \pm0.5 ] \times10^{3} $      & $ [ 46.7 \pm0.5 ] \times10^{3} $      & $ [ 43.9 \pm0.5 ] \times10^{3} $      & $ [ 43.4 \pm0.5 ] \times10^{3} $      & $ [ 42.7 \pm0.5 ] \times10^{3} $      & $ [ 42.8 \pm0.5 ] \times10^{3} $      & $ [ 41.9 \pm0.4 ] \times10^{3} $      & $ [ 39.9 \pm0.4 ] \times10^{3} $      & $ [ 39.1 \pm0.4 ] \times10^{3} $      & $ [ 38.6 \pm0.4 ] \times10^{3} $      & $ [ 36.2 \pm0.4 ] \times10^{3} $      & $ [ 34.8 \pm0.4 ] \times10^{3} $      & $ [ 33.5 \pm0.4 ] \times10^{3} $      & $ [ 32.3 \pm0.4 ] \times10^{3} $      & $ [ 1056.8 \pm2.4 ] \times10^{3} $   
------------------------------------------
Data                 & 12363685                              & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 60663                                 & 220705                                & 191180                                & 169632                                & 150125                                & 131612                                & 116905                                & 104790                                & 94827                                 & 86553                                 & 79994                                 & 73138                                 & 66820                                 & 60612                                 & 55744                                 & 51297                                 & 48034                                 & 44853                                 & 40780                                 & 38596                                 & 38638                                 & 39004                                 & 38312                                 & 37926                                 & 36864                                 & 35863                                 & 35122                                 & 34073                                 & 32652                                 & 31232                                 & 30709                                 & 985769                               
------------------------------------------
