------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 80.0 \pm1.2 ] \times10^{3} $      & $ [ 16734 \pm7 ] \times10^{3} $       & $ [ 710.0 \pm1.5 ] \times10^{3} $     & $ [ 63.4 \pm0.5 ] \times10^{3} $      & $ [ 20.45 \pm0.27 ] \times10^{3} $    & $ [ 8.37 \pm0.18 ] \times10^{3} $     & $ [ 6.85 \pm0.16 ] \times10^{3} $     & $ [ 4.49 \pm0.12 ] \times10^{3} $    
#gamma+jets          & $ [ 0.42 \pm0.15 ] \times10^{3} $     & $ [ 2.5 \pm0.4 ] \times10^{3} $       & $ [ 0.71 \pm0.22 ] \times10^{3} $     & $ [ 0.08 \pm0.05 ] \times10^{3} $     & $ [ 0.17 \pm0.07 ] \times10^{3} $     & $ 16 \pm12 $                          & $ 16 \pm11 $                          & $ 29 \pm14 $                         
Top                  & $ [ 19.71 \pm0.22 ] \times10^{3} $    & $ [ 61.8 \pm0.4 ] \times10^{3} $      & $ [ 41.30 \pm0.31 ] \times10^{3} $    & $ [ 19.33 \pm0.22 ] \times10^{3} $    & $ [ 9.22 \pm0.15 ] \times10^{3} $     & $ [ 4.40 \pm0.11 ] \times10^{3} $     & $ [ 3.18 \pm0.09 ] \times10^{3} $     & $ [ 1.40 \pm0.06 ] \times10^{3} $    
Multiboson           & $ 1139 \pm22 $                        & $ [ 22.55 \pm0.09 ] \times10^{3} $    & $ [ 3.83 \pm0.04 ] \times10^{3} $     & $ 1512 \pm25 $                        & $ 707 \pm17 $                         & $ 368 \pm12 $                         & $ 289 \pm11 $                         & $ 202 \pm9 $                         
W                    & $ [ 2.12 \pm0.34 ] \times10^{3} $     & $ [ 6.4 \pm0.6 ] \times10^{3} $       & $ [ 2.5 \pm0.4 ] \times10^{3} $       & $ [ 0.68 \pm0.19 ] \times10^{3} $     & $ [ 0.25 \pm0.11 ] \times10^{3} $     & $ [ 0.35 \pm0.14 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.09 \pm0.06 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ [ 7 \pm4 ] \times10^{3} $           & $ [ 0.30 \pm0.30 ] \times10^{3} $     & $ [ 25 \pm23 ] \times10^{3} $         & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 103.4 \pm1.3 ] \times10^{3} $     & $ [ 16834 \pm8 ] \times10^{3} $       & $ [ 758.6 \pm1.6 ] \times10^{3} $     & $ [ 110 \pm23 ] \times10^{3} $        & $ [ 30.79 \pm0.34 ] \times10^{3} $    & $ [ 13.49 \pm0.25 ] \times10^{3} $    & $ [ 10.39 \pm0.19 ] \times10^{3} $    & $ [ 6.21 \pm0.15 ] \times10^{3} $    
------------------------------------------
Data                 & 101497                                & 14998004                              & 639233                                & 82760                                 & 30323                                 & 13521                                 & 10175                                 & 5982                                 
------------------------------------------
