------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 11.14 \pm0.18 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 36 \pm12 $                          & $ [ 0.29 \pm0.04 ] \times10^{3} $     & $ 232 \pm35 $                         & $ 164 \pm25 $                         & $ 166 \pm25 $                         & $ [ 0.19 \pm0.04 ] \times10^{3} $     & $ 158 \pm34 $                         & $ 64 \pm20 $                          & $ [ 0.17 \pm0.05 ] \times10^{3} $     & $ 107 \pm20 $                         & $ 98 \pm28 $                          & $ 57 \pm19 $                          & $ 99 \pm29 $                          & $ 93 \pm29 $                          & $ 44 \pm15 $                          & $ 63 \pm22 $                          & $ 66 \pm16 $                          & $ 28 \pm13 $                          & $ 65 \pm16 $                          & $ 22 \pm13 $                          & $ 31 \pm14 $                          & $ 36 \pm13 $                          & $ 46 \pm13 $                          & $ 27 \pm13 $                          & $ 46 \pm14 $                          & $ 64 \pm27 $                          & $ 27 \pm12 $                          & $ 47 \pm14 $                          & $ 48 \pm13 $                          & $ 51 \pm14 $                          & $ 27 \pm11 $                          & $ [ 1.46 \pm0.12 ] \times10^{3} $    
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 10 \pm8 $                          
Top                  & $ 383 \pm24 $                         & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6.0 \pm3.4 $                        & $ 14 \pm7 $                           & $ 9 \pm6 $                            & $ 9 \pm6 $                            & $ 27 \pm5 $                           & $ 6 \pm5 $                            & $ 22 \pm6 $                           & $ 11 \pm6 $                           & $ 13 \pm6 $                           & $ 12 \pm5 $                           & $ 18 \pm6 $                           & $ 11 \pm5 $                           & $ 15 \pm5 $                           & $ 14 \pm5 $                           & $ 18 \pm5 $                           & $ 18 \pm5 $                           & $ 12 \pm5 $                           & $ 6 \pm5 $                            & $ 16 \pm5 $                           & $ 7 \pm4 $                            & $ 15 \pm5 $                           & $ 19 \pm5 $                           & $ 13 \pm5 $                           & $ 11 \pm4 $                           & $ 5 \pm4 $                            & $ 17 \pm5 $                           & $ -4 \pm5 $                           & $ 21 \pm5 $                           & $ 17 \pm5 $                           & $ 15 \pm5 $                           & $ 2 \pm4 $                            & $ [ 0.63 \pm0.04 ] \times10^{3} $    
Multiboson           & $ 72 \pm6 $                           & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.5 \pm0.5 $                        & $ 0.6 \pm0.4 $                        & $ 1.0 \pm0.6 $                        & $ 1.2 \pm0.6 $                        & $ 1.4 \pm0.8 $                        & $ 2.3 \pm1.0 $                        & $ 0.22 \pm0.22 $                      & $ 0.8 \pm0.5 $                        & $ 0.38 \pm0.33 $                      & $ 0.5 \pm0.4 $                        & $ 1.0 \pm0.6 $                        & $ 1.3 \pm0.7 $                        & $ 0.7 \pm0.5 $                        & $ 0.08 \pm0.08 $                      & $ 0.7 \pm0.5 $                        & $ 0.4 \pm0.4 $                        & $ 0.8 \pm0.6 $                        & $ 0.8 \pm0.6 $                        & $ 0.6 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0.7 \pm0.6 $                        & $ 0.4 \pm0.4 $                        & $ 0.4 \pm0.4 $                        & $ 0.27 \pm0.23 $                      & $ 0.021 \pm0.021 $                    & $ 0.031 \pm0.031 $                    & $ 0.4 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 21.4 \pm3.0 $                      
W                    & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 11.64 \pm0.19 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 43 \pm13 $                          & $ [ 0.30 \pm0.04 ] \times10^{3} $     & $ [ 0.24 \pm0.04 ] \times10^{3} $     & $ 174 \pm26 $                         & $ 194 \pm26 $                         & $ [ 0.19 \pm0.04 ] \times10^{3} $     & $ 180 \pm35 $                         & $ 76 \pm21 $                          & $ [ 0.18 \pm0.05 ] \times10^{3} $     & $ 119 \pm20 $                         & $ 116 \pm29 $                         & $ 70 \pm20 $                          & $ 115 \pm29 $                         & $ 107 \pm30 $                         & $ 62 \pm16 $                          & $ 81 \pm23 $                          & $ 78 \pm16 $                          & $ 34 \pm14 $                          & $ 81 \pm17 $                          & $ 29 \pm14 $                          & $ 47 \pm14 $                          & $ 55 \pm14 $                          & $ 59 \pm14 $                          & $ 38 \pm14 $                          & $ 52 \pm15 $                          & $ 81 \pm28 $                          & $ 23 \pm13 $                          & $ 68 \pm15 $                          & $ 65 \pm14 $                          & $ 67 \pm14 $                          & $ 29 \pm12 $                          & $ [ 2.13 \pm0.13 ] \times10^{3} $    
------------------------------------------
Data                 & 11574                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 75                                    & 232                                   & 246                                   & 198                                   & 173                                   & 161                                   & 144                                   & 134                                   & 145                                   & 92                                    & 99                                    & 117                                   & 80                                    & 81                                    & 74                                    & 80                                    & 69                                    & 57                                    & 62                                    & 63                                    & 54                                    & 62                                    & 65                                    & 60                                    & 48                                    & 44                                    & 71                                    & 52                                    & 40                                    & 58                                    & 37                                    & 2018                                 
------------------------------------------
