------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 1013.6 \pm1.7 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 5.58 \pm0.16 ] \times10^{3} $     & $ [ 20.88 \pm0.31 ] \times10^{3} $    & $ [ 18.02 \pm0.30 ] \times10^{3} $    & $ [ 16.13 \pm0.29 ] \times10^{3} $    & $ [ 14.26 \pm0.28 ] \times10^{3} $    & $ [ 13.03 \pm0.27 ] \times10^{3} $    & $ [ 10.83 \pm0.25 ] \times10^{3} $    & $ [ 10.02 \pm0.26 ] \times10^{3} $    & $ [ 9.46 \pm0.25 ] \times10^{3} $     & $ [ 8.81 \pm0.24 ] \times10^{3} $     & $ [ 8.53 \pm0.23 ] \times10^{3} $     & $ [ 7.65 \pm0.22 ] \times10^{3} $     & $ [ 7.05 \pm0.22 ] \times10^{3} $     & $ [ 6.11 \pm0.21 ] \times10^{3} $     & $ [ 6.24 \pm0.21 ] \times10^{3} $     & $ [ 5.66 \pm0.21 ] \times10^{3} $     & $ [ 5.71 \pm0.22 ] \times10^{3} $     & $ [ 5.18 \pm0.20 ] \times10^{3} $     & $ [ 4.56 \pm0.18 ] \times10^{3} $     & $ [ 4.19 \pm0.19 ] \times10^{3} $     & $ [ 4.67 \pm0.19 ] \times10^{3} $     & $ [ 4.58 \pm0.18 ] \times10^{3} $     & $ [ 4.50 \pm0.19 ] \times10^{3} $     & $ [ 4.49 \pm0.18 ] \times10^{3} $     & $ [ 4.27 \pm0.19 ] \times10^{3} $     & $ [ 4.62 \pm0.20 ] \times10^{3} $     & $ [ 4.00 \pm0.17 ] \times10^{3} $     & $ [ 3.96 \pm0.18 ] \times10^{3} $     & $ [ 3.71 \pm0.18 ] \times10^{3} $     & $ [ 3.79 \pm0.18 ] \times10^{3} $     & $ [ 3.41 \pm0.17 ] \times10^{3} $     & $ [ 125.3 \pm1.1 ] \times10^{3} $    
#gamma+jets          & $ [ 1.7 \pm0.4 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 8 \pm8 $                            & $ 13 \pm9 $                           & $ [ 0.09 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 9 \pm9 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.05 ] \times10^{3} $     & $ [ 0.10 \pm0.10 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0.16 \pm0.16 $                      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.11 \pm0.07 ] \times10^{3} $     & $ 32 \pm32 $                          & $ 39 \pm32 $                          & $ 5 \pm5 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.10 ] \times10^{3} $     & $ 31 \pm31 $                          & $ [ 0.06 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.75 \pm0.15 ] \times10^{3} $    
Top                  & $ [ 31.99 \pm0.23 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 479 \pm31 $                         & $ [ 1.72 \pm0.06 ] \times10^{3} $     & $ [ 1.59 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.06 ] \times10^{3} $     & $ [ 1.30 \pm0.05 ] \times10^{3} $     & $ [ 1.21 \pm0.05 ] \times10^{3} $     & $ [ 1.16 \pm0.05 ] \times10^{3} $     & $ [ 1.16 \pm0.05 ] \times10^{3} $     & $ [ 1.17 \pm0.05 ] \times10^{3} $     & $ [ 1.08 \pm0.05 ] \times10^{3} $     & $ [ 1.09 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 0.99 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.93 \pm0.04 ] \times10^{3} $     & $ [ 0.83 \pm0.04 ] \times10^{3} $     & $ [ 0.89 \pm0.04 ] \times10^{3} $     & $ [ 0.83 \pm0.04 ] \times10^{3} $     & $ [ 0.92 \pm0.04 ] \times10^{3} $     & $ [ 0.85 \pm0.04 ] \times10^{3} $     & $ [ 0.88 \pm0.04 ] \times10^{3} $     & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 0.80 \pm0.05 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.84 \pm0.05 ] \times10^{3} $     & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 0.81 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 60.8 \pm0.4 ] \times10^{3} $     
Multiboson           & $ [ 6.79 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 45 \pm4 $                           & $ 173 \pm8 $                          & $ 134 \pm7 $                          & $ 118 \pm7 $                          & $ 107 \pm7 $                          & $ 102 \pm6 $                          & $ 95 \pm6 $                           & $ 91 \pm6 $                           & $ 88 \pm6 $                           & $ 70 \pm5 $                           & $ 72 \pm5 $                           & $ 78 \pm5 $                           & $ 58 \pm5 $                           & $ 54 \pm5 $                           & $ 59 \pm5 $                           & $ 51 \pm4 $                           & $ 55 \pm5 $                           & $ 45 \pm4 $                           & $ 48 \pm4 $                           & $ 40 \pm4 $                           & $ 44 \pm4 $                           & $ 43 \pm4 $                           & $ 41 \pm4 $                           & $ 45 \pm4 $                           & $ 41 \pm4 $                           & $ 40 \pm4 $                           & $ 44 \pm4 $                           & $ 41 \pm4 $                           & $ 39 \pm4 $                           & $ 34.4 \pm3.5 $                       & $ 43 \pm4 $                           & $ 1664 \pm25 $                       
W                    & $ [ 6.2 \pm0.6 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.11 \pm0.08 ] \times10^{3} $     & $ [ 0.08 \pm0.06 ] \times10^{3} $     & $ [ 0.11 \pm0.08 ] \times10^{3} $     & $ [ 0.05 \pm0.04 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ [ 0.11 \pm0.09 ] \times10^{3} $     & $ [ 0.16 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.12 \pm0.09 ] \times10^{3} $     & $ [ 0.23 \pm0.12 ] \times10^{3} $     & $ [ 0.12 \pm0.09 ] \times10^{3} $     & $ [ 0.19 \pm0.11 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.17 \pm0.10 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.9 \pm0.9 $                        & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 2.0 \pm2.0 $                        & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ [ 0.08 \pm0.08 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.37 \pm0.28 ] \times10^{3} $    
QCD                  & $ [ 4 \pm4 ] \times10^{3} $           & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.8 \pm1.8 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 27 \pm23 ] \times10^{3} $        
------------------------------------------
Total                & $ [ 1064 \pm4 ] \times10^{3} $        & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 6.16 \pm0.17 ] \times10^{3} $     & $ [ 22.93 \pm0.33 ] \times10^{3} $    & $ [ 19.84 \pm0.31 ] \times10^{3} $    & $ [ 17.95 \pm0.31 ] \times10^{3} $    & $ [ 16.03 \pm0.30 ] \times10^{3} $    & $ [ 14.69 \pm0.28 ] \times10^{3} $    & $ [ 12.33 \pm0.27 ] \times10^{3} $    & $ [ 11.50 \pm0.28 ] \times10^{3} $    & $ [ 12.5 \pm1.8 ] \times10^{3} $      & $ [ 10.23 \pm0.27 ] \times10^{3} $    & $ [ 10.01 \pm0.27 ] \times10^{3} $    & $ [ 8.93 \pm0.24 ] \times10^{3} $     & $ [ 8.47 \pm0.26 ] \times10^{3} $     & $ [ 7.38 \pm0.24 ] \times10^{3} $     & $ [ 7.29 \pm0.21 ] \times10^{3} $     & $ [ 6.84 \pm0.24 ] \times10^{3} $     & $ [ 6.75 \pm0.23 ] \times10^{3} $     & $ [ 6.18 \pm0.21 ] \times10^{3} $     & $ [ 5.61 \pm0.21 ] \times10^{3} $     & $ [ 5.12 \pm0.20 ] \times10^{3} $     & $ [ 5.62 \pm0.21 ] \times10^{3} $     & $ [ 5.54 \pm0.19 ] \times10^{3} $     & $ [ 5.49 \pm0.21 ] \times10^{3} $     & $ [ 5.45 \pm0.19 ] \times10^{3} $     & $ [ 5.30 \pm0.20 ] \times10^{3} $     & $ [ 5.47 \pm0.21 ] \times10^{3} $     & $ [ 4.94 \pm0.18 ] \times10^{3} $     & $ [ 5.07 \pm0.23 ] \times10^{3} $     & $ [ 4.72 \pm0.20 ] \times10^{3} $     & $ [ 4.69 \pm0.19 ] \times10^{3} $     & $ [ 4.23 \pm0.17 ] \times10^{3} $     & $ [ 217 \pm23 ] \times10^{3} $       
------------------------------------------
Data                 & 1089805                               & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 6550                                  & 23913                                 & 20957                                 & 18711                                 & 17117                                 & 15215                                 & 13217                                 & 12572                                 & 11385                                 & 10424                                 & 9745                                  & 9166                                  & 8353                                  & 7785                                  & 7124                                  & 6779                                  & 6502                                  & 5979                                  & 5669                                  & 5484                                  & 5447                                  & 5669                                  & 5543                                  & 5540                                  & 5447                                  & 5338                                  & 5231                                  & 5104                                  & 4976                                  & 4907                                  & 4655                                  & 191828                               
