------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 13830 \pm6 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 64.9 \pm0.5 ] \times10^{3} $      & $ [ 235.8 \pm0.9 ] \times10^{3} $     & $ [ 206.7 \pm0.9 ] \times10^{3} $     & $ [ 184.5 \pm0.9 ] \times10^{3} $     & $ [ 162.7 \pm0.8 ] \times10^{3} $     & $ [ 146.0 \pm0.8 ] \times10^{3} $     & $ [ 130.9 \pm0.8 ] \times10^{3} $     & $ [ 119.5 \pm0.7 ] \times10^{3} $     & $ [ 110.1 \pm0.7 ] \times10^{3} $     & $ [ 99.9 \pm0.7 ] \times10^{3} $      & $ [ 92.5 \pm0.7 ] \times10^{3} $      & $ [ 85.6 \pm0.6 ] \times10^{3} $      & $ [ 78.8 \pm0.6 ] \times10^{3} $      & $ [ 70.4 \pm0.6 ] \times10^{3} $      & $ [ 66.0 \pm0.6 ] \times10^{3} $      & $ [ 61.5 \pm0.5 ] \times10^{3} $      & $ [ 56.4 \pm0.5 ] \times10^{3} $      & $ [ 51.9 \pm0.5 ] \times10^{3} $      & $ [ 48.0 \pm0.5 ] \times10^{3} $      & $ [ 45.0 \pm0.5 ] \times10^{3} $      & $ [ 45.1 \pm0.5 ] \times10^{3} $      & $ [ 44.3 \pm0.5 ] \times10^{3} $      & $ [ 44.4 \pm0.5 ] \times10^{3} $      & $ [ 43.5 \pm0.5 ] \times10^{3} $      & $ [ 41.5 \pm0.5 ] \times10^{3} $      & $ [ 41.1 \pm0.5 ] \times10^{3} $      & $ [ 39.9 \pm0.4 ] \times10^{3} $      & $ [ 37.5 \pm0.4 ] \times10^{3} $      & $ [ 36.1 \pm0.4 ] \times10^{3} $      & $ [ 34.8 \pm0.4 ] \times10^{3} $      & $ [ 33.4 \pm0.4 ] \times10^{3} $      & $ [ 1096.3 \pm2.5 ] \times10^{3} $   
#gamma+jets          & $ [ 1.9 \pm0.4 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 8 \pm8 $                            & $ 13 \pm9 $                           & $ [ 0.09 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 9 \pm9 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.05 ] \times10^{3} $     & $ [ 0.10 \pm0.10 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ [ 0.11 \pm0.07 ] \times10^{3} $     & $ 32 \pm32 $                          & $ 39 \pm32 $                          & $ 5 \pm5 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.10 ] \times10^{3} $     & $ 31 \pm31 $                          & $ [ 0.06 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 1.00 \pm0.19 ] \times10^{3} $    
Top                  & $ [ 41.11 \pm0.26 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 609 \pm35 $                         & $ [ 2.25 \pm0.07 ] \times10^{3} $     & $ [ 2.07 \pm0.07 ] \times10^{3} $     & $ [ 1.98 \pm0.07 ] \times10^{3} $     & $ [ 1.98 \pm0.06 ] \times10^{3} $     & $ [ 1.92 \pm0.06 ] \times10^{3} $     & $ [ 1.67 \pm0.06 ] \times10^{3} $     & $ [ 1.56 \pm0.06 ] \times10^{3} $     & $ [ 1.45 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.06 ] \times10^{3} $     & $ [ 1.50 \pm0.06 ] \times10^{3} $     & $ [ 1.40 \pm0.06 ] \times10^{3} $     & $ [ 1.42 \pm0.06 ] \times10^{3} $     & $ [ 1.29 \pm0.05 ] \times10^{3} $     & $ [ 1.25 \pm0.05 ] \times10^{3} $     & $ [ 1.21 \pm0.05 ] \times10^{3} $     & $ [ 1.25 \pm0.05 ] \times10^{3} $     & $ [ 1.23 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 1.15 \pm0.05 ] \times10^{3} $     & $ [ 1.08 \pm0.05 ] \times10^{3} $     & $ [ 1.18 \pm0.05 ] \times10^{3} $     & $ [ 1.08 \pm0.05 ] \times10^{3} $     & $ [ 1.14 \pm0.05 ] \times10^{3} $     & $ [ 1.13 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 1.20 \pm0.05 ] \times10^{3} $     & $ [ 1.14 \pm0.05 ] \times10^{3} $     & $ [ 1.13 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 1.03 \pm0.05 ] \times10^{3} $     & $ [ 77.2 \pm0.5 ] \times10^{3} $     
Multiboson           & $ [ 14.83 \pm0.07 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 129 \pm7 $                          & $ 517 \pm13 $                         & $ 453 \pm12 $                         & $ 426 \pm12 $                         & $ 397 \pm12 $                         & $ 374 \pm11 $                         & $ 346 \pm11 $                         & $ 326 \pm10 $                         & $ 328 \pm11 $                         & $ 279 \pm10 $                         & $ 296 \pm10 $                         & $ 282 \pm10 $                         & $ 236 \pm9 $                          & $ 248 \pm9 $                          & $ 220 \pm8 $                          & $ 216 \pm8 $                          & $ 222 \pm9 $                          & $ 190 \pm8 $                          & $ 198 \pm8 $                          & $ 187 \pm8 $                          & $ 174 \pm8 $                          & $ 179 \pm8 $                          & $ 181 \pm8 $                          & $ 192 \pm8 $                          & $ 171 \pm8 $                          & $ 179 \pm8 $                          & $ 191 \pm8 $                          & $ 186 \pm8 $                          & $ 184 \pm8 $                          & $ 180 \pm8 $                          & $ 189 \pm8 $                          & $ [ 7.89 \pm0.05 ] \times10^{3} $    
W                    & $ [ 7.5 \pm0.7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.11 \pm0.08 ] \times10^{3} $     & $ [ 0.14 \pm0.08 ] \times10^{3} $     & $ [ 0.11 \pm0.08 ] \times10^{3} $     & $ [ 0.12 \pm0.08 ] \times10^{3} $     & $ [ 0.11 \pm0.08 ] \times10^{3} $     & $ [ 0.15 \pm0.09 ] \times10^{3} $     & $ [ 0.16 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.12 \pm0.09 ] \times10^{3} $     & $ [ 0.23 \pm0.12 ] \times10^{3} $     & $ [ 0.12 \pm0.09 ] \times10^{3} $     & $ [ 0.19 \pm0.11 ] \times10^{3} $     & $ [ 0.12 \pm0.08 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.25 \pm0.13 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 2.2 \pm2.2 $                        & $ 0.9 \pm0.9 $                        & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 2.0 \pm2.0 $                        & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ [ 0.08 \pm0.08 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 1.62 \pm0.30 ] \times10^{3} $    
QCD                  & $ [ 4 \pm4 ] \times10^{3} $           & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.8 \pm1.8 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 27 \pm23 ] \times10^{3} $        
------------------------------------------
Total                & $ [ 13899 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 65.7 \pm0.5 ] \times10^{3} $      & $ [ 238.7 \pm0.9 ] \times10^{3} $     & $ [ 209.3 \pm0.9 ] \times10^{3} $     & $ [ 187.1 \pm0.9 ] \times10^{3} $     & $ [ 165.2 \pm0.8 ] \times10^{3} $     & $ [ 148.4 \pm0.8 ] \times10^{3} $     & $ [ 133.1 \pm0.8 ] \times10^{3} $     & $ [ 121.6 \pm0.8 ] \times10^{3} $     & $ [ 113.6 \pm1.9 ] \times10^{3} $     & $ [ 101.8 \pm0.7 ] \times10^{3} $     & $ [ 94.6 \pm0.7 ] \times10^{3} $      & $ [ 87.4 \pm0.6 ] \times10^{3} $      & $ [ 80.7 \pm0.6 ] \times10^{3} $      & $ [ 72.2 \pm0.6 ] \times10^{3} $      & $ [ 67.5 \pm0.6 ] \times10^{3} $      & $ [ 63.1 \pm0.6 ] \times10^{3} $      & $ [ 57.9 \pm0.5 ] \times10^{3} $      & $ [ 53.4 \pm0.5 ] \times10^{3} $      & $ [ 49.5 \pm0.5 ] \times10^{3} $      & $ [ 46.4 \pm0.5 ] \times10^{3} $      & $ [ 46.4 \pm0.5 ] \times10^{3} $      & $ [ 45.6 \pm0.5 ] \times10^{3} $      & $ [ 45.8 \pm0.5 ] \times10^{3} $      & $ [ 44.8 \pm0.5 ] \times10^{3} $      & $ [ 42.9 \pm0.5 ] \times10^{3} $      & $ [ 42.3 \pm0.5 ] \times10^{3} $      & $ [ 41.3 \pm0.4 ] \times10^{3} $      & $ [ 39.1 \pm0.5 ] \times10^{3} $      & $ [ 37.5 \pm0.4 ] \times10^{3} $      & $ [ 36.2 \pm0.4 ] \times10^{3} $      & $ [ 34.6 \pm0.4 ] \times10^{3} $      & $ [ 1211 \pm23 ] \times10^{3} $      
------------------------------------------
Data                 & 13701509                              & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 68494                                 & 249062                                & 216001                                & 191867                                & 170242                                & 149463                                & 132508                                & 119423                                & 108120                                & 98704                                 & 91330                                 & 83759                                 & 76498                                 & 69637                                 & 64069                                 & 59136                                 & 55543                                 & 51687                                 & 47267                                 & 44878                                 & 44928                                 & 45440                                 & 44622                                 & 44211                                 & 43061                                 & 41914                                 & 41070                                 & 39893                                 & 38310                                 & 36787                                 & 36012                                 & 1197628                              
