------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 0.56 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm4 $                            & $ 17 \pm8 $                           & $ 8 \pm10 $                           & $ 13 \pm7 $                           & $ 9 \pm7 $                            & $ -2 \pm8 $                           & $ -1 \pm7 $                           & $ 15 \pm7 $                           & $ -3 \pm7 $                           & $ 6 \pm7 $                            & $ 7 \pm7 $                            & $ 8 \pm8 $                            & $ 4 \pm5 $                            & $ 18 \pm7 $                           & $ -1 \pm5 $                           & $ 0 \pm6 $                            & $ 2 \pm5 $                            & $ -1.5 \pm2.9 $                       & $ 2 \pm4 $                            & $ 0 \pm5 $                            & $ -6 \pm6 $                           & $ -0.3 \pm3.2 $                       & $ 3 \pm4 $                            & $ 14 \pm8 $                           & $ 7 \pm7 $                            & $ 5 \pm5 $                            & $ 1 \pm5 $                            & $ 9 \pm5 $                            & $ 3 \pm6 $                            & $ 7 \pm6 $                            & $ 5 \pm5 $                            & $ 170 \pm31 $                        
#gamma+jets          & $ 27 \pm15 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm6 $                           
Top                  & $ [ 62.38 \pm0.33 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.75 \pm0.04 ] \times10^{3} $     & $ [ 3.01 \pm0.08 ] \times10^{3} $     & $ [ 2.90 \pm0.08 ] \times10^{3} $     & $ [ 2.51 \pm0.08 ] \times10^{3} $     & $ [ 2.55 \pm0.08 ] \times10^{3} $     & $ [ 2.36 \pm0.08 ] \times10^{3} $     & $ [ 2.30 \pm0.07 ] \times10^{3} $     & $ [ 2.10 \pm0.07 ] \times10^{3} $     & $ [ 2.04 \pm0.07 ] \times10^{3} $     & $ [ 1.99 \pm0.07 ] \times10^{3} $     & $ [ 1.97 \pm0.07 ] \times10^{3} $     & $ [ 1.81 \pm0.07 ] \times10^{3} $     & $ [ 1.74 \pm0.07 ] \times10^{3} $     & $ [ 1.74 \pm0.06 ] \times10^{3} $     & $ [ 1.64 \pm0.06 ] \times10^{3} $     & $ [ 1.64 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 1.45 \pm0.06 ] \times10^{3} $     & $ [ 1.41 \pm0.06 ] \times10^{3} $     & $ [ 1.38 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.45 \pm0.06 ] \times10^{3} $     & $ [ 1.48 \pm0.06 ] \times10^{3} $     & $ [ 1.33 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.36 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.35 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.34 \pm0.06 ] \times10^{3} $     & $ [ 1.31 \pm0.06 ] \times10^{3} $     & $ [ 76.2 \pm0.5 ] \times10^{3} $     
Multiboson           & $ 115 \pm7 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.8 \pm0.6 $                        & $ 3.6 \pm1.3 $                        & $ 4.2 \pm1.3 $                        & $ 1.9 \pm0.8 $                        & $ 2.0 \pm1.0 $                        & $ 4.2 \pm1.4 $                        & $ 2.6 \pm1.2 $                        & $ 2.0 \pm0.9 $                        & $ 2.1 \pm0.9 $                        & $ 1.2 \pm0.6 $                        & $ 0.6 \pm0.6 $                        & $ 2.5 \pm1.1 $                        & $ 0.7 \pm0.5 $                        & $ 0.8 \pm0.6 $                        & $ 1.8 \pm0.9 $                        & $ 2.0 \pm1.0 $                        & $ 0.9 \pm0.7 $                        & $ 1.1 \pm0.7 $                        & $ 0.016 \pm0.012 $                    & $ 1.4 \pm0.8 $                        & $ 0.9 \pm0.6 $                        & $ 0 \pm0 $                            & $ 0.4 \pm0.4 $                        & $ 1.6 \pm0.9 $                        & $ 0.5 \pm0.4 $                        & $ 0.22 \pm0.22 $                      & $ [ 3.1 \pm3.1 ] \times10^{-3} $      & $ 1.7 \pm0.9 $                        & $ 0.004 \pm0.004 $                    & $ 0.022 \pm0.022 $                    & $ 0.32 \pm0.32 $                      & $ 31 \pm4 $                          
W                    & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 21 \pm21 $                         
------------------------------------------
Total                & $ [ 63.21 \pm0.35 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.76 \pm0.04 ] \times10^{3} $     & $ [ 3.03 \pm0.08 ] \times10^{3} $     & $ [ 2.92 \pm0.08 ] \times10^{3} $     & $ [ 2.53 \pm0.08 ] \times10^{3} $     & $ [ 2.56 \pm0.08 ] \times10^{3} $     & $ [ 2.43 \pm0.10 ] \times10^{3} $     & $ [ 2.35 \pm0.09 ] \times10^{3} $     & $ [ 2.11 \pm0.07 ] \times10^{3} $     & $ [ 2.04 \pm0.07 ] \times10^{3} $     & $ [ 1.99 \pm0.07 ] \times10^{3} $     & $ [ 1.98 \pm0.07 ] \times10^{3} $     & $ [ 1.82 \pm0.07 ] \times10^{3} $     & $ [ 1.74 \pm0.07 ] \times10^{3} $     & $ [ 1.76 \pm0.06 ] \times10^{3} $     & $ [ 1.64 \pm0.06 ] \times10^{3} $     & $ [ 1.64 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 1.51 \pm0.09 ] \times10^{3} $     & $ [ 1.42 \pm0.06 ] \times10^{3} $     & $ [ 1.38 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.45 \pm0.06 ] \times10^{3} $     & $ [ 1.48 \pm0.06 ] \times10^{3} $     & $ [ 1.34 \pm0.06 ] \times10^{3} $     & $ [ 1.38 \pm0.06 ] \times10^{3} $     & $ [ 1.36 \pm0.06 ] \times10^{3} $     & $ [ 1.38 \pm0.06 ] \times10^{3} $     & $ [ 1.36 \pm0.06 ] \times10^{3} $     & $ [ 1.38 \pm0.06 ] \times10^{3} $     & $ [ 1.34 \pm0.06 ] \times10^{3} $     & $ [ 1.31 \pm0.06 ] \times10^{3} $     & $ [ 76.4 \pm0.5 ] \times10^{3} $     
------------------------------------------
Data                 & 72608                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 961                                   & 3581                                  & 3253                                  & 3038                                  & 2801                                  & 2599                                  & 2455                                  & 2311                                  & 2155                                  & 2104                                  & 1964                                  & 1884                                  & 1797                                  & 1684                                  & 1577                                  & 1516                                  & 1408                                  & 1312                                  & 1261                                  & 1291                                  & 1260                                  & 1258                                  & 1334                                  & 1366                                  & 1322                                  & 1377                                  & 1257                                  & 1323                                  & 1271                                  & 1234                                  & 1344                                  & 69384                                
------------------------------------------
