------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 0.66 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm4 $                            & $ 21 \pm10 $                          & $ 11 \pm11 $                          & $ 24 \pm9 $                           & $ 13 \pm8 $                           & $ -3 \pm8 $                           & $ 1 \pm8 $                            & $ 18 \pm8 $                           & $ -1 \pm8 $                           & $ 7 \pm9 $                            & $ 13 \pm7 $                           & $ 7 \pm9 $                            & $ 2 \pm6 $                            & $ 22 \pm8 $                           & $ 1 \pm5 $                            & $ -1 \pm7 $                           & $ 0 \pm5 $                            & $ -1 \pm4 $                           & $ 5 \pm5 $                            & $ 4 \pm6 $                            & $ -12 \pm7 $                          & $ 2 \pm4 $                            & $ 7 \pm5 $                            & $ 14 \pm9 $                           & $ 7 \pm7 $                            & $ 5 \pm5 $                            & $ 4 \pm7 $                            & $ 9 \pm5 $                            & $ 3 \pm6 $                            & $ 10 \pm6 $                           & $ 7 \pm6 $                            & $ [ 0.24 \pm0.04 ] \times10^{3} $    
#gamma+jets          & $ 38 \pm17 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 20 \pm12 $                         
Top                  & $ [ 72.1 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 3.52 \pm0.09 ] \times10^{3} $     & $ [ 3.45 \pm0.09 ] \times10^{3} $     & $ [ 3.01 \pm0.09 ] \times10^{3} $     & $ [ 2.99 \pm0.08 ] \times10^{3} $     & $ [ 2.74 \pm0.08 ] \times10^{3} $     & $ [ 2.69 \pm0.08 ] \times10^{3} $     & $ [ 2.45 \pm0.08 ] \times10^{3} $     & $ [ 2.40 \pm0.08 ] \times10^{3} $     & $ [ 2.29 \pm0.08 ] \times10^{3} $     & $ [ 2.31 \pm0.07 ] \times10^{3} $     & $ [ 2.14 \pm0.07 ] \times10^{3} $     & $ [ 2.00 \pm0.07 ] \times10^{3} $     & $ [ 2.05 \pm0.07 ] \times10^{3} $     & $ [ 1.92 \pm0.07 ] \times10^{3} $     & $ [ 1.88 \pm0.07 ] \times10^{3} $     & $ [ 1.70 \pm0.06 ] \times10^{3} $     & $ [ 1.67 \pm0.06 ] \times10^{3} $     & $ [ 1.64 \pm0.06 ] \times10^{3} $     & $ [ 1.60 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.69 \pm0.06 ] \times10^{3} $     & $ [ 1.70 \pm0.06 ] \times10^{3} $     & $ [ 1.60 \pm0.06 ] \times10^{3} $     & $ [ 1.57 \pm0.06 ] \times10^{3} $     & $ [ 1.59 \pm0.06 ] \times10^{3} $     & $ [ 1.60 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 91.2 \pm0.5 ] \times10^{3} $     
Multiboson           & $ 164 \pm8 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.8 \pm0.6 $                        & $ 4.5 \pm1.4 $                        & $ 5.5 \pm1.5 $                        & $ 2.5 \pm0.9 $                        & $ 3.1 \pm1.2 $                        & $ 5.6 \pm1.6 $                        & $ 2.6 \pm1.2 $                        & $ 2.0 \pm0.9 $                        & $ 3.0 \pm1.1 $                        & $ 1.8 \pm0.8 $                        & $ 1.4 \pm0.8 $                        & $ 2.5 \pm1.1 $                        & $ 2.2 \pm0.9 $                        & $ 1.2 \pm0.7 $                        & $ 2.4 \pm1.1 $                        & $ 2.0 \pm1.0 $                        & $ 0.9 \pm0.7 $                        & $ 1.2 \pm0.7 $                        & $ 0.016 \pm0.012 $                    & $ 1.4 \pm0.8 $                        & $ 0.9 \pm0.6 $                        & $ 0 \pm0 $                            & $ 0.9 \pm0.7 $                        & $ 1.9 \pm1.0 $                        & $ 1.4 \pm0.8 $                        & $ 0.5 \pm0.4 $                        & $ 0.9 \pm0.6 $                        & $ 3.1 \pm1.2 $                        & $ 0.5 \pm0.5 $                        & $ 0.022 \pm0.022 $                    & $ 0.38 \pm0.32 $                      & $ 56 \pm5 $                          
W                    & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.05 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 73.1 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 3.54 \pm0.09 ] \times10^{3} $     & $ [ 3.46 \pm0.09 ] \times10^{3} $     & $ [ 3.04 \pm0.09 ] \times10^{3} $     & $ [ 3.01 \pm0.08 ] \times10^{3} $     & $ [ 2.81 \pm0.11 ] \times10^{3} $     & $ [ 2.74 \pm0.10 ] \times10^{3} $     & $ [ 2.47 \pm0.08 ] \times10^{3} $     & $ [ 2.40 \pm0.08 ] \times10^{3} $     & $ [ 2.30 \pm0.08 ] \times10^{3} $     & $ [ 2.33 \pm0.08 ] \times10^{3} $     & $ [ 2.15 \pm0.07 ] \times10^{3} $     & $ [ 2.00 \pm0.07 ] \times10^{3} $     & $ [ 2.07 \pm0.07 ] \times10^{3} $     & $ [ 1.92 \pm0.07 ] \times10^{3} $     & $ [ 1.88 \pm0.07 ] \times10^{3} $     & $ [ 1.70 \pm0.06 ] \times10^{3} $     & $ [ 1.74 \pm0.09 ] \times10^{3} $     & $ [ 1.65 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.69 \pm0.06 ] \times10^{3} $     & $ [ 1.71 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.58 \pm0.06 ] \times10^{3} $     & $ [ 1.59 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.61 \pm0.06 ] \times10^{3} $     & $ [ 1.55 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 91.6 \pm0.5 ] \times10^{3} $     
------------------------------------------
Data                 & 84757                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 1119                                  & 4202                                  & 3852                                  & 3564                                  & 3302                                  & 3088                                  & 2879                                  & 2712                                  & 2538                                  & 2443                                  & 2298                                  & 2177                                  & 2102                                  & 1969                                  & 1834                                  & 1809                                  & 1677                                  & 1551                                  & 1481                                  & 1488                                  & 1492                                  & 1506                                  & 1554                                  & 1618                                  & 1537                                  & 1590                                  & 1513                                  & 1558                                  & 1508                                  & 1484                                  & 1559                                  & 84090                                
------------------------------------------
