------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 0.52 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm4 $                            & $ 12 \pm8 $                           & $ 6 \pm10 $                           & $ 11 \pm7 $                           & $ 8 \pm7 $                            & $ -1 \pm8 $                           & $ -3 \pm7 $                           & $ 16 \pm7 $                           & $ -5 \pm7 $                           & $ 6 \pm6 $                            & $ 6 \pm5 $                            & $ 6 \pm8 $                            & $ 2 \pm4 $                            & $ 17 \pm7 $                           & $ -1 \pm4 $                           & $ 2 \pm5 $                            & $ 2 \pm5 $                            & $ 1 \pm4 $                            & $ 2 \pm4 $                            & $ 0 \pm5 $                            & $ -6 \pm6 $                           & $ 1.4 \pm3.4 $                        & $ 3 \pm4 $                            & $ 15 \pm8 $                           & $ 1 \pm5 $                            & $ 9 \pm6 $                            & $ 1 \pm5 $                            & $ 10 \pm6 $                           & $ 4 \pm6 $                            & $ 7 \pm4 $                            & $ 7 \pm4 $                            & $ 158 \pm29 $                        
#gamma+jets          & $ [ 0.07 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
Top                  & $ [ 58.82 \pm0.31 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.70 \pm0.04 ] \times10^{3} $     & $ [ 2.86 \pm0.08 ] \times10^{3} $     & $ [ 2.75 \pm0.08 ] \times10^{3} $     & $ [ 2.41 \pm0.07 ] \times10^{3} $     & $ [ 2.40 \pm0.07 ] \times10^{3} $     & $ [ 2.25 \pm0.07 ] \times10^{3} $     & $ [ 2.17 \pm0.07 ] \times10^{3} $     & $ [ 1.96 \pm0.07 ] \times10^{3} $     & $ [ 1.93 \pm0.07 ] \times10^{3} $     & $ [ 1.85 \pm0.07 ] \times10^{3} $     & $ [ 1.85 \pm0.06 ] \times10^{3} $     & $ [ 1.66 \pm0.06 ] \times10^{3} $     & $ [ 1.65 \pm0.06 ] \times10^{3} $     & $ [ 1.69 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.35 \pm0.05 ] \times10^{3} $     & $ [ 1.31 \pm0.05 ] \times10^{3} $     & $ [ 1.26 \pm0.05 ] \times10^{3} $     & $ [ 1.31 \pm0.05 ] \times10^{3} $     & $ [ 1.36 \pm0.05 ] \times10^{3} $     & $ [ 1.34 \pm0.06 ] \times10^{3} $     & $ [ 1.34 \pm0.06 ] \times10^{3} $     & $ [ 1.27 \pm0.06 ] \times10^{3} $     & $ [ 1.27 \pm0.06 ] \times10^{3} $     & $ [ 1.35 \pm0.06 ] \times10^{3} $     & $ [ 1.31 \pm0.05 ] \times10^{3} $     & $ [ 1.30 \pm0.06 ] \times10^{3} $     & $ [ 1.29 \pm0.06 ] \times10^{3} $     & $ [ 1.26 \pm0.06 ] \times10^{3} $     & $ [ 72.4 \pm0.5 ] \times10^{3} $     
Multiboson           & $ 109 \pm7 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 1.1 \pm0.6 $                        & $ 3.7 \pm1.3 $                        & $ 3.9 \pm1.2 $                        & $ 1.6 \pm0.8 $                        & $ 2.2 \pm0.9 $                        & $ 3.5 \pm1.2 $                        & $ 2.0 \pm1.0 $                        & $ 1.6 \pm0.8 $                        & $ 1.6 \pm0.7 $                        & $ 1.7 \pm0.8 $                        & $ 0.6 \pm0.6 $                        & $ 2.4 \pm1.1 $                        & $ 0.5 \pm0.5 $                        & $ 0.7 \pm0.5 $                        & $ 1.7 \pm0.9 $                        & $ 2.2 \pm1.0 $                        & $ 0.9 \pm0.6 $                        & $ 1.8 \pm0.8 $                        & $ 0.015 \pm0.012 $                    & $ 1.3 \pm0.8 $                        & $ 0.4 \pm0.4 $                        & $ 0 \pm0 $                            & $ 0.33 \pm0.33 $                      & $ 1.5 \pm0.9 $                        & $ 0.4 \pm0.4 $                        & $ 0 \pm0 $                            & $ [ 3.0 \pm3.0 ] \times10^{-3} $      & $ 1.2 \pm0.7 $                        & $ 0.004 \pm0.004 $                    & $ 0.021 \pm0.021 $                    & $ 0.30 \pm0.30 $                      & $ 30.0 \pm3.4 $                      
W                    & $ [ 0.12 \pm0.09 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.04 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 59.64 \pm0.33 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.71 \pm0.04 ] \times10^{3} $     & $ [ 2.88 \pm0.08 ] \times10^{3} $     & $ [ 2.76 \pm0.08 ] \times10^{3} $     & $ [ 2.42 \pm0.07 ] \times10^{3} $     & $ [ 2.41 \pm0.07 ] \times10^{3} $     & $ [ 2.31 \pm0.10 ] \times10^{3} $     & $ [ 2.21 \pm0.09 ] \times10^{3} $     & $ [ 1.97 \pm0.07 ] \times10^{3} $     & $ [ 1.93 \pm0.07 ] \times10^{3} $     & $ [ 1.85 \pm0.07 ] \times10^{3} $     & $ [ 1.86 \pm0.06 ] \times10^{3} $     & $ [ 1.67 \pm0.06 ] \times10^{3} $     & $ [ 1.66 \pm0.06 ] \times10^{3} $     & $ [ 1.71 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.42 \pm0.08 ] \times10^{3} $     & $ [ 1.31 \pm0.05 ] \times10^{3} $     & $ [ 1.26 \pm0.05 ] \times10^{3} $     & $ [ 1.31 \pm0.05 ] \times10^{3} $     & $ [ 1.36 \pm0.06 ] \times10^{3} $     & $ [ 1.35 \pm0.06 ] \times10^{3} $     & $ [ 1.35 \pm0.06 ] \times10^{3} $     & $ [ 1.28 \pm0.06 ] \times10^{3} $     & $ [ 1.28 \pm0.06 ] \times10^{3} $     & $ [ 1.35 \pm0.06 ] \times10^{3} $     & $ [ 1.32 \pm0.06 ] \times10^{3} $     & $ [ 1.30 \pm0.06 ] \times10^{3} $     & $ [ 1.30 \pm0.06 ] \times10^{3} $     & $ [ 1.27 \pm0.06 ] \times10^{3} $     & $ [ 72.7 \pm0.5 ] \times10^{3} $     
------------------------------------------
Data                 & 70390                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 934                                   & 3465                                  & 3138                                  & 2958                                  & 2705                                  & 2532                                  & 2379                                  & 2241                                  & 2098                                  & 2020                                  & 1886                                  & 1824                                  & 1739                                  & 1622                                  & 1538                                  & 1475                                  & 1369                                  & 1273                                  & 1243                                  & 1249                                  & 1216                                  & 1210                                  & 1298                                  & 1325                                  & 1270                                  & 1351                                  & 1220                                  & 1290                                  & 1235                                  & 1198                                  & 1297                                  & 67194                                
------------------------------------------
