------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 35.65 \pm0.33 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 188 \pm35 $                         & $ [ 0.60 \pm0.05 ] \times10^{3} $     & $ [ 0.54 \pm0.05 ] \times10^{3} $     & $ [ 0.54 \pm0.05 ] \times10^{3} $     & $ [ 0.51 \pm0.05 ] \times10^{3} $     & $ [ 0.48 \pm0.05 ] \times10^{3} $     & $ [ 0.30 \pm0.04 ] \times10^{3} $     & $ [ 0.39 \pm0.04 ] \times10^{3} $     & $ [ 0.32 \pm0.04 ] \times10^{3} $     & $ [ 0.23 \pm0.04 ] \times10^{3} $     & $ 259 \pm35 $                         & $ [ 0.34 \pm0.04 ] \times10^{3} $     & $ 197 \pm35 $                         & $ 260 \pm35 $                         & $ 187 \pm32 $                         & $ 230 \pm30 $                         & $ 119 \pm29 $                         & $ 159 \pm29 $                         & $ 126 \pm26 $                         & $ 260 \pm29 $                         & $ 99 \pm27 $                          & $ [ 0.18 \pm0.04 ] \times10^{3} $     & $ 162 \pm25 $                         & $ [ 0.19 \pm0.04 ] \times10^{3} $     & $ 145 \pm28 $                         & $ 135 \pm26 $                         & $ 129 \pm27 $                         & $ 210 \pm27 $                         & $ 146 \pm27 $                         & $ 157 \pm24 $                         & $ 98 \pm25 $                          & $ [ 6.63 \pm0.20 ] \times10^{3} $    
#gamma+jets          & $ [ 0.94 \pm0.25 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 9 \pm9 $                            & $ [ 0.10 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.06 \pm0.05 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 28 \pm28 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 34 \pm34 $                          & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 16 \pm11 $                          & $ 0 \pm0 $                            & $ 12 \pm12 $                          & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 7 \pm7 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.17 \pm0.12 ] \times10^{3} $     & $ [ 0.22 \pm0.05 ] \times10^{3} $    
Top                  & $ [ 78.4 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 4.22 \pm0.10 ] \times10^{3} $     & $ [ 4.10 \pm0.09 ] \times10^{3} $     & $ [ 3.71 \pm0.09 ] \times10^{3} $     & $ [ 3.60 \pm0.09 ] \times10^{3} $     & $ [ 3.42 \pm0.09 ] \times10^{3} $     & $ [ 3.36 \pm0.09 ] \times10^{3} $     & $ [ 2.98 \pm0.08 ] \times10^{3} $     & $ [ 3.00 \pm0.08 ] \times10^{3} $     & $ [ 2.82 \pm0.08 ] \times10^{3} $     & $ [ 2.87 \pm0.08 ] \times10^{3} $     & $ [ 2.65 \pm0.08 ] \times10^{3} $     & $ [ 2.54 \pm0.08 ] \times10^{3} $     & $ [ 2.56 \pm0.08 ] \times10^{3} $     & $ [ 2.44 \pm0.07 ] \times10^{3} $     & $ [ 2.32 \pm0.07 ] \times10^{3} $     & $ [ 2.11 \pm0.07 ] \times10^{3} $     & $ [ 2.11 \pm0.07 ] \times10^{3} $     & $ [ 2.07 \pm0.07 ] \times10^{3} $     & $ [ 1.98 \pm0.07 ] \times10^{3} $     & $ [ 2.06 \pm0.07 ] \times10^{3} $     & $ [ 2.11 \pm0.07 ] \times10^{3} $     & $ [ 2.21 \pm0.07 ] \times10^{3} $     & $ [ 2.13 \pm0.07 ] \times10^{3} $     & $ [ 2.06 \pm0.07 ] \times10^{3} $     & $ [ 2.10 \pm0.07 ] \times10^{3} $     & $ [ 2.21 \pm0.07 ] \times10^{3} $     & $ [ 2.21 \pm0.07 ] \times10^{3} $     & $ [ 2.19 \pm0.07 ] \times10^{3} $     & $ [ 2.14 \pm0.07 ] \times10^{3} $     & $ [ 2.12 \pm0.07 ] \times10^{3} $     & $ [ 141.7 \pm0.6 ] \times10^{3} $    
Multiboson           & $ [ 15.35 \pm0.08 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 94 \pm7 $                           & $ 319 \pm12 $                         & $ 262 \pm11 $                         & $ 245 \pm10 $                         & $ 220 \pm10 $                         & $ 199 \pm9 $                          & $ 177 \pm9 $                          & $ 161 \pm8 $                          & $ 133 \pm8 $                          & $ 142 \pm8 $                          & $ 138 \pm8 $                          & $ 125 \pm8 $                          & $ 117 \pm7 $                          & $ 97 \pm7 $                           & $ 99 \pm7 $                           & $ 94 \pm6 $                           & $ 88 \pm6 $                           & $ 82 \pm6 $                           & $ 66 \pm5 $                           & $ 76 \pm6 $                           & $ 63 \pm5 $                           & $ 80 \pm6 $                           & $ 79 \pm6 $                           & $ 67 \pm5 $                           & $ 62 \pm5 $                           & $ 69 \pm6 $                           & $ 73 \pm6 $                           & $ 68 \pm5 $                           & $ 61 \pm5 $                           & $ 61 \pm5 $                           & $ 55 \pm5 $                           & $ 2321 \pm32 $                       
W                    & $ [ 10.8 \pm0.8 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.13 \pm0.08 ] \times10^{3} $     & $ [ 0.22 \pm0.11 ] \times10^{3} $     & $ [ 0.28 \pm0.13 ] \times10^{3} $     & $ [ 0.20 \pm0.10 ] \times10^{3} $     & $ [ 0.30 \pm0.13 ] \times10^{3} $     & $ [ 0.21 \pm0.10 ] \times10^{3} $     & $ [ 0.08 \pm0.08 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.13 \pm0.09 ] \times10^{3} $     & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.09 \pm0.06 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.24 \pm0.13 ] \times10^{3} $     & $ 1.6 \pm1.6 $                        & $ [ 0.16 \pm0.09 ] \times10^{3} $     & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.12 \pm0.08 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.18 \pm0.10 ] \times10^{3} $     & $ [ 2.02 \pm0.34 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.6 \pm2.6 $                       
------------------------------------------
Total                & $ [ 141.1 \pm1.0 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.41 \pm0.09 ] \times10^{3} $     & $ [ 5.27 \pm0.14 ] \times10^{3} $     & $ [ 5.14 \pm0.15 ] \times10^{3} $     & $ [ 4.87 \pm0.18 ] \times10^{3} $     & $ [ 4.53 \pm0.14 ] \times10^{3} $     & $ [ 4.46 \pm0.18 ] \times10^{3} $     & $ [ 4.10 \pm0.15 ] \times10^{3} $     & $ [ 3.61 \pm0.12 ] \times10^{3} $     & $ [ 3.51 \pm0.11 ] \times10^{3} $     & $ [ 3.36 \pm0.13 ] \times10^{3} $     & $ [ 3.34 \pm0.10 ] \times10^{3} $     & $ [ 3.21 \pm0.11 ] \times10^{3} $     & $ [ 2.91 \pm0.11 ] \times10^{3} $     & $ [ 3.16 \pm0.15 ] \times10^{3} $     & $ [ 2.72 \pm0.08 ] \times10^{3} $     & $ [ 2.80 \pm0.12 ] \times10^{3} $     & $ [ 2.36 \pm0.09 ] \times10^{3} $     & $ [ 2.44 \pm0.10 ] \times10^{3} $     & $ [ 2.32 \pm0.09 ] \times10^{3} $     & $ [ 2.32 \pm0.07 ] \times10^{3} $     & $ [ 2.31 \pm0.10 ] \times10^{3} $     & $ [ 2.43 \pm0.10 ] \times10^{3} $     & $ [ 2.46 \pm0.08 ] \times10^{3} $     & $ [ 2.43 \pm0.09 ] \times10^{3} $     & $ [ 2.32 \pm0.09 ] \times10^{3} $     & $ [ 2.30 \pm0.08 ] \times10^{3} $     & $ [ 2.53 \pm0.11 ] \times10^{3} $     & $ [ 2.49 \pm0.08 ] \times10^{3} $     & $ [ 2.40 \pm0.08 ] \times10^{3} $     & $ [ 2.43 \pm0.10 ] \times10^{3} $     & $ [ 2.62 \pm0.18 ] \times10^{3} $     & $ [ 152.9 \pm0.8 ] \times10^{3} $    
------------------------------------------
Data                 & 173423                                & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 1797                                  & 6760                                  & 6230                                  & 5872                                  & 5368                                  & 4946                                  & 4656                                  & 4325                                  & 4113                                  & 3882                                  & 3696                                  & 3533                                  & 3383                                  & 3153                                  & 2948                                  & 2881                                  & 2712                                  & 2506                                  & 2441                                  & 2430                                  & 2382                                  & 2391                                  & 2501                                  & 2579                                  & 2499                                  & 2516                                  & 2494                                  & 2579                                  & 2535                                  & 2475                                  & 2495                                  & 143760                               
