------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 172.5 \pm0.9 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.05 \pm0.08 ] \times10^{3} $     & $ [ 4.22 \pm0.16 ] \times10^{3} $     & $ [ 3.47 \pm0.15 ] \times10^{3} $     & $ [ 3.30 \pm0.14 ] \times10^{3} $     & $ [ 3.03 \pm0.14 ] \times10^{3} $     & $ [ 2.64 \pm0.13 ] \times10^{3} $     & $ [ 2.53 \pm0.13 ] \times10^{3} $     & $ [ 2.24 \pm0.12 ] \times10^{3} $     & $ [ 2.02 \pm0.12 ] \times10^{3} $     & $ [ 1.88 \pm0.11 ] \times10^{3} $     & $ [ 2.04 \pm0.11 ] \times10^{3} $     & $ [ 1.81 \pm0.10 ] \times10^{3} $     & $ [ 1.52 \pm0.10 ] \times10^{3} $     & $ [ 1.57 \pm0.10 ] \times10^{3} $     & $ [ 1.21 \pm0.09 ] \times10^{3} $     & $ [ 1.25 \pm0.09 ] \times10^{3} $     & $ [ 1.15 \pm0.09 ] \times10^{3} $     & $ [ 1.08 \pm0.08 ] \times10^{3} $     & $ [ 1.07 \pm0.08 ] \times10^{3} $     & $ [ 0.99 \pm0.08 ] \times10^{3} $     & $ [ 0.97 \pm0.08 ] \times10^{3} $     & $ [ 1.05 \pm0.08 ] \times10^{3} $     & $ [ 0.94 \pm0.08 ] \times10^{3} $     & $ [ 1.07 \pm0.08 ] \times10^{3} $     & $ [ 0.95 \pm0.08 ] \times10^{3} $     & $ [ 0.88 \pm0.08 ] \times10^{3} $     & $ [ 0.87 \pm0.08 ] \times10^{3} $     & $ [ 0.82 \pm0.08 ] \times10^{3} $     & $ [ 0.92 \pm0.08 ] \times10^{3} $     & $ [ 0.98 \pm0.07 ] \times10^{3} $     & $ [ 0.81 \pm0.07 ] \times10^{3} $     & $ [ 31.4 \pm0.4 ] \times10^{3} $     
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 3.1 \pm3.1 $                       
Top                  & $ [ 10.11 \pm0.13 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 126 \pm17 $                         & $ 486 \pm32 $                         & $ 481 \pm31 $                         & $ 440 \pm31 $                         & $ 360 \pm30 $                         & $ 378 \pm29 $                         & $ 351 \pm29 $                         & $ 310 \pm28 $                         & $ 340 \pm28 $                         & $ 332 \pm27 $                         & $ 323 \pm27 $                         & $ 309 \pm27 $                         & $ 261 \pm25 $                         & $ 315 \pm26 $                         & $ 230 \pm24 $                         & $ 250 \pm24 $                         & $ 228 \pm24 $                         & $ 261 \pm24 $                         & $ 202 \pm22 $                         & $ 205 \pm22 $                         & $ 238 \pm23 $                         & $ 263 \pm23 $                         & $ 170 \pm24 $                         & $ 199 \pm23 $                         & $ 226 \pm23 $                         & $ 225 \pm23 $                         & $ 236 \pm23 $                         & $ 185 \pm22 $                         & $ 220 \pm23 $                         & $ 257 \pm24 $                         & $ 214 \pm23 $                         & $ [ 12.11 \pm0.19 ] \times10^{3} $   
Multiboson           & $ 819 \pm15 $                         & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 9.1 \pm1.6 $                        & $ 35.5 \pm3.2 $                       & $ 37.4 \pm3.3 $                       & $ 29.1 \pm2.9 $                       & $ 28.0 \pm2.9 $                       & $ 25.6 \pm2.7 $                       & $ 22.5 \pm2.5 $                       & $ 28.0 \pm2.9 $                       & $ 23.0 \pm2.7 $                       & $ 15.9 \pm2.1 $                       & $ 16.7 \pm2.2 $                       & $ 18.2 \pm2.3 $                       & $ 14.6 \pm2.1 $                       & $ 13.8 \pm2.0 $                       & $ 12.5 \pm2.0 $                       & $ 9.9 \pm1.6 $                        & $ 9.1 \pm1.7 $                        & $ 13.2 \pm2.1 $                       & $ 10.3 \pm1.7 $                       & $ 11.1 \pm1.8 $                       & $ 8.6 \pm1.6 $                        & $ 8.9 \pm1.6 $                        & $ 14.0 \pm2.1 $                       & $ 7.6 \pm1.5 $                        & $ 9.8 \pm1.7 $                        & $ 9.5 \pm1.7 $                        & $ 7.4 \pm1.4 $                        & $ 9.1 \pm1.6 $                        & $ 9.5 \pm1.7 $                        & $ 8.8 \pm1.6 $                        & $ 6.1 \pm1.3 $                        & $ 359 \pm10 $                        
W                    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 21 \pm21 $                         
------------------------------------------
Total                & $ [ 183.4 \pm0.9 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.18 \pm0.08 ] \times10^{3} $     & $ [ 4.74 \pm0.16 ] \times10^{3} $     & $ [ 3.99 \pm0.16 ] \times10^{3} $     & $ [ 3.77 \pm0.15 ] \times10^{3} $     & $ [ 3.42 \pm0.14 ] \times10^{3} $     & $ [ 3.05 \pm0.14 ] \times10^{3} $     & $ [ 2.90 \pm0.13 ] \times10^{3} $     & $ [ 2.57 \pm0.12 ] \times10^{3} $     & $ [ 2.39 \pm0.12 ] \times10^{3} $     & $ [ 2.23 \pm0.12 ] \times10^{3} $     & $ [ 2.38 \pm0.11 ] \times10^{3} $     & $ [ 2.14 \pm0.11 ] \times10^{3} $     & $ [ 1.80 \pm0.10 ] \times10^{3} $     & $ [ 1.89 \pm0.10 ] \times10^{3} $     & $ [ 1.45 \pm0.10 ] \times10^{3} $     & $ [ 1.51 \pm0.09 ] \times10^{3} $     & $ [ 1.38 \pm0.09 ] \times10^{3} $     & $ [ 1.36 \pm0.09 ] \times10^{3} $     & $ [ 1.32 \pm0.09 ] \times10^{3} $     & $ [ 1.21 \pm0.08 ] \times10^{3} $     & $ [ 1.22 \pm0.08 ] \times10^{3} $     & $ [ 1.32 \pm0.09 ] \times10^{3} $     & $ [ 1.12 \pm0.08 ] \times10^{3} $     & $ [ 1.27 \pm0.08 ] \times10^{3} $     & $ [ 1.18 \pm0.08 ] \times10^{3} $     & $ [ 1.11 \pm0.08 ] \times10^{3} $     & $ [ 1.11 \pm0.08 ] \times10^{3} $     & $ [ 1.01 \pm0.08 ] \times10^{3} $     & $ [ 1.15 \pm0.08 ] \times10^{3} $     & $ [ 1.24 \pm0.08 ] \times10^{3} $     & $ [ 1.03 \pm0.07 ] \times10^{3} $     & $ [ 43.9 \pm0.5 ] \times10^{3} $     
------------------------------------------
Data                 & 191605                                & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 1629                                  & 5878                                  & 5330                                  & 4743                                  & 4341                                  & 3847                                  & 3374                                  & 3181                                  & 2955                                  & 2708                                  & 2508                                  & 2334                                  & 2154                                  & 2022                                  & 1883                                  & 1817                                  & 1675                                  & 1612                                  & 1433                                  & 1428                                  & 1475                                  & 1501                                  & 1460                                  & 1452                                  & 1472                                  & 1415                                  & 1431                                  & 1426                                  & 1311                                  & 1361                                  & 1313                                  & 56155                                
------------------------------------------
