------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 14.05 \pm0.33 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 98 \pm24 $                          & $ [ 0.33 \pm0.06 ] \times10^{3} $     & $ [ 0.46 \pm0.07 ] \times10^{3} $     & $ [ 0.33 \pm0.05 ] \times10^{3} $     & $ [ 0.38 \pm0.06 ] \times10^{3} $     & $ [ 0.28 \pm0.05 ] \times10^{3} $     & $ 259 \pm35 $                         & $ [ 0.23 \pm0.05 ] \times10^{3} $     & $ [ 0.19 \pm0.04 ] \times10^{3} $     & $ [ 0.17 \pm0.04 ] \times10^{3} $     & $ [ 0.16 \pm0.04 ] \times10^{3} $     & $ [ 0.17 \pm0.04 ] \times10^{3} $     & $ 119 \pm32 $                         & $ [ 0.13 \pm0.04 ] \times10^{3} $     & $ 109 \pm30 $                         & $ 117 \pm24 $                         & $ 94 \pm31 $                          & $ 151 \pm35 $                         & $ [ 0.13 \pm0.04 ] \times10^{3} $     & $ 69 \pm29 $                          & $ [ 0.18 \pm0.04 ] \times10^{3} $     & $ 65 \pm22 $                          & $ [ 0.14 \pm0.05 ] \times10^{3} $     & $ 81 \pm23 $                          & $ 103 \pm24 $                         & $ [ 0.12 \pm0.04 ] \times10^{3} $     & $ [ 0.15 \pm0.04 ] \times10^{3} $     & $ 73 \pm19 $                          & $ 35 \pm18 $                          & $ [ 0.10 \pm0.04 ] \times10^{3} $     & $ 82 \pm26 $                          & $ [ 3.67 \pm0.19 ] \times10^{3} $    
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 2.2 \pm2.2 $                       
Top                  & $ [ 34.78 \pm0.25 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 461 \pm31 $                         & $ [ 1.80 \pm0.06 ] \times10^{3} $     & $ [ 1.62 \pm0.06 ] \times10^{3} $     & $ [ 1.49 \pm0.06 ] \times10^{3} $     & $ [ 1.44 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.23 \pm0.05 ] \times10^{3} $     & $ [ 1.17 \pm0.05 ] \times10^{3} $     & $ [ 1.22 \pm0.05 ] \times10^{3} $     & $ [ 1.12 \pm0.05 ] \times10^{3} $     & $ [ 1.14 \pm0.05 ] \times10^{3} $     & $ [ 1.10 \pm0.05 ] \times10^{3} $     & $ [ 0.99 \pm0.05 ] \times10^{3} $     & $ [ 0.82 \pm0.05 ] \times10^{3} $     & $ [ 0.96 \pm0.05 ] \times10^{3} $     & $ [ 0.88 \pm0.05 ] \times10^{3} $     & $ [ 0.82 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.71 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.73 \pm0.04 ] \times10^{3} $     & $ [ 0.82 \pm0.04 ] \times10^{3} $     & $ [ 0.78 \pm0.04 ] \times10^{3} $     & $ [ 0.79 \pm0.04 ] \times10^{3} $     & $ [ 0.80 \pm0.04 ] \times10^{3} $     & $ [ 0.77 \pm0.04 ] \times10^{3} $     & $ [ 0.73 \pm0.04 ] \times10^{3} $     & $ [ 0.74 \pm0.04 ] \times10^{3} $     & $ [ 0.67 \pm0.04 ] \times10^{3} $     & $ [ 44.1 \pm0.4 ] \times10^{3} $     
Multiboson           & $ 140 \pm7 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.7 \pm0.4 $                        & $ 4.1 \pm1.2 $                        & $ 5.0 \pm1.2 $                        & $ 3.5 \pm1.1 $                        & $ 3.2 \pm1.0 $                        & $ 3.4 \pm1.2 $                        & $ 2.7 \pm0.9 $                        & $ 4.7 \pm1.3 $                        & $ 3.2 \pm1.0 $                        & $ 2.5 \pm0.9 $                        & $ 3.5 \pm1.1 $                        & $ 2.8 \pm1.0 $                        & $ 3.8 \pm1.2 $                        & $ 1.4 \pm0.7 $                        & $ 2.9 \pm1.0 $                        & $ 1.7 \pm0.8 $                        & $ 1.6 \pm0.7 $                        & $ 1.3 \pm0.6 $                        & $ 1.0 \pm0.5 $                        & $ 1.9 \pm0.9 $                        & $ 2.4 \pm0.9 $                        & $ 1.7 \pm0.7 $                        & $ 2.0 \pm0.9 $                        & $ 0.4 \pm0.4 $                        & $ 0.7 \pm0.5 $                        & $ 0.35 \pm0.30 $                      & $ 2.1 \pm0.9 $                        & $ 1.5 \pm0.6 $                        & $ 0.24 \pm0.24 $                      & $ 0.49 \pm0.35 $                      & $ 1.4 \pm0.6 $                        & $ 69 \pm5 $                          
W                    & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 29 \pm29 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.08 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 49.0 \pm0.4 ] \times10^{3} $      & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.56 \pm0.04 ] \times10^{3} $     & $ [ 2.13 \pm0.08 ] \times10^{3} $     & $ [ 2.09 \pm0.09 ] \times10^{3} $     & $ [ 1.82 \pm0.08 ] \times10^{3} $     & $ [ 1.82 \pm0.08 ] \times10^{3} $     & $ [ 1.65 \pm0.07 ] \times10^{3} $     & $ [ 1.49 \pm0.06 ] \times10^{3} $     & $ [ 1.41 \pm0.07 ] \times10^{3} $     & $ [ 1.41 \pm0.07 ] \times10^{3} $     & $ [ 1.30 \pm0.07 ] \times10^{3} $     & $ [ 1.31 \pm0.07 ] \times10^{3} $     & $ [ 1.28 \pm0.06 ] \times10^{3} $     & $ [ 1.11 \pm0.06 ] \times10^{3} $     & $ [ 0.95 \pm0.06 ] \times10^{3} $     & $ [ 1.07 \pm0.06 ] \times10^{3} $     & $ [ 1.00 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.06 ] \times10^{3} $     & $ [ 0.84 \pm0.06 ] \times10^{3} $     & $ [ 0.86 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.06 ] \times10^{3} $     & $ [ 0.85 \pm0.05 ] \times10^{3} $     & $ [ 0.87 \pm0.06 ] \times10^{3} $     & $ [ 0.90 \pm0.05 ] \times10^{3} $     & $ [ 0.88 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.06 ] \times10^{3} $     & $ [ 0.94 \pm0.06 ] \times10^{3} $     & $ [ 0.84 \pm0.05 ] \times10^{3} $     & $ [ 0.76 \pm0.05 ] \times10^{3} $     & $ [ 0.84 \pm0.06 ] \times10^{3} $     & $ [ 0.75 \pm0.05 ] \times10^{3} $     & $ [ 48.0 \pm0.4 ] \times10^{3} $     
------------------------------------------
Data                 & 60480                                 & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 702                                   & 2586                                  & 2486                                  & 2272                                  & 2065                                  & 1924                                  & 1773                                  & 1615                                  & 1491                                  & 1504                                  & 1441                                  & 1326                                  & 1242                                  & 1191                                  & 1110                                  & 1062                                  & 1008                                  & 969                                   & 973                                   & 904                                   & 904                                   & 894                                   & 969                                   & 982                                   & 952                                   & 923                                   & 911                                   & 978                                   & 893                                   & 901                                   & 881                                   & 48091                                
------------------------------------------
