------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 185.2 \pm1.0 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.14 \pm0.08 ] \times10^{3} $     & $ [ 4.61 \pm0.17 ] \times10^{3} $     & $ [ 3.88 \pm0.17 ] \times10^{3} $     & $ [ 3.71 \pm0.15 ] \times10^{3} $     & $ [ 3.34 \pm0.15 ] \times10^{3} $     & $ [ 2.81 \pm0.14 ] \times10^{3} $     & $ [ 2.81 \pm0.13 ] \times10^{3} $     & $ [ 2.50 \pm0.13 ] \times10^{3} $     & $ [ 2.25 \pm0.12 ] \times10^{3} $     & $ [ 2.04 \pm0.12 ] \times10^{3} $     & $ [ 2.20 \pm0.12 ] \times10^{3} $     & $ [ 1.96 \pm0.11 ] \times10^{3} $     & $ [ 1.64 \pm0.10 ] \times10^{3} $     & $ [ 1.67 \pm0.10 ] \times10^{3} $     & $ [ 1.31 \pm0.10 ] \times10^{3} $     & $ [ 1.38 \pm0.09 ] \times10^{3} $     & $ [ 1.28 \pm0.09 ] \times10^{3} $     & $ [ 1.23 \pm0.09 ] \times10^{3} $     & $ [ 1.20 \pm0.09 ] \times10^{3} $     & $ [ 1.09 \pm0.08 ] \times10^{3} $     & $ [ 1.15 \pm0.09 ] \times10^{3} $     & $ [ 1.10 \pm0.08 ] \times10^{3} $     & $ [ 1.08 \pm0.09 ] \times10^{3} $     & $ [ 1.16 \pm0.08 ] \times10^{3} $     & $ [ 1.02 \pm0.08 ] \times10^{3} $     & $ [ 0.97 \pm0.09 ] \times10^{3} $     & $ [ 1.01 \pm0.09 ] \times10^{3} $     & $ [ 0.83 \pm0.08 ] \times10^{3} $     & $ [ 0.97 \pm0.08 ] \times10^{3} $     & $ [ 1.06 \pm0.08 ] \times10^{3} $     & $ [ 0.85 \pm0.07 ] \times10^{3} $     & $ [ 34.9 \pm0.5 ] \times10^{3} $     
#gamma+jets          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 5 \pm4 $                           
Top                  & $ [ 44.90 \pm0.28 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 600 \pm35 $                         & $ [ 2.29 \pm0.07 ] \times10^{3} $     & $ [ 2.08 \pm0.07 ] \times10^{3} $     & $ [ 1.92 \pm0.07 ] \times10^{3} $     & $ [ 1.80 \pm0.07 ] \times10^{3} $     & $ [ 1.75 \pm0.06 ] \times10^{3} $     & $ [ 1.59 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 1.58 \pm0.06 ] \times10^{3} $     & $ [ 1.45 \pm0.06 ] \times10^{3} $     & $ [ 1.48 \pm0.06 ] \times10^{3} $     & $ [ 1.42 \pm0.06 ] \times10^{3} $     & $ [ 1.26 \pm0.05 ] \times10^{3} $     & $ [ 1.12 \pm0.05 ] \times10^{3} $     & $ [ 1.17 \pm0.05 ] \times10^{3} $     & $ [ 1.12 \pm0.05 ] \times10^{3} $     & $ [ 1.05 \pm0.05 ] \times10^{3} $     & $ [ 1.07 \pm0.05 ] \times10^{3} $     & $ [ 0.92 \pm0.05 ] \times10^{3} $     & $ [ 1.01 \pm0.05 ] \times10^{3} $     & $ [ 0.99 \pm0.05 ] \times10^{3} $     & $ [ 1.02 \pm0.05 ] \times10^{3} $     & $ [ 0.91 \pm0.05 ] \times10^{3} $     & $ [ 1.01 \pm0.05 ] \times10^{3} $     & $ [ 1.01 \pm0.05 ] \times10^{3} $     & $ [ 1.00 \pm0.05 ] \times10^{3} $     & $ [ 1.02 \pm0.05 ] \times10^{3} $     & $ [ 0.94 \pm0.05 ] \times10^{3} $     & $ [ 0.95 \pm0.05 ] \times10^{3} $     & $ [ 0.97 \pm0.05 ] \times10^{3} $     & $ [ 0.89 \pm0.05 ] \times10^{3} $     & $ [ 56.2 \pm0.4 ] \times10^{3} $     
Multiboson           & $ 953 \pm17 $                         & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 10.9 \pm1.7 $                       & $ 39.1 \pm3.4 $                       & $ 40.1 \pm3.4 $                       & $ 34.5 \pm3.2 $                       & $ 30.8 \pm3.0 $                       & $ 29.4 \pm3.0 $                       & $ 25.7 \pm2.7 $                       & $ 31.7 \pm3.1 $                       & $ 29.8 \pm3.0 $                       & $ 19.4 \pm2.4 $                       & $ 20.3 \pm2.5 $                       & $ 21.2 \pm2.6 $                       & $ 19.0 \pm2.4 $                       & $ 14.6 \pm2.1 $                       & $ 15.1 \pm2.2 $                       & $ 11.8 \pm1.9 $                       & $ 11.6 \pm1.9 $                       & $ 13.2 \pm2.0 $                       & $ 10.0 \pm1.7 $                       & $ 12.6 \pm2.0 $                       & $ 12.0 \pm1.9 $                       & $ 11.9 \pm1.9 $                       & $ 15.0 \pm2.2 $                       & $ 7.8 \pm1.5 $                        & $ 10.0 \pm1.7 $                       & $ 10.0 \pm1.7 $                       & $ 8.9 \pm1.6 $                        & $ 11.9 \pm2.2 $                       & $ 9.7 \pm1.7 $                        & $ 9.0 \pm1.7 $                        & $ 8.5 \pm1.6 $                        & $ 423 \pm11 $                        
W                    & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 29 \pm29 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.12 \pm0.08 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 231.1 \pm1.0 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.75 \pm0.09 ] \times10^{3} $     & $ [ 6.94 \pm0.18 ] \times10^{3} $     & $ [ 6.00 \pm0.18 ] \times10^{3} $     & $ [ 5.66 \pm0.17 ] \times10^{3} $     & $ [ 5.17 \pm0.17 ] \times10^{3} $     & $ [ 4.59 \pm0.15 ] \times10^{3} $     & $ [ 4.43 \pm0.14 ] \times10^{3} $     & $ [ 4.00 \pm0.14 ] \times10^{3} $     & $ [ 3.86 \pm0.14 ] \times10^{3} $     & $ [ 3.51 \pm0.13 ] \times10^{3} $     & $ [ 3.70 \pm0.13 ] \times10^{3} $     & $ [ 3.40 \pm0.12 ] \times10^{3} $     & $ [ 2.92 \pm0.12 ] \times10^{3} $     & $ [ 2.80 \pm0.12 ] \times10^{3} $     & $ [ 2.49 \pm0.11 ] \times10^{3} $     & $ [ 2.51 \pm0.10 ] \times10^{3} $     & $ [ 2.35 \pm0.11 ] \times10^{3} $     & $ [ 2.31 \pm0.10 ] \times10^{3} $     & $ [ 2.16 \pm0.11 ] \times10^{3} $     & $ [ 2.11 \pm0.10 ] \times10^{3} $     & $ [ 2.16 \pm0.10 ] \times10^{3} $     & $ [ 2.13 \pm0.10 ] \times10^{3} $     & $ [ 2.01 \pm0.10 ] \times10^{3} $     & $ [ 2.18 \pm0.10 ] \times10^{3} $     & $ [ 2.04 \pm0.09 ] \times10^{3} $     & $ [ 2.01 \pm0.10 ] \times10^{3} $     & $ [ 2.04 \pm0.10 ] \times10^{3} $     & $ [ 1.79 \pm0.09 ] \times10^{3} $     & $ [ 1.93 \pm0.09 ] \times10^{3} $     & $ [ 2.05 \pm0.10 ] \times10^{3} $     & $ [ 1.75 \pm0.09 ] \times10^{3} $     & $ [ 91.7 \pm0.6 ] \times10^{3} $     
------------------------------------------
Data                 & 249188                                & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 2308                                  & 8372                                  & 7750                                  & 6925                                  & 6340                                  & 5694                                  & 5110                                  & 4765                                  & 4399                                  & 4171                                  & 3916                                  & 3635                                  & 3361                                  & 3173                                  & 2968                                  & 2855                                  & 2656                                  & 2562                                  & 2382                                  & 2305                                  & 2357                                  & 2373                                  & 2404                                  & 2420                                  & 2405                                  & 2311                                  & 2312                                  & 2385                                  & 2192                                  & 2241                                  & 2176                                  & 103479                               
------------------------------------------
