------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 17140 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 77.2 \pm0.5 ] \times10^{3} $      & $ [ 280.6 \pm1.0 ] \times10^{3} $     & $ [ 244.9 \pm1.0 ] \times10^{3} $     & $ [ 217.0 \pm1.0 ] \times10^{3} $     & $ [ 192.9 \pm0.9 ] \times10^{3} $     & $ [ 169.8 \pm0.9 ] \times10^{3} $     & $ [ 155.2 \pm0.9 ] \times10^{3} $     & $ [ 141.0 \pm0.8 ] \times10^{3} $     & $ [ 129.2 \pm0.8 ] \times10^{3} $     & $ [ 118.4 \pm0.8 ] \times10^{3} $     & $ [ 109.5 \pm0.7 ] \times10^{3} $     & $ [ 99.4 \pm0.7 ] \times10^{3} $      & $ [ 90.7 \pm0.7 ] \times10^{3} $      & $ [ 84.6 \pm0.6 ] \times10^{3} $      & $ [ 75.6 \pm0.6 ] \times10^{3} $      & $ [ 70.3 \pm0.6 ] \times10^{3} $      & $ [ 65.0 \pm0.6 ] \times10^{3} $      & $ [ 60.7 \pm0.5 ] \times10^{3} $      & $ [ 55.6 \pm0.5 ] \times10^{3} $      & $ [ 52.3 \pm0.5 ] \times10^{3} $      & $ [ 51.5 \pm0.5 ] \times10^{3} $      & $ [ 50.7 \pm0.5 ] \times10^{3} $      & $ [ 49.4 \pm0.5 ] \times10^{3} $      & $ [ 49.4 \pm0.5 ] \times10^{3} $      & $ [ 47.3 \pm0.5 ] \times10^{3} $      & $ [ 46.7 \pm0.5 ] \times10^{3} $      & $ [ 44.6 \pm0.5 ] \times10^{3} $      & $ [ 42.8 \pm0.5 ] \times10^{3} $      & $ [ 40.7 \pm0.5 ] \times10^{3} $      & $ [ 40.1 \pm0.5 ] \times10^{3} $      & $ [ 38.6 \pm0.4 ] \times10^{3} $      & $ [ 1189.2 \pm2.6 ] \times10^{3} $   
#gamma+jets          & $ [ 0.11 \pm0.11 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 3.1 \pm3.1 $                       
Top                  & $ [ 11.46 \pm0.14 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 174 \pm19 $                         & $ [ 0.65 \pm0.04 ] \times10^{3} $     & $ 581 \pm35 $                         & $ 556 \pm35 $                         & $ 473 \pm35 $                         & $ 478 \pm33 $                         & $ 492 \pm33 $                         & $ 370 \pm32 $                         & $ 456 \pm32 $                         & $ 424 \pm31 $                         & $ 434 \pm31 $                         & $ 409 \pm31 $                         & $ 371 \pm29 $                         & $ 388 \pm29 $                         & $ 303 \pm27 $                         & $ 323 \pm28 $                         & $ 312 \pm27 $                         & $ 343 \pm27 $                         & $ 294 \pm27 $                         & $ 301 \pm26 $                         & $ 281 \pm27 $                         & $ 309 \pm27 $                         & $ 268 \pm28 $                         & $ 262 \pm27 $                         & $ 314 \pm28 $                         & $ 309 \pm27 $                         & $ 307 \pm28 $                         & $ 268 \pm26 $                         & $ 305 \pm27 $                         & $ 326 \pm27 $                         & $ 323 \pm27 $                         & $ [ 19.27 \pm0.24 ] \times10^{3} $   
Multiboson           & $ [ 11.52 \pm0.06 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 115 \pm6 $                          & $ 453 \pm12 $                         & $ 416 \pm12 $                         & $ 402 \pm12 $                         & $ 373 \pm11 $                         & $ 358 \pm11 $                         & $ 334 \pm11 $                         & $ 331 \pm11 $                         & $ 308 \pm10 $                         & $ 298 \pm10 $                         & $ 298 \pm10 $                         & $ 270 \pm9 $                          & $ 246 \pm9 $                          & $ 226 \pm9 $                          & $ 229 \pm9 $                          & $ 206 \pm8 $                          & $ 209 \pm8 $                          & $ 188 \pm8 $                          & $ 181 \pm8 $                          & $ 168 \pm7 $                          & $ 176 \pm8 $                          & $ 189 \pm8 $                          & $ 188 \pm8 $                          & $ 167 \pm7 $                          & $ 200 \pm8 $                          & $ 184 \pm8 $                          & $ 181 \pm8 $                          & $ 182 \pm8 $                          & $ 199 \pm8 $                          & $ 199 \pm8 $                          & $ 183 \pm8 $                          & $ [ 8.03 \pm0.05 ] \times10^{3} $    
W                    & $ [ 0.70 \pm0.21 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 22 \pm22 $                          & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 21 \pm21 $                         
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.2 \pm1.2 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                           
------------------------------------------
Total                & $ [ 17164 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 77.5 \pm0.5 ] \times10^{3} $      & $ [ 281.8 \pm1.0 ] \times10^{3} $     & $ [ 245.9 \pm1.0 ] \times10^{3} $     & $ [ 217.9 \pm1.0 ] \times10^{3} $     & $ [ 193.8 \pm0.9 ] \times10^{3} $     & $ [ 170.6 \pm0.9 ] \times10^{3} $     & $ [ 156.0 \pm0.9 ] \times10^{3} $     & $ [ 141.8 \pm0.8 ] \times10^{3} $     & $ [ 129.9 \pm0.8 ] \times10^{3} $     & $ [ 119.1 \pm0.8 ] \times10^{3} $     & $ [ 110.3 \pm0.7 ] \times10^{3} $     & $ [ 100.1 \pm0.7 ] \times10^{3} $     & $ [ 91.3 \pm0.7 ] \times10^{3} $      & $ [ 85.2 \pm0.6 ] \times10^{3} $      & $ [ 76.1 \pm0.6 ] \times10^{3} $      & $ [ 70.8 \pm0.6 ] \times10^{3} $      & $ [ 65.5 \pm0.6 ] \times10^{3} $      & $ [ 62.5 \pm1.3 ] \times10^{3} $      & $ [ 56.1 \pm0.5 ] \times10^{3} $      & $ [ 52.8 \pm0.5 ] \times10^{3} $      & $ [ 52.1 \pm0.5 ] \times10^{3} $      & $ [ 51.2 \pm0.5 ] \times10^{3} $      & $ [ 49.9 \pm0.5 ] \times10^{3} $      & $ [ 49.9 \pm0.5 ] \times10^{3} $      & $ [ 47.8 \pm0.5 ] \times10^{3} $      & $ [ 47.2 \pm0.5 ] \times10^{3} $      & $ [ 45.1 \pm0.5 ] \times10^{3} $      & $ [ 43.3 \pm0.5 ] \times10^{3} $      & $ [ 41.2 \pm0.5 ] \times10^{3} $      & $ [ 40.7 \pm0.5 ] \times10^{3} $      & $ [ 39.1 \pm0.4 ] \times10^{3} $      & $ [ 1216.5 \pm2.6 ] \times10^{3} $   
------------------------------------------
Data                 & 18209208                              & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 86904                                 & 313214                                & 269143                                & 239615                                & 211999                                & 187012                                & 164249                                & 147857                                & 133003                                & 121587                                & 111336                                & 102116                                & 93307                                 & 84334                                 & 77357                                 & 71669                                 & 65795                                 & 61467                                 & 56697                                 & 53404                                 & 53447                                 & 53915                                 & 53241                                 & 52369                                 & 51140                                 & 49652                                 & 48197                                 & 46259                                 & 44996                                 & 43096                                 & 41595                                 & 1301635                              
