------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 1159.6 \pm1.9 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 6.71 \pm0.18 ] \times10^{3} $     & $ [ 24.02 \pm0.35 ] \times10^{3} $    & $ [ 20.49 \pm0.34 ] \times10^{3} $    & $ [ 18.00 \pm0.32 ] \times10^{3} $    & $ [ 16.50 \pm0.31 ] \times10^{3} $    & $ [ 13.80 \pm0.29 ] \times10^{3} $    & $ [ 13.61 \pm0.30 ] \times10^{3} $    & $ [ 12.07 \pm0.29 ] \times10^{3} $    & $ [ 11.11 \pm0.28 ] \times10^{3} $    & $ [ 10.36 \pm0.27 ] \times10^{3} $    & $ [ 9.56 \pm0.28 ] \times10^{3} $     & $ [ 8.51 \pm0.26 ] \times10^{3} $     & $ [ 8.05 \pm0.25 ] \times10^{3} $     & $ [ 7.28 \pm0.24 ] \times10^{3} $     & $ [ 7.00 \pm0.25 ] \times10^{3} $     & $ [ 6.23 \pm0.23 ] \times10^{3} $     & $ [ 6.07 \pm0.23 ] \times10^{3} $     & $ [ 5.91 \pm0.24 ] \times10^{3} $     & $ [ 5.27 \pm0.22 ] \times10^{3} $     & $ [ 5.03 \pm0.21 ] \times10^{3} $     & $ [ 5.38 \pm0.22 ] \times10^{3} $     & $ [ 5.01 \pm0.21 ] \times10^{3} $     & $ [ 5.06 \pm0.22 ] \times10^{3} $     & $ [ 4.87 \pm0.20 ] \times10^{3} $     & $ [ 4.88 \pm0.21 ] \times10^{3} $     & $ [ 4.58 \pm0.21 ] \times10^{3} $     & $ [ 4.75 \pm0.21 ] \times10^{3} $     & $ [ 4.36 \pm0.20 ] \times10^{3} $     & $ [ 4.17 \pm0.19 ] \times10^{3} $     & $ [ 4.17 \pm0.20 ] \times10^{3} $     & $ [ 4.28 \pm0.20 ] \times10^{3} $     & $ [ 141.4 \pm1.2 ] \times10^{3} $    
#gamma+jets          & $ [ 0.34 \pm0.18 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm6 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.04 \pm0.04 $                      & $ 16 \pm9 $                          
Top                  & $ [ 40.34 \pm0.27 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 569 \pm35 $                         & $ [ 2.27 \pm0.07 ] \times10^{3} $     & $ [ 2.12 \pm0.07 ] \times10^{3} $     & $ [ 1.97 \pm0.07 ] \times10^{3} $     & $ [ 1.87 \pm0.06 ] \times10^{3} $     & $ [ 1.80 \pm0.06 ] \times10^{3} $     & $ [ 1.60 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.59 \pm0.06 ] \times10^{3} $     & $ [ 1.52 \pm0.06 ] \times10^{3} $     & $ [ 1.50 \pm0.06 ] \times10^{3} $     & $ [ 1.42 \pm0.06 ] \times10^{3} $     & $ [ 1.31 \pm0.06 ] \times10^{3} $     & $ [ 1.13 \pm0.05 ] \times10^{3} $     & $ [ 1.27 \pm0.05 ] \times10^{3} $     & $ [ 1.19 \pm0.05 ] \times10^{3} $     & $ [ 1.17 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 0.93 \pm0.05 ] \times10^{3} $     & $ [ 1.03 \pm0.05 ] \times10^{3} $     & $ [ 1.11 \pm0.05 ] \times10^{3} $     & $ [ 1.07 \pm0.05 ] \times10^{3} $     & $ [ 1.09 \pm0.05 ] \times10^{3} $     & $ [ 1.11 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 1.11 \pm0.05 ] \times10^{3} $     & $ [ 1.11 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 1.04 \pm0.05 ] \times10^{3} $     & $ [ 1.06 \pm0.05 ] \times10^{3} $     & $ [ 0.99 \pm0.05 ] \times10^{3} $     & $ [ 71.5 \pm0.5 ] \times10^{3} $     
Multiboson           & $ [ 8.93 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 53 \pm5 $                           & $ 201 \pm9 $                          & $ 184 \pm9 $                          & $ 161 \pm8 $                          & $ 146 \pm8 $                          & $ 136 \pm8 $                          & $ 114 \pm7 $                          & $ 116 \pm7 $                          & $ 108 \pm7 $                          & $ 113 \pm7 $                          & $ 98 \pm6 $                           & $ 77 \pm6 $                           & $ 84 \pm6 $                           & $ 72 \pm6 $                           & $ 72 \pm5 $                           & $ 66 \pm5 $                           & $ 57 \pm5 $                           & $ 53 \pm5 $                           & $ 46 \pm4 $                           & $ 56 \pm5 $                           & $ 57 \pm5 $                           & $ 48 \pm4 $                           & $ 60 \pm5 $                           & $ 50 \pm5 $                           & $ 45 \pm4 $                           & $ 47 \pm4 $                           & $ 52 \pm5 $                           & $ 48 \pm4 $                           & $ 48 \pm4 $                           & $ 40 \pm4 $                           & $ 44 \pm4 $                           & $ 1972 \pm28 $                       
W                    & $ [ 1.72 \pm0.33 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.08 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.07 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.05 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.64 \pm0.21 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.4 \pm1.4 ] \times10^{3} $       & $ [ 0.23 \pm0.21 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 1211.0 \pm2.0 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 7.33 \pm0.18 ] \times10^{3} $     & $ [ 26.50 \pm0.35 ] \times10^{3} $    & $ [ 22.79 \pm0.35 ] \times10^{3} $    & $ [ 20.13 \pm0.33 ] \times10^{3} $    & $ [ 18.58 \pm0.33 ] \times10^{3} $    & $ [ 15.74 \pm0.30 ] \times10^{3} $    & $ [ 15.39 \pm0.32 ] \times10^{3} $    & $ [ 13.76 \pm0.30 ] \times10^{3} $    & $ [ 12.88 \pm0.30 ] \times10^{3} $    & $ [ 11.99 \pm0.28 ] \times10^{3} $    & $ [ 11.25 \pm0.29 ] \times10^{3} $    & $ [ 10.01 \pm0.27 ] \times10^{3} $    & $ [ 9.45 \pm0.26 ] \times10^{3} $     & $ [ 8.49 \pm0.24 ] \times10^{3} $     & $ [ 8.39 \pm0.26 ] \times10^{3} $     & $ [ 7.49 \pm0.24 ] \times10^{3} $     & $ [ 7.37 \pm0.25 ] \times10^{3} $     & $ [ 7.02 \pm0.24 ] \times10^{3} $     & $ [ 6.25 \pm0.23 ] \times10^{3} $     & $ [ 6.12 \pm0.22 ] \times10^{3} $     & $ [ 6.54 \pm0.22 ] \times10^{3} $     & $ [ 6.14 \pm0.22 ] \times10^{3} $     & $ [ 6.21 \pm0.22 ] \times10^{3} $     & $ [ 6.03 \pm0.21 ] \times10^{3} $     & $ [ 5.98 \pm0.22 ] \times10^{3} $     & $ [ 5.84 \pm0.23 ] \times10^{3} $     & $ [ 6.02 \pm0.23 ] \times10^{3} $     & $ [ 5.47 \pm0.20 ] \times10^{3} $     & $ [ 5.30 \pm0.20 ] \times10^{3} $     & $ [ 5.27 \pm0.21 ] \times10^{3} $     & $ [ 6.8 \pm1.4 ] \times10^{3} $       & $ [ 215.8 \pm1.3 ] \times10^{3} $    
------------------------------------------
Data                 & 1359160                               & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 8035                                  & 29504                                 & 25648                                 & 23277                                 & 20797                                 & 18421                                 & 16721                                 & 15166                                 & 13964                                 & 12743                                 & 11877                                 & 11334                                 & 10430                                 & 9684                                  & 9121                                  & 8383                                  & 7962                                  & 7572                                  & 7102                                  & 6898                                  & 6774                                  & 6817                                  & 6986                                  & 7082                                  & 6698                                  & 6601                                  & 6535                                  & 6384                                  & 6128                                  & 6181                                  & 5919                                  & 231448                               
