------------------------------------------
Process             Events after each cut
------------------------------------------
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
------------------------------------------
DY                   & $ [ 18449 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 84.6 \pm0.6 ] \times10^{3} $      & $ [ 307.0 \pm1.1 ] \times10^{3} $     & $ [ 267.8 \pm1.1 ] \times10^{3} $     & $ [ 237.0 \pm1.0 ] \times10^{3} $     & $ [ 211.0 \pm1.0 ] \times10^{3} $     & $ [ 185.1 \pm0.9 ] \times10^{3} $     & $ [ 170.1 \pm0.9 ] \times10^{3} $     & $ [ 154.5 \pm0.9 ] \times10^{3} $     & $ [ 141.5 \pm0.8 ] \times10^{3} $     & $ [ 129.9 \pm0.8 ] \times10^{3} $     & $ [ 120.0 \pm0.8 ] \times10^{3} $     & $ [ 108.6 \pm0.7 ] \times10^{3} $     & $ [ 99.7 \pm0.7 ] \times10^{3} $      & $ [ 92.6 \pm0.7 ] \times10^{3} $      & $ [ 83.3 \pm0.7 ] \times10^{3} $      & $ [ 77.1 \pm0.6 ] \times10^{3} $      & $ [ 71.5 \pm0.6 ] \times10^{3} $      & $ [ 67.0 \pm0.6 ] \times10^{3} $      & $ [ 61.2 \pm0.6 ] \times10^{3} $      & $ [ 57.7 \pm0.5 ] \times10^{3} $      & $ [ 57.3 \pm0.5 ] \times10^{3} $      & $ [ 56.2 \pm0.5 ] \times10^{3} $      & $ [ 54.7 \pm0.5 ] \times10^{3} $      & $ [ 54.9 \pm0.5 ] \times10^{3} $      & $ [ 52.6 \pm0.5 ] \times10^{3} $      & $ [ 51.7 \pm0.5 ] \times10^{3} $      & $ [ 49.7 \pm0.5 ] \times10^{3} $      & $ [ 47.7 \pm0.5 ] \times10^{3} $      & $ [ 45.3 \pm0.5 ] \times10^{3} $      & $ [ 44.7 \pm0.5 ] \times10^{3} $      & $ [ 43.3 \pm0.5 ] \times10^{3} $      & $ [ 1341.6 \pm2.9 ] \times10^{3} $   
#gamma+jets          & $ [ 0.45 \pm0.21 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 8 \pm8 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 6 \pm6 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0.04 \pm0.04 $                      & $ 20 \pm10 $                         
Top                  & $ [ 51.81 \pm0.30 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.75 \pm0.04 ] \times10^{3} $     & $ [ 2.90 \pm0.08 ] \times10^{3} $     & $ [ 2.73 \pm0.08 ] \times10^{3} $     & $ [ 2.52 \pm0.07 ] \times10^{3} $     & $ [ 2.35 \pm0.07 ] \times10^{3} $     & $ [ 2.24 \pm0.07 ] \times10^{3} $     & $ [ 2.10 \pm0.07 ] \times10^{3} $     & $ [ 1.89 \pm0.07 ] \times10^{3} $     & $ [ 2.04 \pm0.07 ] \times10^{3} $     & $ [ 1.91 \pm0.07 ] \times10^{3} $     & $ [ 1.89 \pm0.07 ] \times10^{3} $     & $ [ 1.85 \pm0.07 ] \times10^{3} $     & $ [ 1.68 \pm0.06 ] \times10^{3} $     & $ [ 1.54 \pm0.06 ] \times10^{3} $     & $ [ 1.59 \pm0.06 ] \times10^{3} $     & $ [ 1.56 \pm0.06 ] \times10^{3} $     & $ [ 1.47 \pm0.06 ] \times10^{3} $     & $ [ 1.35 \pm0.06 ] \times10^{3} $     & $ [ 1.24 \pm0.05 ] \times10^{3} $     & $ [ 1.32 \pm0.06 ] \times10^{3} $     & $ [ 1.38 \pm0.06 ] \times10^{3} $     & $ [ 1.40 \pm0.06 ] \times10^{3} $     & $ [ 1.37 \pm0.06 ] \times10^{3} $     & $ [ 1.39 \pm0.06 ] \times10^{3} $     & $ [ 1.33 \pm0.06 ] \times10^{3} $     & $ [ 1.45 \pm0.06 ] \times10^{3} $     & $ [ 1.43 \pm0.06 ] \times10^{3} $     & $ [ 1.33 \pm0.06 ] \times10^{3} $     & $ [ 1.34 \pm0.06 ] \times10^{3} $     & $ [ 1.43 \pm0.06 ] \times10^{3} $     & $ [ 1.30 \pm0.06 ] \times10^{3} $     & $ [ 90.9 \pm0.5 ] \times10^{3} $     
Multiboson           & $ [ 20.45 \pm0.09 ] \times10^{3} $    & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 168 \pm8 $                          & $ 654 \pm15 $                         & $ 603 \pm15 $                         & $ 560 \pm14 $                         & $ 518 \pm14 $                         & $ 495 \pm13 $                         & $ 448 \pm13 $                         & $ 446 \pm13 $                         & $ 413 \pm12 $                         & $ 411 \pm12 $                         & $ 397 \pm12 $                         & $ 344 \pm11 $                         & $ 329 \pm11 $                         & $ 300 \pm10 $                         & $ 300 \pm10 $                         & $ 271 \pm10 $                         & $ 266 \pm10 $                         & $ 242 \pm9 $                          & $ 227 \pm9 $                          & $ 223 \pm9 $                          & $ 231 \pm9 $                          & $ 235 \pm9 $                          & $ 249 \pm9 $                          & $ 218 \pm9 $                          & $ 246 \pm9 $                          & $ 231 \pm9 $                          & $ 235 \pm9 $                          & $ 229 \pm9 $                          & $ 247 \pm9 $                          & $ 239 \pm9 $                          & $ 226 \pm9 $                          & $ [ 9.99 \pm0.06 ] \times10^{3} $    
W                    & $ [ 2.6 \pm0.4 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.09 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.06 \pm0.06 ] \times10^{3} $     & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.08 \pm0.06 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.04 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 0.10 \pm0.07 ] \times10^{3} $     & $ [ 0.05 \pm0.05 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.05 \pm0.04 ] \times10^{3} $     & $ 0 \pm0 $                            & $ [ 0.07 \pm0.07 ] \times10^{3} $     & $ [ 0.67 \pm0.21 ] \times10^{3} $    
QCD                  & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.2 \pm1.2 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 1.4 \pm1.4 ] \times10^{3} $       & $ [ 0.23 \pm0.21 ] \times10^{3} $    
------------------------------------------
Total                & $ [ 18525 \pm7 ] \times10^{3} $       & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ 0 \pm0 $                            & $ [ 85.5 \pm0.6 ] \times10^{3} $      & $ [ 310.6 \pm1.1 ] \times10^{3} $     & $ [ 271.1 \pm1.1 ] \times10^{3} $     & $ [ 240.1 \pm1.0 ] \times10^{3} $     & $ [ 213.9 \pm1.0 ] \times10^{3} $     & $ [ 187.8 \pm0.9 ] \times10^{3} $     & $ [ 172.7 \pm0.9 ] \times10^{3} $     & $ [ 156.9 \pm0.9 ] \times10^{3} $     & $ [ 144.0 \pm0.8 ] \times10^{3} $     & $ [ 132.2 \pm0.8 ] \times10^{3} $     & $ [ 122.4 \pm0.8 ] \times10^{3} $     & $ [ 110.8 \pm0.8 ] \times10^{3} $     & $ [ 101.7 \pm0.7 ] \times10^{3} $     & $ [ 94.4 \pm0.7 ] \times10^{3} $      & $ [ 85.2 \pm0.7 ] \times10^{3} $      & $ [ 79.0 \pm0.6 ] \times10^{3} $      & $ [ 73.3 \pm0.6 ] \times10^{3} $      & $ [ 69.9 \pm1.4 ] \times10^{3} $      & $ [ 62.7 \pm0.6 ] \times10^{3} $      & $ [ 59.3 \pm0.6 ] \times10^{3} $      & $ [ 59.0 \pm0.6 ] \times10^{3} $      & $ [ 57.8 \pm0.5 ] \times10^{3} $      & $ [ 56.4 \pm0.5 ] \times10^{3} $      & $ [ 56.5 \pm0.5 ] \times10^{3} $      & $ [ 54.1 \pm0.5 ] \times10^{3} $      & $ [ 53.4 \pm0.5 ] \times10^{3} $      & $ [ 51.5 \pm0.5 ] \times10^{3} $      & $ [ 49.3 \pm0.5 ] \times10^{3} $      & $ [ 47.0 \pm0.5 ] \times10^{3} $      & $ [ 46.4 \pm0.5 ] \times10^{3} $      & $ [ 46.3 \pm1.5 ] \times10^{3} $      & $ [ 1443.4 \pm2.9 ] \times10^{3} $   
------------------------------------------
Data                 & 19867552                              & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 0                                     & 96359                                 & 348170                                & 299242                                & 266925                                & 236506                                & 208575                                & 183741                                & 165392                                & 149243                                & 136350                                & 125123                                & 115186                                & 105345                                & 95491                                 & 87822                                 & 81251                                 & 74919                                 & 70074                                 & 64785                                 & 61253                                 & 61134                                 & 61634                                 & 61156                                 & 60357                                 & 58703                                 & 57074                                 & 55573                                 & 53513                                 & 51863                                 & 50085                                 & 48231                                 & 1556145                              
